Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
Riley Reiff,#74,G,1.0,45,0.0,29.0,0.0,16.0,60.0,-,63.4,-,57.0,0 (0),new-england-patriots
James Ferentz,#65,G,1.0,4,0.0,2.0,0.0,2.0,40.6,-,0.0,-,60.0,0 (0),new-england-patriots
DeVante Parker,#01,WR,13.0,579,362.0,0.0,0.0,217.0,61.2,62.5,-,-,44.4,1 (0),new-england-patriots
David Andrews,#60,C,17.0,"1,050",0.0,649.0,0.0,401.0,71.2,-,51.2,-,78.0,1 (1),new-england-patriots
Ty Montgomery,#14,WR,10.0,42,32.0,0.0,3.0,7.0,55.5,55.1,-,61.4,47.8,1 (0),new-england-patriots
Ezekiel Elliott,#15,HB,17.0,540,257.0,69.0,188.0,26.0,67.6,66.3,37.1,69.2,55.7,0 (0),new-england-patriots
Hunter Henry,#85,TE,14.0,663,388.0,26.0,0.0,249.0,69.3,72.2,74.8,-,55.8,5 (1),new-england-patriots
Conor McDermott,#75,T,6.0,227,0.0,145.0,0.0,82.0,67.8,-,65.9,-,68.0,3 (0),new-england-patriots
Kendrick Bourne,#84,WR,8.0,371,247.0,0.0,1.0,123.0,67.2,69.7,-,62.0,46.5,3 (0),new-england-patriots
Pharaoh Brown,#86,TE,17.0,399,117.0,40.0,0.0,242.0,73.3,76.5,60.1,-,63.3,0 (0),new-england-patriots
JuJu Smith-Schuster,#07,WR,11.0,459,256.0,0.0,0.0,203.0,57.0,59.0,-,-,52.1,4 (0),new-england-patriots
Mike Gesicki,#88,TE,17.0,528,350.0,4.0,0.0,174.0,55.7,58.3,78.7,-,35.1,0 (0),new-england-patriots
Calvin Anderson,#76,T,2.0,154,0.0,110.0,0.0,44.0,44.6,-,38.4,-,49.1,1 (0),new-england-patriots
Matt Sokol,#87,TE,3.0,14,1.0,1.0,0.0,12.0,41.7,56.6,69.6,-,47.3,0 (0),new-england-patriots
JaMycal Hasty,#22,HB,2.0,6,3.0,0.0,0.0,3.0,58.9,57.6,-,-,60.0,0 (0),jacksonville-jaguars
Jalen Reagor,#83,WR,11.0,309,204.0,0.0,1.0,104.0,51.4,53.5,-,63.1,33.5,1 (0),new-england-patriots
Ke'Shawn Vaughn,#21,HB,5.0,60,24.0,5.0,26.0,5.0,53.6,34.9,39.8,60.6,60.0,0 (0),tampa-bay-buccaneers
Rhamondre Stevenson,#38,HB,12.0,484,258.0,50.0,159.0,17.0,71.3,51.2,72.7,78.7,29.3,0 (0),new-england-patriots
Mac Jones,#10,QB,11.0,634,395.0,0.0,15.0,224.0,52.2,52.2,-,61.3,60.1,4 (0),new-england-patriots
Kevin Harris,#36,HB,4.0,34,13.0,3.0,16.0,2.0,76.5,84.6,77.3,73.2,46.2,0 (0),new-england-patriots
Vederian Lowe,#59,T,11.0,476,0.0,290.0,0.0,186.0,41.7,-,36.0,-,49.3,2 (0),new-england-patriots
Cole Strange,#69,G,10.0,564,0.0,340.0,0.0,224.0,64.6,-,57.7,-,66.2,2 (0),new-england-patriots
Tyquan Thornton,#11,WR,9.0,224,141.0,0.0,3.0,80.0,57.6,54.4,-,73.6,65.9,0 (0),new-england-patriots
Bailey Zappe,#04,QB,10.0,413,253.0,0.0,7.0,153.0,52.2,51.1,-,63.3,60.1,1 (0),new-england-patriots
Sidy Sow,#62,G,13.0,772,0.0,486.0,0.0,286.0,64.4,-,46.3,-,71.3,2 (0),new-england-patriots
Atonio Mafi,#68,G,12.0,458,0.0,296.0,0.0,162.0,32.3,-,27.7,-,39.9,7 (2),new-england-patriots
Kayshon Boutte,#80,WR,5.0,117,85.0,0.0,0.0,32.0,47.1,47.4,-,-,51.7,0 (0),new-england-patriots
Demario Douglas,#81,WR,14.0,482,337.0,0.0,8.0,137.0,74.4,75.6,-,58.7,58.5,2 (0),new-england-patriots
Jake Andrews,#67,G,2.0,71,0.0,47.0,0.0,24.0,53.0,-,34.2,-,60.8,0 (0),new-england-patriots
