KICKING_2023_KICKING_2023_Rank,KICKING_2023_KICKING_2023_Player,KICKING_2023_KICKING_2023_JerseyNumber,KICKING_2023_KICKING_2023_Position,KICKING_2023_KICKING_2023_GamesPlayed,KICKING_2023_KICKING_2023_FieldGoalGrade,KICKING_2023_KICKING_2023_ExtraPointAttempts,KICKING_2023_KICKING_2023_ExtraPointMakes,KICKING_2023_KICKING_2023_ExtraPointPercentage,KICKING_2023_KICKING_2023_FieldGoalAttempts,KICKING_2023_KICKING_2023_FieldGoalMakes,KICKING_2023_KICKING_2023_FieldGoalPercentage,KICKING_2023_KICKING_2023_FieldGoalAttempts0To19Yards,KICKING_2023_KICKING_2023_FieldGoalMakes0To19Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage0To19Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts20To29Yards,KICKING_2023_KICKING_2023_FieldGoalMakes20To29Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage20To29Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts30To39Yards,KICKING_2023_KICKING_2023_FieldGoalMakes30To39Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage30To39Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts40To49Yards,KICKING_2023_KICKING_2023_FieldGoalMakes40To49Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage40To49Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts50PlusYards,KICKING_2023_KICKING_2023_FieldGoalMakes50PlusYards,KICKING_2023_KICKING_2023_FieldGoalPercentage50PlusYards
1.0,Chad Ryland,#37,K,16.0,38.2,24.0,25.0,96.0,16.0,25.0,64.0,0.0,0.0,,4.0,4.0,100.0,5.0,7.0,71.4,5.0,10.0,50.0,2.0,4.0,50.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
