Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Chad Ryland,#37,K,17.0,67.9,60.0,67.8,24.8,0.0,35.0,21.0,433.0,20.6,39.0,0.0,58.0,4.09
Bryce Baringer,#17,P,1.0,60.0,1.0,16.0,64.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.86
,,,,,,,,,,,,,,,,
