Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Brenden Schooler,#41,S,17.0,406.0,86.0,61.0,89.0,99.0,71.0,0.0,86.7,-,60.0,-,4 (0),10.0,1.0,8.0
Joshua Uche,#55,ED,11.0,61.0,54.0,0.0,7.0,0.0,0.0,0.0,77.9,-,-,-,0 (0),0.0,0.0,0.0
Chris Board,#45,LB,17.0,406.0,86.0,61.0,89.0,99.0,71.0,0.0,74.6,-,-,-,2 (0),8.0,3.0,2.0
Kyle Dugger,#23,S,17.0,120.0,6.0,12.0,16.0,16.0,70.0,0.0,72.5,59.0,-,-,0 (0),2.0,0.0,0.0
Marte Mapu,#30,S,17.0,217.0,66.0,42.0,29.0,80.0,0.0,0.0,71.3,-,-,-,0 (0),2.0,0.0,1.0
Ty Montgomery,#14,WR,13.0,198.0,62.0,45.0,30.0,61.0,0.0,0.0,70.5,51.8,-,-,1 (1),7.0,0.0,0.0
Adrian Phillips,#21,S,17.0,320.0,87.0,61.0,69.0,33.0,70.0,0.0,69.6,-,-,-,0 (0),3.0,0.0,2.0
Jeremiah Pharms Jr.,#70,DI,3.0,12.0,0.0,0.0,6.0,0.0,6.0,0.0,69.1,-,-,-,0 (0),0.0,0.0,0.0
Jahlani Tavai,#48,LB,17.0,358.0,86.0,61.0,41.0,99.0,71.0,0.0,66.7,-,-,-,0 (0),2.0,1.0,1.0
Jonathan Jones,#31,CB,6.0,17.0,0.0,10.0,7.0,0.0,0.0,0.0,65.1,-,-,-,0 (0),1.0,0.0,0.0
Jabrill Peppers,#05,S,14.0,89.0,13.0,36.0,33.0,7.0,0.0,0.0,65.0,-,42.4,-,1 (0),2.0,1.0,0.0
