Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Matt Prater,#05,K,17.0,139.0,0.0,79.0,0.0,0.0,0.0,60.0,60.9,82.0,-,85.6,0 (0),1.0,0.0,0.0,arizona-cardinals
Aaron Brewer,#46,LS,17.0,124.0,0.0,0.0,0.0,64.0,0.0,60.0,52.3,-,-,-,1 (0),1.0,0.0,2.0,arizona-cardinals
Blake Gillikin,#12,P,13.0,94.0,0.0,0.0,0.0,51.0,0.0,43.0,63.9,-,69.0,-,0 (0),1.0,1.0,0.0,arizona-cardinals
Nolan Cooney,#16,P,4.0,30.0,0.0,0.0,0.0,13.0,0.0,17.0,61.7,-,58.4,-,0 (0),0.0,0.0,0.0,arizona-cardinals
