Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Dennis Gardeck,#45,ED,17.0,354.0,242.0,68.4,81.2,2 (0),42.0,6.0,8.0,28.0,10.5,17.9,0.0,157.0,131.0,83.4,80.1,26.0,5.0,4.0,17.0,12.4,20.8,0.0
Owen Pappoe,#44,LB,6.0,74.0,20.0,27.0,69.8,0 (0),3.0,0.0,1.0,2.0,7.5,20.0,1.0,39.0,11.0,28.2,74.2,3.0,0.0,1.0,2.0,13.6,27.3,1.0
Jalen Thompson,#34,S,15.0,525.0,15.0,2.9,69.6,3 (0),5.0,1.0,2.0,2.0,20.0,0.0,0.0,201.0,6.0,3.0,64.0,1.0,0.0,1.0,0.0,8.3,0.0,0.0
Victor Dimukeje,#52,ED,16.0,190.0,151.0,79.5,66.7,0 (0),24.0,5.0,3.0,16.0,10.1,12.6,0.0,60.0,50.0,83.3,66.8,12.0,4.0,1.0,7.0,17.4,19.6,0.0
Cameron Thomas,#97,ED,15.0,218.0,200.0,91.7,64.8,1 (0),16.0,0.0,0.0,16.0,4.3,11.3,1.0,96.0,92.0,95.8,62.6,11.0,0.0,0.0,11.0,6.4,14.0,0.0
Krys Barnes,#51,LB,10.0,234.0,19.0,8.1,64.4,0 (0),2.0,0.0,1.0,1.0,5.3,5.3,1.0,98.0,7.0,7.1,60.0,1.0,0.0,1.0,0.0,7.1,0.0,0.0
BJ Ojulari,#18,ED,17.0,234.0,161.0,68.8,64.1,0 (0),20.0,4.0,5.0,11.0,8.1,13.4,1.0,99.0,82.0,82.8,69.2,12.0,2.0,3.0,7.0,9.0,19.2,1.0
Zaven Collins,#25,ED,17.0,384.0,272.0,70.8,61.9,0 (0),30.0,4.0,2.0,24.0,6.6,10.1,0.0,154.0,127.0,82.5,61.5,19.0,1.0,1.0,17.0,8.4,15.1,0.0
Carlos Watkins,#94,DI,2.0,25.0,25.0,100.0,61.4,0 (0),1.0,1.0,0.0,0.0,4.5,0.0,1.0,11.0,11.0,100.0,60.1,1.0,1.0,0.0,0.0,11.1,0.0,0.0
Kevin Strong,#92,DI,14.0,229.0,229.0,100.0,61.2,2 (0),12.0,3.0,0.0,9.0,3.4,6.8,1.0,72.0,72.0,100.0,59.3,7.0,2.0,0.0,5.0,6.5,7.2,0.0
Naquan Jones,#96,DI,4.0,23.0,23.0,100.0,61.0,2 (0),2.0,0.0,0.0,2.0,4.3,4.3,0.0,5.0,5.0,100.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
