OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Rank,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Player,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_JerseyNumber,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Position,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_GamesPlayed,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_BlockingTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_OffenseOverallGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_RunBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PassBlockingGrade,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnaps,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotalSnapsPercentage,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedSacks,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHits,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedHurries,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedTotal,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_PressuresAllowedEfficiency,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_Penalties,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtLeftGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtCenter,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightGuard,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtRightTackle,OFFENSE-BLOCKING_2023_OFFENSE-BLOCKING_2023_SnapsAtInlineTightEnd
20.0,Keaontay Ingram,#30,HB,7.0,117,25,21.4,9.0,16.0,64.7,66.4,60.8,13.0,20.3,0.0,1.0,1.0,2.0,92.3,0 (0),0.0,0.0,0,0,0,0.0
21.0,Carter O'Donnell,#61,G,5.0,193,193,100.0,68.0,125.0,54.1,50.5,58.4,115.0,100.0,0.0,1.0,8.0,9.0,96.1,3 (0),0.0,170.0,0,21,0,2.0
22.0,Travis Vokolek,#81,TE,2.0,40,31,77.5,27.0,4.0,50.2,56.0,57.9,4.0,30.8,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0,39.0
23.0,Trey McBride,#85,TE,17.0,785,349,44.5,330.0,19.0,76.3,62.3,55.1,15.0,3.6,0.0,1.0,0.0,1.0,96.7,8 (0),2.0,0.0,0,0,0,447.0
24.0,Tony Jones Jr.,#37,HB,3.0,44,10,22.7,0.0,10.0,53.6,-,43.1,10.0,27.8,0.0,1.0,2.0,3.0,85.0,0 (0),0.0,0.0,0,0,0,0.0
25.0,Elijah Wilkinson,#65,G,10.0,501,501,100.0,216.0,285.0,46.2,57.5,40.7,269.0,100.0,3.0,4.0,18.0,25.0,94.8,6 (0),0.0,501.0,0,0,0,0.0
26.0,Dennis Daley,#71,G,3.0,144,144,100.0,49.0,95.0,38.4,42.3,30.9,88.0,100.0,2.0,2.0,3.0,7.0,94.9,0 (0),0.0,144.0,0,0,0,0.0
27.0,Zach Ertz,#86,TE,7.0,295,95,32.2,92.0,3.0,50.8,49.5,29.4,2.0,1.1,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0,0,124.0
28.0,Blake Whiteheart,#89,TE,1.0,2,1,50.0,1.0,0.0,58.6,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,2.0
28.0,Dan Chisena,#16,WR,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Nolan Cooney,#16,P,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Antonio Hamilton Sr.,#33,CB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Andre Chachere,#36,S,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Krys Barnes,#51,LB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Owen Pappoe,#44,LB,2.0,2,2,100.0,2.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Clayton Tune,#15,QB,7.0,60,21,35.0,21.0,0.0,34.2,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Andre Baccellia,#82,WR,5.0,49,31,63.3,31.0,0.0,55.3,69.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,0.0
28.0,Zach Pascal,#00,WR,14.0,201,98,48.8,98.0,0.0,47.6,56.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,12.0
28.0,Greg Dortch,#83,WR,13.0,399,140,35.1,140.0,0.0,68.2,44.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0.0,0,0,0,1.0
28.0,Joshua Dobbs,#09,QB,8.0,533,170,31.9,170.0,0.0,61.0,60.4,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (0),0.0,0.0,0,0,0,0.0
28.0,Kyler Murray,#01,QB,8.0,538,183,34.0,183.0,0.0,70.8,60.2,-,0.0,0.0,0.0,0.0,0.0,0.0,,5 (1),0.0,0.0,0,0,0,0.0
28.0,Rondale Moore,#04,WR,17.0,755,215,28.5,215.0,0.0,53.6,54.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0.0,0,0,0,1.0
28.0,Marquise Brown,#02,WR,14.0,781,280,35.9,280.0,0.0,67.1,48.3,-,0.0,0.0,0.0,0.0,0.0,0.0,,4 (1),0.0,0.0,0,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
