Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Isaiah Hodgins,#18,WR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Saquon Barkley,#26,HB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Daniel Jones,#08,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Darius Slayton,#86,WR,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,-,60.5,-,0 (0),0.0,0.0,0.0
Darren Waller,#12,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Kayvon Thibodeaux,#05,ED,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,59.8,-,-,-,0 (0),0.0,0.0,0.0
Jihad Ward,#55,ED,5.0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,59.8,-,-,-,0 (0),0.0,0.0,0.0
Gervarrius Owens,#39,S,3.0,37.0,10.0,15.0,12.0,0.0,0.0,0.0,59.3,-,-,-,0 (0),0.0,1.0,1.0
Nick McCloud,#44,CB,17.0,347.0,68.0,57.0,66.0,80.0,76.0,0.0,59.3,-,60.1,-,0 (0),3.0,2.0,4.0
A'Shawn Robinson,#91,DI,17.0,85.0,0.0,0.0,8.0,0.0,77.0,0.0,58.7,-,-,-,0 (0),0.0,0.0,0.0
Jordon Riley,#95,DI,8.0,34.0,0.0,0.0,0.0,0.0,34.0,0.0,58.2,-,-,-,0 (0),0.0,0.0,0.0
Justin Hollins,#48,ED,1.0,12.0,7.0,2.0,3.0,0.0,0.0,0.0,58.2,-,-,-,0 (0),0.0,0.0,0.0
Lawrence Cager,#83,TE,11.0,140.0,57.0,35.0,10.0,38.0,0.0,0.0,58.2,58.7,-,-,1 (1),0.0,0.0,0.0
Dane Belton,#24,S,17.0,347.0,87.0,65.0,50.0,91.0,54.0,0.0,56.1,-,-,-,0 (0),4.0,0.0,1.0
Bobby McCain,#21,CB,9.0,119.0,51.0,30.0,30.0,8.0,0.0,0.0,55.1,-,53.3,-,1 (1),1.0,0.0,0.0
Jashaun Corbin,#35,HB,6.0,118.0,31.0,29.0,16.0,42.0,0.0,0.0,54.6,-,-,-,1 (0),3.0,0.0,2.0
Xavier McKinney,#29,S,17.0,103.0,0.0,0.0,25.0,0.0,78.0,0.0,54.3,-,-,-,1 (0),0.0,0.0,0.0
Oshane Ximines,#53,ED,3.0,52.0,16.0,13.0,1.0,22.0,0.0,0.0,54.2,-,-,-,0 (0),0.0,0.0,1.0
Jamie Gillan,#06,P,17.0,155.0,0.0,1.0,0.0,97.0,0.0,57.0,54.1,60.0,60.3,60.7,0 (0),0.0,0.0,1.0
Darrian Beavers,#43,LB,2.0,37.0,8.0,11.0,8.0,10.0,0.0,0.0,48.7,-,-,-,0 (0),0.0,0.0,1.0
Taiwan Jones,#36,HB,2.0,32.0,1.0,7.0,6.0,6.0,12.0,0.0,48.3,-,-,-,0 (0),0.0,0.0,2.0
Parris Campbell,#00,WR,8.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,42.0,63.4,-,-,1 (0),0.0,0.0,0.0
Gary Brightwell,#23,HB,7.0,100.0,32.0,23.0,17.0,28.0,0.0,0.0,33.7,-,-,-,2 (1),1.0,0.0,3.0
Joshua Ezeudu,#75,T,5.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,29.0,-,-,-,0 (0),0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
