Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Xavier McKinney,#29,S,17.0,663.0,614.0,92.6,91.2,2 (0),54.0,33.0,61.1,288.0,8.7,235.0,6.2,29.0,4.0,7.0,3.0,3.0,2.0,0.0,52.1,11.0,17.9,57.0,6.0,3.0,4.5,13.0
Oshane Ximines,#53,ED,3.0,33.0,13.0,39.4,85.2,1 (1),1.0,1.0,100.0,7.0,7.0,3.0,4.0,7.0,1.0,100.0,0.0,0.0,0.0,0.0,95.8,12.0,12.0,1.0,1.0,0.0,0.0,1.0
Isaiah Simmons,#19,LB,17.0,294.0,203.0,69.0,82.7,0 (0),21.0,17.0,81.0,153.0,9.0,129.0,1.8,20.0,2.0,10.0,2.0,1.0,0.0,0.0,77.2,9.6,11.8,18.0,13.0,4.0,11.4,10.0
Bobby Okereke,#58,LB,17.0,663.0,526.0,79.3,82.5,7 (1),46.0,35.0,76.1,301.0,8.6,276.0,2.6,64.0,6.0,13.0,5.0,2.0,1.0,2.0,89.1,11.1,14.5,38.0,9.0,5.0,9.6,18.0
Nick McCloud,#44,CB,10.0,184.0,182.0,98.9,80.7,0 (0),22.0,15.0,68.2,152.0,10.1,52.0,12.5,25.0,1.0,5.0,1.0,1.0,0.0,1.0,83.9,8.0,11.8,18.0,0.0,2.0,10.0,6.0
Azeez Ojulari,#51,ED,11.0,289.0,24.0,8.3,72.7,0 (0),4.0,3.0,75.0,27.0,9.0,18.0,4.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7,5.3,7.0,5.0,1.0,3.0,33.3,7.0
Darnay Holmes,#30,CB,8.0,79.0,77.0,97.5,68.7,1 (0),15.0,12.0,80.0,165.0,13.8,88.0,7.5,34.0,1.0,7.0,1.0,2.0,0.0,0.0,72.9,4.8,6.0,10.0,0.0,0.0,0.0,3.0
Jason Pinnock,#27,S,16.0,587.0,547.0,93.2,64.8,1 (0),39.0,24.0,61.5,284.0,11.8,120.0,8.2,40.0,6.0,15.0,5.0,2.0,1.0,2.0,79.4,13.4,21.8,30.0,5.0,6.0,14.6,8.0
Boogie Basham,#45,ED,12.0,89.0,4.0,4.5,63.9,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
A'Shawn Robinson,#91,DI,17.0,253.0,2.0,0.8,63.9,1 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0
Rakeem Nunez-Roches,#93,DI,16.0,242.0,4.0,1.7,63.8,0 (0),1.0,1.0,100.0,19.0,19.0,13.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,4.0,4.0,2.0,0.0,2.0,50.0,1.0
Tomon Fox,#94,ED,1.0,16.0,3.0,18.8,60.5,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Leonard Williams,#99,DI,8.0,222.0,1.0,0.5,60.3,4 (2),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,33.3,2.0
Jordon Riley,#95,DI,8.0,60.0,1.0,1.7,60.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Benton Whitley,#48,ED,2.0,7.0,1.0,14.3,60.0,0 (0),1.0,1.0,100.0,16.0,16.0,12.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,1.0,1.0,0.0,0.0,0.0,,0.0
Cor'Dale Flott,#28,CB,14.0,348.0,332.0,95.4,59.4,5 (3),62.0,40.0,64.5,452.0,11.3,288.0,7.4,51.0,5.0,8.0,3.0,1.0,0.0,3.0,95.6,5.2,8.0,25.0,5.0,6.0,16.7,8.0
Dane Belton,#24,S,17.0,179.0,165.0,92.2,59.0,0 (0),15.0,13.0,86.7,141.0,10.8,83.0,7.0,28.0,0.0,0.0,0.0,2.0,0.0,1.0,88.5,10.8,12.5,12.0,2.0,4.0,22.2,2.0
Bobby McCain,#21,CB,2.0,11.0,11.0,100.0,57.4,0 (0),4.0,3.0,75.0,24.0,8.0,19.0,7.3,14.0,1.0,25.0,1.0,0.0,1.0,1.0,129.2,2.8,3.7,0.0,0.0,0.0,,0.0
Kayvon Thibodeaux,#05,ED,17.0,604.0,84.0,13.9,57.3,4 (2),5.0,5.0,100.0,38.0,7.6,46.0,-1.6,13.0,0.0,0.0,0.0,0.0,2.0,0.0,98.3,15.8,15.8,4.0,0.0,2.0,33.3,15.0
Micah McFadden,#41,LB,16.0,360.0,274.0,76.1,57.1,0 (0),41.0,34.0,82.9,298.0,8.8,204.0,3.6,35.0,3.0,7.0,3.0,1.0,0.0,2.0,103.0,6.4,7.8,21.0,2.0,11.0,32.4,10.0
