KICKOFFS_2023_KICKOFFS_2023_Rank,KICKOFFS_2023_KICKOFFS_2023_Player,KICKOFFS_2023_KICKOFFS_2023_JerseyNumber,KICKOFFS_2023_KICKOFFS_2023_Position,KICKOFFS_2023_KICKOFFS_2023_GamesPlayed,KICKOFFS_2023_KICKOFFS_2023_KickoffsGrade,KICKOFFS_2023_KICKOFFS_2023_KickoffsTotal,KICKOFFS_2023_KICKOFFS_2023_KickoffsYardsPerAttempt,KICKOFFS_2023_KICKOFFS_2023_KickoffsAverageFieldPosition,KICKOFFS_2023_KICKOFFS_2023_KickoffsOnsideAttempts,KICKOFFS_2023_KICKOFFS_2023_KickoffsReturnPercentage,KICKOFFS_2023_KICKOFFS_2023_KickoffsReturned,KICKOFFS_2023_KICKOFFS_2023_KickoffsYardsAllowed,KICKOFFS_2023_KICKOFFS_2023_KickoffsYardsPerReturnAllowed,KICKOFFS_2023_KICKOFFS_2023_KickoffsTouchbacks,KICKOFFS_2023_KICKOFFS_2023_KickoffsFairCatches,KICKOFFS_2023_KICKOFFS_2023_KickoffsHangtimeAverage,KICKOFFS_2023_KICKOFFS_2023_KickoffsHangtimeAverage.1
1.0,Graham Gano,#09,K,8.0,81.5,28.0,71.3,25.4,0.0,17.9,5.0,134.0,26.8,23.0,0.0,27.0,3.87
2.0,Jamie Gillan,#06,P,1.0,60.0,1.0,51.0,32.0,0.0,100.0,1.0,18.0,18.0,0.0,0.0,0.0,
3.0,Randy Bullock,#46,K,6.0,57.7,20.0,67.2,25.8,0.0,30.0,6.0,153.0,25.5,12.0,1.0,19.0,3.75
4.0,Mason Crosby,#21,K,3.0,28.9,16.0,60.9,23.9,0.0,25.0,4.0,72.0,18.0,2.0,10.0,16.0,3.71
,,,,,,,,,,,,,,,,,
