DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Dexter Lawrence,#97,DI,16.0,258.0,89.5,36.0,12.0,3.0,5.9,30.0,11.9,0.0,2.0,1 (1)
2.0,Tre Hawkins III,#37,CB,9.0,135.0,74.5,7.0,4.0,1.0,8.3,2.0,1.5,0.0,10.6,4 (0)
3.0,Bobby Okereke,#58,LB,17.0,465.0,74.4,67.0,29.0,7.0,6.8,38.0,8.4,1.0,3.9,7 (1)
4.0,Xavier McKinney,#29,S,17.0,465.0,70.5,37.0,15.0,4.0,7.1,13.0,2.9,1.0,7.9,2 (0)
5.0,Micah McFadden,#41,LB,16.0,376.0,68.1,50.0,23.0,14.0,16.1,26.0,7.1,0.0,3.9,0 (0)
6.0,Jason Pinnock,#27,S,16.0,424.0,67.9,31.0,16.0,7.0,13.0,11.0,2.7,1.0,8.0,1 (0)
7.0,Tomon Fox,#94,ED,1.0,3.0,64.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
8.0,Deonte Banks,#25,CB,15.0,346.0,61.6,11.0,5.0,3.0,15.8,5.0,1.5,0.0,5.5,8 (4)
9.0,A'Shawn Robinson,#91,DI,17.0,262.0,60.6,49.0,10.0,5.0,7.8,36.0,14.1,0.0,2.1,1 (1)
10.0,Oshane Ximines,#53,ED,3.0,19.0,60.5,0.0,1.0,1.0,50.0,0.0,0.0,0.0,,1 (1)
11.0,Timmy Horne,#96,DI,1.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (1)
11.0,Carter Coughlin,#52,LB,1.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
13.0,Adoree' Jackson,#22,CB,14.0,336.0,59.9,11.0,2.0,2.0,13.3,3.0,0.9,0.0,8.0,4 (1)
14.0,Leonard Williams,#99,DI,8.0,138.0,59.4,13.0,6.0,1.0,5.0,11.0,8.1,0.0,1.9,4 (2)
15.0,Boogie Basham,#45,ED,13.0,105.0,57.3,6.0,2.0,1.0,11.1,6.0,5.7,0.0,1.5,0 (0)
16.0,Benton Whitley,#48,ED,2.0,6.0,55.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
17.0,Isaiah Simmons,#19,LB,16.0,84.0,54.7,12.0,3.0,5.0,25.0,6.0,7.2,0.0,5.2,0 (0)
18.0,Kayvon Thibodeaux,#05,ED,17.0,377.0,52.3,21.0,11.0,4.0,11.1,14.0,3.8,1.0,3.4,4 (2)
19.0,Cor'Dale Flott,#28,CB,14.0,171.0,49.2,5.0,3.0,1.0,11.1,3.0,1.8,0.0,5.4,5 (3)
20.0,D.J. Davidson,#98,DI,15.0,131.0,47.7,9.0,3.0,3.0,20.0,7.0,5.5,0.0,2.7,2 (0)
21.0,Azeez Ojulari,#51,ED,11.0,135.0,47.6,6.0,2.0,0.0,0.0,5.0,3.8,0.0,2.5,0 (0)
22.0,Nick McCloud,#44,CB,13.0,128.0,45.3,2.0,2.0,2.0,33.3,0.0,0.0,0.0,16.0,0 (0)
23.0,Darnay Holmes,#30,CB,7.0,44.0,44.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,5.0,1 (0)
24.0,Rakeem Nunez-Roches,#93,DI,16.0,219.0,43.8,17.0,8.0,4.0,13.8,11.0,5.1,0.0,4.2,0 (0)
25.0,Bobby McCain,#21,CB,1.0,8.0,41.2,0.0,0.0,1.0,100.0,0.0,0.0,0.0,,0 (0)
26.0,Jihad Ward,#55,ED,17.0,285.0,40.4,9.0,3.0,5.0,29.4,6.0,2.1,0.0,2.9,2 (1)
27.0,Dane Belton,#24,S,14.0,116.0,37.1,9.0,4.0,4.0,23.5,2.0,1.8,0.0,7.9,0 (0)
28.0,Jordon Riley,#95,DI,8.0,75.0,32.3,7.0,2.0,2.0,18.2,4.0,5.3,0.0,3.6,0 (0)
,,,,,,,,,,,,,,,
