Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Bobby McCain,#21,CB,2.0,19,8.0,0.0,11.0,49.0,41.2,23.2,-,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,4.0,3.0,75.0,24.0,8.0,19.0,14.0,1.0,0.0,1.0,129.2,0 (0),0.0,3,3.0,12.0,1.0,0.0,0.0,0.0,0.0,new-york-giants
Rakeem Nunez-Roches,#93,DI,16.0,461,219.0,238.0,4.0,46.3,43.8,34.9,50.5,63.8,7.0,1.0,0.0,6.0,1.0,19.0,8.0,6.0,18.2,12.0,0.0,1.0,1.0,100.0,19.0,19.0,13.0,19.0,0.0,0.0,0.0,118.8,0 (0),461.0,0,0.0,0.0,0.0,66.0,313.0,80.0,2.0,new-york-giants
A'Shawn Robinson,#91,DI,17.0,515,262.0,251.0,2.0,58.6,60.6,58.9,52.8,63.9,9.0,0.0,0.0,9.0,2.0,49.0,11.0,5.0,7.7,36.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (1),514.0,1,0.0,0.0,0.0,5.0,226.0,201.0,82.0,new-york-giants
Jihad Ward,#55,ED,17.0,661,285.0,328.0,48.0,42.4,40.4,38.0,53.9,49.5,20.0,6.0,3.0,11.0,0.0,14.0,4.0,6.0,25.0,13.0,1.0,4.0,4.0,100.0,51.0,12.8,29.0,19.0,0.0,0.0,0.0,118.8,2 (1),651.0,10,0.0,0.0,0.0,7.0,62.0,111.0,471.0,new-york-giants
Adoree' Jackson,#22,CB,14.0,792,336.0,5.0,451.0,48.6,59.9,37.6,50.1,45.9,0.0,0.0,0.0,0.0,0.0,55.0,4.0,11.0,15.7,11.0,1.0,82.0,54.0,65.9,753.0,13.9,382.0,80.0,2.0,1.0,6.0,98.3,4 (1),11.0,57,1.0,115.0,608.0,0.0,0.0,0.0,11.0,new-york-giants
Dexter Lawrence,#97,DI,16.0,709,258.0,446.0,5.0,92.9,89.5,58.2,92.6,41.0,65.0,6.0,14.0,45.0,1.0,37.0,12.0,5.0,9.3,35.0,0.0,1.0,1.0,100.0,15.0,15.0,4.0,15.0,0.0,0.0,0.0,118.8,1 (1),702.0,7,0.0,0.0,0.0,502.0,179.0,19.0,2.0,new-york-giants
Bobby Okereke,#58,LB,17.0,"1,128",465.0,137.0,526.0,78.9,74.4,80.0,58.9,82.5,20.0,3.0,3.0,14.0,1.0,105.0,38.0,12.0,7.7,56.0,4.0,46.0,35.0,76.1,301.0,8.6,276.0,64.0,2.0,2.0,5.0,89.1,7 (1),35.0,"1,026",9.0,45.0,13.0,0.0,0.0,0.0,35.0,new-york-giants
Oshane Ximines,#53,ED,3.0,52,19.0,20.0,13.0,70.2,60.5,29.8,63.9,85.2,3.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,25.0,1.0,0.0,1.0,1.0,100.0,7.0,7.0,3.0,7.0,0.0,0.0,0.0,95.8,1 (1),49.0,2,0.0,0.0,1.0,0.0,0.0,1.0,48.0,new-york-giants
Isaiah Simmons,#19,LB,17.0,378,84.0,91.0,203.0,68.9,54.7,41.6,44.1,82.7,8.0,1.0,0.0,7.0,0.0,30.0,16.0,9.0,16.4,16.0,0.0,21.0,17.0,81.0,153.0,9.0,129.0,20.0,0.0,1.0,2.0,77.2,0 (0),137.0,166,2.0,65.0,8.0,0.0,0.0,0.0,137.0,new-york-giants
Xavier McKinney,#29,S,17.0,"1,128",465.0,49.0,614.0,87.5,70.5,89.1,58.5,91.2,4.0,0.0,0.0,4.0,2.0,94.0,21.0,7.0,5.7,26.0,1.0,54.0,33.0,61.1,288.0,8.7,235.0,29.0,0.0,3.0,3.0,52.1,2 (0),82.0,388,464.0,167.0,27.0,0.0,0.0,0.0,82.0,new-york-giants
