Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Tristan Wirfs,#78,T,19.0,777.0,777.0,100.0,85.5,1 (0),728.0,100.0,5.0,6.0,13.0,24.0,98.0,362.0,362.0,100.0,79.5,337.0,100.0,5.0,2.0,10.0,17.0,96.7
David Wells,#89,TE,5.0,16.0,5.0,31.3,79.3,0 (0),5.0,31.3,0.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Justin Skule,#77,T,4.0,5.0,4.0,80.0,79.2,0 (0),4.0,80.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,100.0,75.4,1.0,100.0,0.0,0.0,0.0,0.0,100.0
Chris Godwin,#14,WR,19.0,687.0,2.0,0.3,73.3,1 (1),2.0,0.3,0.0,0.0,0.0,0.0,100.0,336.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Sean Tucker,#44,HB,3.0,15.0,1.0,6.7,73.0,0 (0),1.0,7.1,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Luke Goedeke,#67,T,19.0,779.0,779.0,100.0,72.5,6 (3),730.0,100.0,6.0,5.0,33.0,44.0,96.6,363.0,363.0,100.0,67.9,338.0,100.0,4.0,3.0,24.0,31.0,94.8
Payne Durham,#87,TE,15.0,82.0,14.0,17.1,70.7,0 (0),12.0,15.2,0.0,0.0,1.0,1.0,95.8,26.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Ko Kieft,#41,TE,18.0,80.0,23.0,28.8,68.2,0 (0),23.0,29.9,0.0,0.0,2.0,2.0,95.7,6.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Matt Feiler,#71,G,6.0,244.0,244.0,100.0,65.0,0 (0),229.0,100.0,0.0,2.0,10.0,12.0,97.4,93.0,93.0,100.0,41.4,89.0,100.0,0.0,1.0,10.0,11.0,93.8
Chase Edmonds,#22,HB,15.0,117.0,12.0,10.3,63.4,0 (0),10.0,9.3,0.0,0.0,1.0,1.0,95.0,59.0,8.0,13.6,53.4,6.0,11.3,0.0,0.0,1.0,1.0,91.7
Robert Hainsey,#70,C,19.0,779.0,779.0,100.0,57.3,3 (1),730.0,100.0,5.0,2.0,26.0,33.0,97.4,363.0,363.0,100.0,57.2,338.0,100.0,3.0,1.0,14.0,18.0,96.9
Aaron Stinnie,#64,G,13.0,535.0,535.0,100.0,53.7,1 (0),501.0,100.0,3.0,2.0,27.0,32.0,96.5,270.0,270.0,100.0,45.3,249.0,100.0,2.0,2.0,16.0,20.0,95.6
Rachaad White,#01,HB,19.0,622.0,88.0,14.1,53.5,2 (0),83.0,14.1,0.0,1.0,6.0,7.0,95.8,293.0,39.0,13.3,29.0,37.0,13.4,0.0,1.0,5.0,6.0,91.9
David Moore,#19,WR,9.0,76.0,1.0,1.3,52.8,0 (0),1.0,1.4,0.0,0.0,1.0,1.0,50.0,35.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
Cody Mauch,#69,G,19.0,779.0,779.0,100.0,52.1,2 (0),730.0,100.0,8.0,7.0,42.0,57.0,95.5,363.0,363.0,100.0,42.9,338.0,100.0,7.0,5.0,34.0,46.0,92.2
Cade Otton,#88,TE,19.0,758.0,59.0,7.8,47.4,2 (0),58.0,8.2,0.0,0.0,7.0,7.0,94.0,349.0,6.0,1.7,52.9,6.0,1.9,0.0,0.0,2.0,2.0,83.3
Ke'Shawn Vaughn,#21,HB,5.0,29.0,5.0,17.2,39.8,0 (0),4.0,16.0,0.0,0.0,0.0,0.0,100.0,9.0,4.0,44.4,31.3,3.0,42.9,0.0,0.0,0.0,0.0,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
