Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Antoine Winfield Jr.,#31,S,19.0,442.0,91.5,38.0,18.0,5.0,8.2,13.0,3.0,2.0,7.0,0 (0)
Jamel Dean,#35,CB,15.0,275.0,82.7,12.0,6.0,2.0,10.0,5.0,1.8,0.0,7.8,4 (1)
Christian Izien,#29,CB,19.0,205.0,81.7,15.0,4.0,3.0,13.6,7.0,3.5,0.0,4.7,6 (0)
Cam Gill,#49,ED,5.0,27.0,78.4,1.0,3.0,0.0,0.0,1.0,3.8,0.0,4.0,0 (0)
Lavonte David,#54,LB,17.0,366.0,75.0,49.0,18.0,6.0,8.2,36.0,10.0,0.0,2.2,4 (2)
K.J. Britt,#52,LB,11.0,102.0,72.0,16.0,9.0,1.0,3.8,11.0,11.0,0.0,2.6,0 (0)
Zyon McCollum,#27,CB,16.0,295.0,71.7,10.0,4.0,3.0,17.6,5.0,1.7,0.0,7.4,4 (1)
J.J. Russell,#51,LB,1.0,34.0,69.9,4.0,1.0,0.0,0.0,1.0,2.9,0.0,7.0,0 (0)
Shaquil Barrett,#07,ED,18.0,242.0,68.9,20.0,13.0,3.0,8.3,12.0,5.1,0.0,2.2,5 (0)
Vita Vea,#50,DI,17.0,236.0,67.9,32.0,6.0,2.0,5.0,23.0,10.0,1.0,1.8,1 (0)
Markees Watts,#58,ED,5.0,7.0,66.9,1.0,0.0,0.0,0.0,1.0,14.3,0.0,3.0,1 (0)
Carlton Davis III,#24,CB,14.0,302.0,66.7,9.0,3.0,1.0,7.7,2.0,0.7,0.0,6.9,6 (2)
Yaya Diaby,#00,ED,19.0,214.0,66.5,15.0,9.0,3.0,11.1,13.0,6.2,0.0,1.1,2 (0)
Ryan Neal,#23,S,15.0,245.0,65.8,28.0,11.0,3.0,7.1,9.0,3.7,0.0,5.0,1 (0)
Derrek Pitts,#38,CB,1.0,11.0,64.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0 (0)
William Gholston,#92,DI,17.0,149.0,62.7,15.0,4.0,2.0,9.5,11.0,7.6,0.0,2.6,1 (0)
Josh Hayes,#32,CB,2.0,16.0,60.4,1.0,0.0,0.0,0.0,1.0,6.3,0.0,0.0,0 (0)
Joe Tryon-Shoyinka,#09,ED,19.0,224.0,60.2,25.0,8.0,5.0,13.2,20.0,9.0,0.0,3.6,6 (0)
Patrick O'Connor,#79,DI,10.0,33.0,58.8,4.0,1.0,2.0,28.6,3.0,9.4,0.0,1.5,0 (0)
Deadrin Senat,#56,DI,2.0,10.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0 (0)
Anthony Nelson,#98,ED,18.0,172.0,53.4,16.0,7.0,3.0,11.5,8.0,4.7,0.0,4.4,1 (0)
Greg Gaines,#96,DI,19.0,214.0,48.5,11.0,11.0,3.0,12.0,8.0,3.8,0.0,2.8,2 (0)
SirVocea Dennis,#08,LB,8.0,42.0,48.4,3.0,2.0,3.0,37.5,2.0,5.1,0.0,6.7,0 (0)
Logan Hall,#90,DI,18.0,233.0,42.2,14.0,7.0,4.0,16.0,9.0,3.9,0.0,2.3,0 (0)
Dee Delaney,#30,S,11.0,111.0,40.4,6.0,2.0,2.0,20.0,2.0,1.9,0.0,7.0,0 (0)
Kaevon Merriweather,#26,S,8.0,76.0,33.3,3.0,6.0,4.0,30.8,0.0,0.0,0.0,7.3,0 (0)
Devin White,#45,LB,16.0,313.0,31.4,34.0,10.0,4.0,8.3,18.0,5.9,0.0,4.3,1 (0)
Calijah Kancey,#94,DI,16.0,215.0,29.5,19.0,3.0,5.0,18.5,19.0,9.0,0.0,0.1,2 (0)
Mike Greene,#91,DI,10.0,70.0,29.5,0.0,3.0,1.0,25.0,0.0,0.0,0.0,,1 (0)
,,,,,,,,,,,,,,
