Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
William Gholston,#92,DI,18.0,83.0,0.0,0.0,0.0,0.0,65.0,18.0,57.2,-,-,-,0 (0),0.0,0.0,0.0
SirVocea Dennis,#08,LB,15.0,251.0,62.0,59.0,41.0,55.0,34.0,0.0,54.1,-,-,-,3 (0),4.0,1.0,2.0
Derrek Pitts,#38,CB,4.0,46.0,11.0,16.0,6.0,13.0,0.0,0.0,53.2,-,-,-,1 (0),1.0,0.0,0.0
Keenan Isaac,#16,CB,2.0,23.0,7.0,4.0,7.0,5.0,0.0,0.0,52.9,-,-,-,0 (0),0.0,0.0,0.0
Zyon McCollum,#27,CB,19.0,256.0,19.0,84.0,60.0,23.0,70.0,0.0,51.9,-,-,-,2 (0),4.0,0.0,6.0
Dee Delaney,#30,S,19.0,139.0,10.0,86.0,24.0,1.0,18.0,0.0,51.5,-,-,-,1 (0),1.0,1.0,1.0
Ryan Miller,#81,WR,1.0,12.0,0.0,4.0,0.0,8.0,0.0,0.0,48.4,-,-,-,0 (0),0.0,0.0,1.0
Chase Edmonds,#22,HB,15.0,154.0,64.0,18.0,9.0,63.0,0.0,0.0,47.8,-,-,-,0 (0),4.0,1.0,4.0
Rakim Jarrett,#18,WR,10.0,112.0,33.0,47.0,17.0,15.0,0.0,0.0,41.4,-,-,-,1 (1),1.0,0.0,2.0
Justin Skule,#77,T,19.0,75.0,0.0,0.0,0.0,0.0,0.0,75.0,29.4,-,-,-,0 (0),0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,
