Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Antoine Winfield Jr.,#31,S,19.0,"1,230",442.0,64.0,724.0,90.7,91.5,87.0,92.7,84.0,20.0,6.0,3.0,11.0,1.0,90.0,27.0,10.0,7.9,27.0,6.0,44.0,31.0,70.5,399.0,12.9,167.0,55.0,2.0,3.0,8.0,85.3,0 (0),47.0,252.0,753.0,155.0,23.0,0.0,0.0,0.0,47.0
Vita Vea,#50,DI,17.0,691,236.0,448.0,7.0,80.0,67.9,64.5,78.2,65.8,39.0,7.0,4.0,28.0,0.0,34.0,7.0,2.0,4.7,30.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),690.0,1.0,0.0,0.0,0.0,156.0,461.0,64.0,9.0
J.J. Russell,#51,LB,1.0,71,34.0,13.0,24.0,79.2,69.9,80.8,75.0,67.8,4.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,68.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Cam Gill,#49,ED,11.0,81,27.0,39.0,15.0,75.7,78.4,60.1,71.2,54.4,5.0,1.0,0.0,4.0,0.0,1.0,5.0,1.0,14.3,2.0,1.0,3.0,3.0,100.0,48.0,16.0,38.0,21.0,0.0,0.0,0.0,118.8,0 (0),76.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
Jamel Dean,#35,CB,15.0,824,275.0,10.0,539.0,74.3,82.7,83.4,46.2,72.5,0.0,0.0,0.0,0.0,0.0,61.0,12.0,4.0,5.2,23.0,0.0,77.0,52.0,67.5,665.0,12.8,221.0,76.0,5.0,0.0,7.0,116.0,4 (1),2.0,62.0,0.0,38.0,722.0,0.0,0.0,0.0,2.0
Shaquil Barrett,#07,ED,18.0,746,242.0,405.0,99.0,73.1,68.9,64.4,82.6,42.9,56.0,5.0,8.0,43.0,1.0,32.0,17.0,6.0,10.9,21.0,3.0,17.0,16.0,94.1,127.0,7.9,105.0,15.0,0.0,1.0,0.0,73.3,5 (0),710.0,27.0,0.0,8.0,1.0,0.0,0.0,2.0,708.0
Lavonte David,#54,LB,17.0,"1,086",366.0,91.0,629.0,72.3,75.0,74.8,70.9,68.6,22.0,6.0,0.0,16.0,0.0,114.0,28.0,11.0,7.2,70.0,2.0,96.0,73.0,76.0,578.0,7.9,329.0,33.0,1.0,0.0,4.0,94.0,4 (2),94.0,878.0,2.0,94.0,18.0,0.0,0.0,0.0,94.0
K.J. Britt,#52,LB,12.0,252,102.0,27.0,123.0,70.5,72.0,70.9,60.9,64.4,3.0,1.0,0.0,2.0,0.0,22.0,11.0,3.0,8.3,15.0,0.0,11.0,10.0,90.9,87.0,8.7,64.0,20.0,0.0,0.0,1.0,99.6,0 (0),4.0,230.0,0.0,12.0,6.0,0.0,0.0,0.0,4.0
Christian Izien,#29,CB,19.0,780,205.0,76.0,499.0,67.7,81.7,62.6,46.5,67.2,9.0,0.0,1.0,8.0,0.0,57.0,13.0,10.0,12.5,21.0,2.0,70.0,56.0,80.0,521.0,9.3,324.0,29.0,4.0,2.0,0.0,104.8,6 (0),26.0,57.0,7.0,657.0,33.0,0.0,0.0,0.0,26.0
SirVocea Dennis,#08,LB,10.0,104,42.0,3.0,59.0,64.7,48.4,27.8,68.2,72.6,1.0,0.0,0.0,1.0,0.0,6.0,3.0,4.0,30.8,3.0,0.0,6.0,5.0,83.3,49.0,9.8,38.0,17.0,0.0,0.0,1.0,100.7,0 (0),13.0,83.0,1.0,7.0,0.0,0.0,0.0,0.0,13.0
