Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Jaquan Brisker,#09,S,15.0,596.0,24.0,4.0,81.8,3 (0),10.0,2.0,2.0,6.0,27.3,22.7,1.0,297.0,9.0,3.0,71.6,4.0,0.0,1.0,3.0,28.6,42.9,0.0
Elijah Hicks,#22,S,12.0,324.0,2.0,0.6,76.5,0 (0),1.0,0.0,0.0,1.0,25.0,0.0,0.0,155.0,1.0,0.6,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Billings,#97,DI,17.0,267.0,265.0,99.3,75.2,3 (0),23.0,0.0,2.0,21.0,4.5,11.7,0.0,83.0,83.0,100.0,81.4,12.0,0.0,1.0,11.0,7.6,21.5,0.0
T.J. Edwards,#53,LB,17.0,686.0,77.0,11.2,74.5,0 (0),13.0,3.0,6.0,4.0,11.0,8.2,0.0,332.0,40.0,12.0,91.1,10.0,3.0,5.0,2.0,17.6,16.2,0.0
Montez Sweat,#98,ED,9.0,283.0,279.0,98.6,71.6,0 (0),37.0,8.0,6.0,23.0,8.4,14.5,2.0,158.0,157.0,99.4,70.7,22.0,5.0,3.0,14.0,9.0,19.3,0.0
Jaylon Jones,#31,CB,10.0,99.0,3.0,3.0,70.8,2 (0),2.0,0.0,1.0,1.0,33.3,0.0,0.0,59.0,2.0,3.4,72.6,1.0,0.0,1.0,0.0,25.0,0.0,0.0
Gervon Dexter Sr.,#99,DI,17.0,299.0,297.0,99.3,65.9,1 (0),29.0,4.0,9.0,16.0,5.9,11.9,1.0,156.0,155.0,99.4,69.7,26.0,4.0,7.0,15.0,10.5,17.5,1.0
DeMarcus Walker,#95,ED,17.0,485.0,475.0,97.9,64.0,2 (0),47.0,4.0,12.0,31.0,5.6,10.8,0.0,243.0,238.0,97.9,68.8,35.0,3.0,6.0,26.0,8.5,16.1,0.0
Zacch Pickens,#96,DI,17.0,149.0,148.0,99.3,62.9,0 (0),8.0,1.0,1.0,6.0,3.3,7.2,0.0,50.0,50.0,100.0,67.2,5.0,0.0,1.0,4.0,5.8,14.0,0.0
Josh Blackwell,#39,CB,3.0,12.0,1.0,8.3,60.3,0 (0),1.0,0.0,1.0,0.0,50.0,0.0,0.0,3.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Eddie Jackson,#04,S,12.0,419.0,2.0,0.5,58.9,2 (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,1.0,0.5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Sanborn,#57,LB,17.0,213.0,21.0,9.9,56.3,1 (0),6.0,1.0,0.0,5.0,17.5,10.0,0.0,79.0,7.0,8.9,59.3,2.0,1.0,0.0,1.0,25.0,0.0,0.0
Kyler Gordon,#06,CB,13.0,467.0,40.0,8.6,54.8,3 (0),6.0,1.0,1.0,4.0,9.2,5.3,0.0,254.0,14.0,5.5,50.6,2.0,0.0,1.0,1.0,8.3,8.3,0.0
Greg Stroman Jr.,#27,CB,5.0,115.0,13.0,11.3,53.8,1 (0),3.0,1.0,0.0,2.0,16.7,0.0,0.0,70.0,10.0,14.3,56.6,2.0,1.0,0.0,1.0,16.7,0.0,0.0
Duron Harmon,#30,S,2.0,55.0,1.0,1.8,53.7,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Justin Jones,#93,DI,17.0,500.0,487.0,97.4,52.5,2 (0),36.0,5.0,13.0,18.0,4.4,5.7,3.0,264.0,258.0,97.7,54.2,29.0,5.0,8.0,16.0,6.9,8.5,1.0
Khalid Kareem,#52,ED,1.0,22.0,21.0,95.5,52.2,0 (0),1.0,0.0,0.0,1.0,2.6,5.3,0.0,12.0,12.0,100.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rasheem Green,#94,ED,17.0,230.0,225.0,97.8,52.1,1 (0),14.0,2.0,3.0,9.0,3.8,7.0,0.0,101.0,98.0,97.0,57.8,8.0,2.0,1.0,5.0,5.6,11.2,0.0
Yannick Ngakoue,#91,ED,13.0,426.0,408.0,95.8,47.6,2 (0),34.0,4.0,4.0,26.0,4.8,4.8,0.0,236.0,230.0,97.5,48.7,24.0,4.0,4.0,16.0,6.5,5.1,0.0
Dominique Robinson,#90,ED,11.0,165.0,155.0,93.9,45.5,2 (0),5.0,1.0,0.0,4.0,2.1,1.4,1.0,89.0,83.0,93.3,42.8,2.0,0.0,0.0,2.0,1.3,1.3,0.0
Tremaine Edmunds,#49,LB,15.0,589.0,43.0,7.3,42.5,2 (2),4.0,0.0,0.0,4.0,4.8,4.8,0.0,277.0,23.0,8.3,47.1,3.0,0.0,0.0,3.0,6.8,9.1,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
