Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,,Green Bay Packers,09/10,4:25pm,L,20.0,38.0,58.9,58.1,49.4,63.8,56.7,82.9,45.1,61.7,71.2,61.2,48.7,56.1,47.4,Game Reports
2.0,@,Tampa Bay Buccaneers,09/17,1:00pm,L,17.0,27.0,67.2,63.6,49.1,60.8,69.3,81.2,52.5,61.7,60.3,46.4,61.0,62.4,89.8,Game Reports
3.0,@,Kansas City Chiefs,09/24,4:25pm,L,10.0,41.0,57.3,59.5,71.0,63.7,53.4,75.2,41.9,55.4,64.2,57.6,62.2,50.3,65.5,Game Reports
4.0,,Denver Broncos,10/01,1:00pm,L,28.0,31.0,69.5,79.1,82.7,72.1,84.9,74.8,52.2,47.1,37.7,28.9,52.9,57.7,61.5,Game Reports
5.0,@,Washington Commanders,10/05,8:15pm,W,40.0,20.0,68.2,73.7,68.1,32.8,74.5,73.8,68.8,56.5,77.5,69.6,50.6,56.9,66.8,Game Reports
6.0,,Minnesota Vikings,10/15,1:00pm,L,13.0,19.0,66.8,62.7,55.8,59.0,67.9,65.8,53.5,62.8,52.6,76.9,69.4,63.6,82.2,Game Reports
7.0,,Las Vegas Raiders,10/22,1:00pm,W,30.0,12.0,67.0,65.1,65.6,57.4,60.2,80.7,57.4,65.2,58.8,57.3,55.1,69.3,57.5,Game Reports
8.0,@,Los Angeles Chargers,10/29,8:20pm,L,13.0,30.0,59.9,58.9,50.1,52.9,60.0,68.5,62.3,61.3,73.6,65.6,56.8,55.7,59.5,Game Reports
9.0,@,New Orleans Saints,11/05,1:00pm,L,17.0,24.0,62.1,63.1,52.7,66.2,70.4,71.3,49.2,61.7,49.0,79.6,59.3,68.5,59.8,Game Reports
10.0,,Carolina Panthers,11/09,8:20pm,W,16.0,13.0,69.8,66.1,48.8,73.3,66.5,67.0,62.6,68.2,86.6,62.8,53.6,65.2,64.4,Game Reports
11.0,@,Detroit Lions,11/19,1:00pm,L,26.0,31.0,64.7,68.1,54.2,57.7,68.5,79.7,62.8,57.8,49.1,64.2,64.7,57.8,54.2,Game Reports
12.0,@,Minnesota Vikings,11/27,8:15pm,W,12.0,10.0,70.2,65.6,73.4,66.1,67.4,48.2,59.1,71.9,47.6,53.3,70.8,79.0,53.4,Game Reports
14.0,,Detroit Lions,12/10,1:00pm,W,28.0,13.0,66.2,68.1,74.9,64.8,63.6,58.8,64.3,57.0,44.8,57.9,68.8,59.7,67.4,Game Reports
15.0,@,Cleveland Browns,12/17,1:00pm,L,17.0,20.0,65.3,49.4,47.1,33.4,58.2,53.9,55.4,82.1,68.4,61.5,76.8,78.0,78.1,Game Reports
16.0,,Arizona Cardinals,12/24,4:25pm,W,27.0,16.0,74.4,73.8,58.0,50.2,62.2,85.7,79.0,65.3,50.6,64.1,56.2,72.7,66.8,Game Reports
17.0,,Atlanta Falcons,12/31,1:00pm,W,37.0,17.0,70.4,73.2,76.7,73.2,71.8,73.5,54.8,62.4,52.5,63.5,51.3,74.4,55.7,Game Reports
18.0,@,Green Bay Packers,01/07,4:25pm,L,9.0,17.0,57.5,59.4,58.3,34.2,71.7,62.4,46.6,51.4,37.0,59.8,52.9,63.2,71.5,Game Reports
,,,,,,,,,,,,,,,,,,,,,
