Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
Andrew Billings,#97,DI,17.0,506,239.0,265.0,2.0,66.3,55.3,41.2,75.2,73.8,23.0,0.0,2.0,21.0,0.0,16.0,11.0,5.0,15.6,14.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3 (0),505.0,1.0,0.0,0.0,0.0,306.0,180.0,19.0,0.0,chicago-bears
Yannick Ngakoue,#91,ED,13.0,592,166.0,408.0,18.0,39.9,37.7,28.9,47.6,52.6,34.0,4.0,4.0,26.0,0.0,11.0,6.0,7.0,29.2,11.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,39.6,2 (0),590.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,586.0,chicago-bears
Dylan Cole,#55,LB,2.0,3,2.0,0.0,1.0,50.1,60.0,-,-,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,chicago-bears
DeMarcus Walker,#95,ED,17.0,714,229.0,475.0,10.0,59.1,57.9,55.5,64.0,52.3,47.0,4.0,12.0,31.0,0.0,19.0,8.0,7.0,20.6,19.0,0.0,3.0,3.0,100.0,18.0,6.0,19.0,16.0,1.0,0.0,0.0,131.3,2 (0),712.0,2.0,0.0,0.0,0.0,6.0,68.0,169.0,469.0,chicago-bears
Eddie Jackson,#04,S,12.0,646,227.0,2.0,417.0,58.6,55.3,60.9,58.9,60.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,7.0,15.6,7.0,0.0,18.0,12.0,66.7,203.0,16.9,43.0,57.0,3.0,1.0,3.0,121.1,2 (1),8.0,64.0,494.0,70.0,10.0,0.0,0.0,0.0,8.0,chicago-bears
Tremaine Edmunds,#49,LB,15.0,876,287.0,43.0,546.0,56.6,57.5,61.4,42.5,58.3,4.0,0.0,0.0,4.0,0.0,81.0,30.0,14.0,11.2,35.0,0.0,70.0,58.0,82.9,611.0,10.5,391.0,75.0,5.0,4.0,2.0,103.0,2 (2),16.0,776.0,24.0,56.0,4.0,0.0,0.0,0.0,16.0,chicago-bears
Justin Jones,#93,DI,17.0,740,240.0,487.0,13.0,49.3,47.4,38.2,52.5,62.8,36.0,5.0,13.0,18.0,3.0,28.0,19.0,11.0,19.0,22.0,0.0,2.0,2.0,100.0,34.0,17.0,25.0,34.0,0.0,0.0,0.0,118.8,2 (0),740.0,0.0,0.0,0.0,0.0,16.0,460.0,255.0,9.0,chicago-bears
Rasheem Green,#94,ED,17.0,385,155.0,225.0,5.0,50.6,48.7,44.9,52.1,66.0,14.0,2.0,3.0,9.0,0.0,9.0,4.0,3.0,18.8,9.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),384.0,1.0,0.0,0.0,0.0,0.0,7.0,29.0,348.0,chicago-bears
T.J. Edwards,#53,LB,17.0,"1,042",356.0,77.0,609.0,79.6,76.5,71.8,74.5,75.4,13.0,3.0,6.0,4.0,0.0,112.0,34.0,16.0,9.9,61.0,1.0,91.0,69.0,75.8,666.0,9.7,530.0,39.0,2.0,3.0,4.0,89.4,0 (0),76.0,872.0,8.0,76.0,10.0,0.0,0.0,0.0,76.0,chicago-bears
Montez Sweat,#98,ED,9.0,387,104.0,279.0,4.0,71.2,59.5,71.0,71.6,52.0,37.0,8.0,6.0,23.0,2.0,13.0,4.0,2.0,10.5,14.0,1.0,1.0,1.0,100.0,14.0,14.0,19.0,14.0,0.0,0.0,0.0,118.8,0 (0),386.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,380.0,chicago-bears
