Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties
DJ Moore,#02,WR,17.0,"1,024",615.0,0.0,4.0,405.0,89.3,89.5,-,53.7,64.1,2 (1)
Khalil Herbert,#24,HB,12.0,356,152.0,31.0,134.0,39.0,77.9,67.5,53.3,79.4,45.8,0 (0)
Marcedes Lewis,#84,TE,17.0,330,42.0,64.0,0.0,224.0,77.1,65.3,68.4,-,73.7,2 (0)
Justin Fields,#01,QB,13.0,824,478.0,0.0,82.0,264.0,74.6,67.2,-,84.9,60.4,5 (0)
D'Onta Foreman,#21,HB,9.0,267,99.0,29.0,111.0,28.0,74.0,58.3,29.5,77.4,57.2,1 (0)
Cole Kmet,#85,TE,17.0,873,443.0,65.0,3.0,362.0,73.7,77.7,64.3,66.8,54.9,3 (0)
Teven Jenkins,#76,G,12.0,731,0.0,397.0,0.0,334.0,72.6,-,68.6,-,71.7,4 (0)
Darrynton Evans,#25,HB,5.0,88,36.0,9.0,32.0,11.0,69.8,64.6,73.9,68.7,60.0,0 (0)
Braxton Jones,#70,T,11.0,724,0.0,421.0,0.0,303.0,68.8,28.7,70.8,-,68.2,9 (2)
Collin Johnson,#80,WR,3.0,40,15.0,0.0,0.0,25.0,66.9,64.0,-,-,70.8,0 (0)
Roschon Johnson,#23,HB,15.0,394,202.0,68.0,80.0,44.0,65.8,60.7,64.8,66.9,62.7,1 (1)
Darnell Wright,#58,T,17.0,"1,127",0.0,646.0,0.0,481.0,62.4,-,61.4,-,66.0,11 (1)
Doug Kramer,#68,C,1.0,2,0.0,0.0,0.0,2.0,60.0,-,-,-,60.0,0 (0)
Nathan Peterman,#14,QB,2.0,4,1.0,0.0,2.0,1.0,58.4,60.0,-,60.0,60.0,0 (0)
Tyson Bagent,#17,QB,5.0,304,167.0,0.0,13.0,124.0,57.7,50.8,-,81.2,60.3,0 (0)
Khari Blasingame,#35,FB,16.0,186,47.0,31.0,8.0,100.0,55.8,41.3,57.0,55.4,68.2,0 (0)
Darnell Mooney,#11,WR,15.0,764,485.0,4.0,1.0,274.0,55.2,58.9,39.6,53.4,30.1,1 (1)
Equanimeous St. Brown,#19,WR,7.0,211,116.0,2.0,0.0,93.0,55.1,56.3,72.0,-,43.9,0 (0)
Chase Claypool,#10,WR,3.0,143,93.0,1.0,0.0,49.0,53.3,56.0,61.6,-,41.5,1 (0)
Velus Jones Jr.,#12,WR,13.0,99,59.0,0.0,8.0,32.0,53.1,49.6,-,70.7,52.3,1 (0)
Nate Davis,#64,G,11.0,663,0.0,384.0,0.0,279.0,52.9,-,47.9,-,55.3,6 (5)
Tyler Scott,#13,WR,17.0,436,263.0,8.0,7.0,158.0,52.7,53.2,80.6,60.6,45.8,1 (0)
Trent Taylor,#15,WR,14.0,121,64.0,1.0,1.0,55.0,51.8,52.3,62.4,57.2,53.8,0 (0)
Lucas Patrick,#62,C,16.0,953,0.0,563.0,0.0,390.0,50.5,-,40.6,-,61.6,11 (1)
Robert Tonyan,#18,TE,17.0,319,175.0,8.0,0.0,136.0,49.6,54.9,59.7,-,38.9,1 (0)
Ja'Tyre Carter,#69,G,5.0,175,0.0,100.0,0.0,75.0,49.0,-,67.2,-,44.8,1 (0)
Larry Borom,#75,T,9.0,411,0.0,225.0,0.0,186.0,48.0,-,45.2,-,50.4,5 (0)
Cody Whitehair,#65,G,14.0,787,0.0,454.0,0.0,333.0,45.0,-,55.0,-,42.4,2 (0)
Dan Feeney,#67,C,4.0,90,0.0,40.0,0.0,50.0,44.8,-,44.8,-,45.7,1 (0)
Travis Homer,#20,HB,3.0,6,3.0,0.0,0.0,3.0,37.9,26.0,-,-,60.0,0 (0)
