Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Patrick Scales,#48,LS,17.0,139.0,0.0,0.0,0.0,68.0,0.0,71.0,65.1,-,-,-,0 (0),0.0,0.0,1.0,chicago-bears
Cairo Santos,#08,K,17.0,147.0,0.0,76.0,0.0,0.0,0.0,71.0,60.9,87.6,-,83.3,0 (0),0.0,0.0,0.0,chicago-bears
Trenton Gill,#16,P,17.0,152.0,0.0,13.0,0.0,68.0,0.0,71.0,63.5,63.1,65.6,-,0 (0),0.0,0.0,1.0,chicago-bears
