Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Harrison Butker,#07,K,21.0,89.2,108.0,71.6,25.4,0.0,14.8,16.0,426.0,26.6,91.0,1.0,104.0,4.06
Tommy Townsend,#05,P,1.0,60.0,1.0,80.0,25.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,4.57
,,,,,,,,,,,,,,,,
