Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
Patrick Mahomes,#15,QB,20.0,436.0,98.0,530,5.4,0.0,8.0,90.5,88.4,81.9,60.9,187.0,1.91,15.0,28.0,21.0,3.0,2.0,64.0,533.0,-3,1.0,22.0,4.2,35.0,7 (1),59.9,60.9,0.0,0.0,0,1.0,0.0,0.0,0.0
Isiah Pacheco,#10,HB,18.0,321.0,286.0,"1,248",4.4,10.0,3.0,79.9,80.2,78.0,59.3,828.0,2.9,47.0,48.0,28.0,158.0,120.0,0.0,0.0,"1,248",13.0,337.0,27.0,68.0,1 (0),69.9,67.4,62.0,56.0,304,365.0,0.83,1.0,47.4
Blaine Gabbert,#09,QB,2.0,38.0,7.0,45,6.4,0.0,0.0,60.7,74.8,79.8,60.0,21.0,3.0,1.0,25.0,2.0,0.0,0.0,4.0,47.0,-2,0.0,0.0,0.0,2.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
La'Mical Perine,#29,HB,5.0,25.0,22.0,77,3.5,0.0,0.0,64.4,65.8,78.1,72.8,49.0,2.23,2.0,10.0,1.0,16.0,5.0,0.0,0.0,77,0.0,0.0,0.0,3.0,0 (0),48.3,79.2,4.0,3.0,33,31.0,1.06,1.0,17.8
Clyde Edwards-Helaire,#25,HB,19.0,88.0,81.0,276,3.4,1.0,1.0,65.5,64.6,63.4,60.0,206.0,2.54,13.0,28.0,6.0,52.0,27.0,0.0,0.0,276,3.0,64.0,23.2,15.0,0 (0),65.9,59.1,26.0,21.0,195,155.0,1.26,1.0,54.9
Kadarius Toney,#19,WR,13.0,68.0,11.0,31,2.8,0.0,1.0,62.5,62.3,38.3,62.9,37.0,3.36,1.0,14.0,2.0,3.0,3.0,0.0,0.0,31,0.0,0.0,0.0,2.0,1 (0),62.9,-,37.0,27.0,169,152.0,1.11,4.0,115.1
Jerick McKinnon,#01,HB,13.0,37.0,21.0,60,2.9,1.0,0.0,63.1,60.6,80.9,43.8,38.0,1.81,0.0,10.0,1.0,13.0,5.0,0.0,0.0,60,0.0,0.0,0.0,7.0,0 (0),69.1,58.1,34.0,27.0,207,190.0,1.09,2.0,26.4
Noah Gray,#83,TE,21.0,307.0,1.0,1,1.0,0.0,0.0,62.9,60.0,77.8,56.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0 (0),63.7,47.6,50.0,36.0,371,379.0,0.98,1.0,0.0
Skyy Moore,#24,WR,14.0,189.0,3.0,23,7.7,0.0,0.0,54.8,55.1,26.3,53.6,18.0,6.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,1.0,0 (0),54.9,-,36.0,21.0,244,289.0,0.84,1.0,125.0
Rashee Rice,#04,WR,20.0,273.0,3.0,2,0.7,0.0,4.0,84.9,35.3,23.6,59.8,4.0,1.33,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2 (0),86.1,71.7,131.0,105.0,"1,200",542.0,2.21,3.0,19.8
Mecole Hardman Jr.,#12,WR,10.0,60.0,3.0,-2,-0.7,0.0,2.0,56.4,28.5,21.8,59.2,1.0,0.33,0.0,3.0,0.0,1.0,1.0,0.0,0.0,-2,0.0,0.0,0.0,0.0,1 (0),62.3,-,27.0,19.0,180,121.0,1.49,2.0,4.5
Travis Kelce,#87,TE,19.0,289.0,1.0,5,5.0,0.0,1.0,82.6,-,63.6,46.9,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,1.0,10 (3),87.8,77.9,155.0,125.0,"1,339",662.0,2.02,8.0,15.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
