Player,JerseyNumber,Position,GamesPlayed,RunDefenseSnaps,RunDefenseGrade,RunDefenseTackles,RunDefenseAssists,RunDefenseMissedTackles,RunDefenseMissedTacklePercentage,RunDefenseStops,RunDefenseStopPercentage,RunDefenseForcedFumbles,RunDefenseAverageDepthOfTackle,RunDefensePenalties
Leo Chenal,#54,LB,21.0,272.0,90.6,33.0,15.0,4.0,7.7,22.0,8.3,1.0,2.4,0 (0)
Cam Jones,#44,LB,3.0,25.0,80.4,3.0,1.0,0.0,0.0,2.0,8.3,0.0,2.7,0 (0)
Chamarri Conner,#27,S,19.0,143.0,79.6,12.0,4.0,3.0,15.8,4.0,2.9,0.0,5.4,0 (0)
Nick Bolton,#32,LB,12.0,255.0,74.0,34.0,21.0,4.0,6.8,21.0,8.5,0.0,3.2,2 (1)
Willie Gay,#50,LB,19.0,298.0,72.7,29.0,13.0,2.0,4.5,17.0,5.9,1.0,3.6,0 (0)
Trent McDuffie,#22,CB,20.0,455.0,71.8,28.0,8.0,9.0,20.0,15.0,3.4,0.0,6.5,5 (2)
L'Jarius Sneed,#38,CB,20.0,461.0,70.8,23.0,7.0,5.0,14.3,8.0,1.8,0.0,6.1,18 (6)
Jaylen Watson,#35,CB,19.0,143.0,70.6,8.0,0.0,1.0,11.1,4.0,2.9,0.0,7.3,3 (0)
Mike Pennel,#69,DI,7.0,78.0,67.3,9.0,4.0,1.0,7.1,9.0,12.0,0.0,1.3,0 (0)
Bryan Cook,#06,S,12.0,215.0,66.4,11.0,7.0,5.0,21.7,2.0,0.9,0.0,11.0,0 (0)
Justin Reid,#20,S,20.0,457.0,63.8,43.0,9.0,10.0,16.1,20.0,4.5,0.0,4.7,3 (1)
Nic Jones,#31,CB,1.0,16.0,63.6,1.0,0.0,0.0,0.0,1.0,6.7,0.0,-4.0,0 (0)
Joshua Williams,#02,CB,19.0,106.0,62.6,5.0,2.0,0.0,0.0,2.0,1.9,0.0,2.4,2 (0)
Keondre Coburn,#94,DI,1.0,6.0,60.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,,0 (0)
Ekow Boye-Doe,#40,CB,1.0,5.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Montrell Washington,#80,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Noah Gray,#83,TE,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Cole Christiansen,#48,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Richie James,#17,WR,2.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
Chris Jones,#95,DI,20.0,312.0,60.0,13.0,7.0,2.0,9.1,10.0,3.3,0.0,1.3,4 (0)
Jerick McKinnon,#01,HB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
George Karlaftis,#56,ED,20.0,323.0,58.4,24.0,11.0,1.0,2.8,14.0,4.5,0.0,3.1,1 (1)
Neil Farrell Jr.,#92,DI,5.0,29.0,57.0,2.0,1.0,1.0,25.0,2.0,6.9,0.0,0.5,0 (0)
Mike Danna,#51,ED,20.0,323.0,56.1,33.0,8.0,1.0,2.4,21.0,6.7,0.0,4.5,0 (0)
Drue Tranquill,#23,LB,19.0,283.0,55.9,31.0,15.0,6.0,11.5,19.0,6.9,1.0,3.0,0 (0)
Charles Omenihu,#90,ED,14.0,178.0,54.0,17.0,5.0,4.0,15.4,8.0,4.6,0.0,2.7,2 (1)
Jack Cochrane,#43,LB,10.0,68.0,53.8,11.0,1.0,1.0,7.7,4.0,6.1,0.0,4.2,0 (0)
Mike Edwards,#21,S,19.0,235.0,53.6,18.0,11.0,5.0,14.7,5.0,2.2,0.0,6.6,2 (1)
Malik Herring,#94,ED,10.0,85.0,51.8,7.0,3.0,1.0,9.1,6.0,7.3,1.0,0.7,1 (0)
Felix Anudike-Uzomah,#97,ED,16.0,57.0,51.5,7.0,1.0,1.0,11.1,5.0,8.9,0.0,0.3,0 (0)
Tershawn Wharton,#98,DI,21.0,172.0,46.9,14.0,8.0,2.0,8.3,6.0,3.6,0.0,4.1,1 (0)
BJ Thompson,#53,ED,1.0,8.0,43.7,1.0,0.0,1.0,50.0,0.0,0.0,0.0,4.0,0 (0)
Derrick Nnadi,#91,DI,18.0,256.0,42.0,20.0,10.0,4.0,11.8,12.0,4.8,0.0,2.5,2 (0)
Matt Dickerson,#93,DI,13.0,107.0,40.1,8.0,3.0,0.0,0.0,5.0,4.7,0.0,3.8,0 (0)
Deon Bush,#26,S,3.0,22.0,36.5,0.0,2.0,3.0,60.0,0.0,0.0,0.0,,0 (0)
,,,,,,,,,,,,,,
