Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Travis Kelce,#87,TE,19.0,155.0,125.0,80.6,"1,339",10.7,8.0,82.6,87.8,76.7,63.6,77.9,726.0,662.0,91.2,23.0,3.2,363.0,50.0,167.0,23.0,189.0,26.0,621.0,5.0,2.02,7.0,53.0,8.0,6.0,17.0,7.0,41.2,3.0,1.0,20.0,69.0,111.8,10 (3)
Rashee Rice,#04,WR,20.0,131.0,105.0,80.2,"1,200",11.4,8.0,84.9,86.1,90.2,23.6,71.7,579.0,542.0,93.6,4.0,0.7,288.0,49.7,286.0,49.4,3.0,0.5,853.0,8.1,2.21,5.0,67.0,3.0,2.8,7.0,1.0,14.3,1.0,3.0,16.0,59.0,122.0,2 (0)
Isiah Pacheco,#10,HB,18.0,62.0,56.0,90.3,304,5.4,2.0,79.9,69.9,88.9,78.0,67.4,460.0,365.0,79.3,74.0,16.1,16.0,3.5,29.0,6.3,6.0,1.3,432.0,7.7,0.83,-2.1,33.0,1.0,1.8,1.0,1.0,100.0,0.0,0.0,9.0,14.0,97.8,1 (0)
Jerick McKinnon,#01,HB,13.0,34.0,27.0,79.4,207,7.7,4.0,63.1,69.1,65.0,80.9,58.1,244.0,190.0,77.9,39.0,16.0,6.0,2.5,8.0,3.3,17.0,7.0,200.0,7.4,1.09,0.9,27.0,2.0,6.9,0.0,0.0,,0.0,0.0,7.0,11.0,131.3,0 (0)
Donovan Smith,#79,T,16.0,1.0,1.0,100.0,0,0.0,0.0,57.8,66.9,67.6,62.3,62.2,688.0,0.0,0.0,688.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,79.2,10 (4)
Clyde Edwards-Helaire,#25,HB,19.0,26.0,21.0,80.8,195,9.3,1.0,65.5,65.9,71.3,63.4,59.1,195.0,155.0,79.5,33.0,16.9,9.0,4.6,13.0,6.7,6.0,3.1,250.0,11.9,1.26,-2.2,48.0,1.0,4.5,3.0,1.0,33.3,1.0,0.0,9.0,8.0,94.7,0 (0)
Noah Gray,#83,TE,21.0,50.0,36.0,72.0,371,10.3,2.0,62.9,63.7,80.8,77.8,47.6,441.0,379.0,85.9,39.0,8.8,153.0,34.7,89.0,20.2,193.0,43.8,168.0,4.7,0.98,7.0,34.0,1.0,2.7,6.0,1.0,16.7,1.0,0.0,9.0,19.0,98.0,0 (0)
Kadarius Toney,#19,WR,13.0,37.0,27.0,73.0,169,6.3,1.0,62.5,62.9,37.4,38.3,-,161.0,152.0,94.4,0.0,0.0,74.0,46.0,76.0,47.2,1.0,0.6,136.0,5.0,1.11,2.9,18.0,4.0,12.9,2.0,0.0,0.0,2.0,1.0,12.0,12.0,68.4,1 (0)
Mecole Hardman Jr.,#12,WR,10.0,27.0,19.0,70.4,180,9.5,1.0,56.4,62.3,56.9,21.8,-,130.0,121.0,93.1,0.0,0.0,70.0,53.8,55.0,42.3,1.0,0.8,121.0,6.4,1.49,8.0,52.0,2.0,9.5,3.0,1.0,33.3,2.0,1.0,3.0,10.0,70.0,1 (0)
Justin Watson,#84,WR,20.0,62.0,33.0,53.2,550,16.7,3.0,61.7,61.6,36.1,28.2,66.3,492.0,463.0,94.1,1.0,0.2,151.0,30.7,337.0,68.5,2.0,0.4,71.0,2.2,1.19,17.9,41.0,6.0,15.4,15.0,7.0,46.7,3.0,1.0,0.0,25.0,79.4,1 (0)
Richie James,#17,WR,13.0,18.0,11.0,61.1,120,10.9,0.0,56.3,56.0,43.5,58.5,-,132.0,130.0,98.5,0.0,0.0,67.0,50.8,62.0,47.0,1.0,0.8,63.0,5.7,0.92,8.1,45.0,2.0,15.4,4.0,1.0,25.0,0.0,0.0,2.0,6.0,80.8,0 (0)
Skyy Moore,#24,WR,14.0,36.0,21.0,58.3,244,11.6,1.0,54.8,54.9,72.8,26.3,-,307.0,289.0,94.1,0.0,0.0,107.0,34.9,194.0,63.2,4.0,1.3,111.0,5.3,0.84,9.3,54.0,1.0,4.5,4.0,1.0,25.0,3.0,0.0,4.0,13.0,53.5,0 (0)
Marquez Valdes-Scantling,#11,WR,20.0,52.0,29.0,55.8,443,15.3,2.0,52.1,52.9,57.8,27.2,-,608.0,569.0,93.6,0.0,0.0,198.0,32.6,410.0,67.4,0.0,0.0,101.0,3.5,0.78,17.8,46.0,3.0,9.4,7.0,3.0,42.9,1.0,1.0,2.0,19.0,88.9,3 (1)
Justyn Ross,#08,WR,10.0,11.0,6.0,54.5,53,8.8,0.0,48.7,51.0,29.8,68.8,-,85.0,79.0,92.9,0.0,0.0,18.0,21.2,67.0,78.8,0.0,0.0,14.0,2.3,0.67,9.4,20.0,2.0,25.0,3.0,1.0,33.3,0.0,0.0,0.0,2.0,67.6,1 (0)
La'Mical Perine,#29,HB,4.0,4.0,3.0,75.0,33,11.0,0.0,64.4,48.3,36.8,78.1,79.2,36.0,31.0,86.1,5.0,13.9,0.0,0.0,4.0,11.1,0.0,0.0,33.0,11.0,1.06,0.0,25.0,1.0,25.0,0.0,0.0,,0.0,0.0,0.0,1.0,99.0,0 (0)
Blake Bell,#81,TE,21.0,9.0,5.0,55.6,26,5.2,1.0,43.0,30.6,45.8,16.0,46.5,116.0,89.0,76.7,19.0,16.4,16.0,13.8,6.0,5.2,91.0,78.4,20.0,4.0,0.29,3.2,8.0,1.0,16.7,2.0,0.0,0.0,1.0,1.0,0.0,1.0,58.3,1 (1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
