Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Kenny Moore II,#23,CB,16.0,622.0,594.0,95.5,78.4,5 (0),82.0,65.0,79.3,603.0,9.3,418.0,4.4,54.0,4.0,5.0,2.0,3.0,1.0,4.0,98.3,7.0,8.8,48.0,7.0,6.0,9.8,20.0
Samson Ebukam,#52,ED,17.0,456.0,6.0,1.3,75.8,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,7.0,0.0,5.0,41.7,16.0
Julian Blackmon,#32,S,15.0,564.0,545.0,96.6,72.6,0 (0),44.0,31.0,70.5,365.0,11.8,207.0,8.6,45.0,3.0,7.0,2.0,4.0,2.0,0.0,57.5,11.8,16.8,35.0,6.0,5.0,10.9,11.0
Dallis Flowers,#33,CB,4.0,176.0,176.0,100.0,70.6,0 (0),18.0,11.0,61.1,115.0,10.5,29.0,10.4,24.0,3.0,17.0,3.0,0.0,0.0,1.0,98.1,9.4,15.5,8.0,1.0,2.0,18.2,2.0
DeForest Buckner,#99,DI,17.0,505.0,10.0,2.0,69.3,5 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,8.0,1.0,3.0,25.0,10.0
Segun Olubi,#50,LB,5.0,66.0,62.0,93.9,66.9,0 (0),7.0,4.0,57.1,25.0,6.3,7.0,7.9,8.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,8.7,15.3,4.0,1.0,1.0,16.7,2.0
JuJu Brents,#29,CB,9.0,295.0,295.0,100.0,64.5,3 (1),48.0,32.0,66.7,453.0,14.2,89.0,12.3,75.0,8.0,17.0,5.0,1.0,1.0,3.0,109.1,5.9,8.9,25.0,2.0,3.0,10.0,4.0
Nick Cross,#20,S,14.0,173.0,166.0,96.0,63.2,0 (0),7.0,3.0,42.9,27.0,9.0,0.0,14.9,24.0,1.0,14.0,0.0,1.0,0.0,1.0,53.9,23.1,54.0,11.0,3.0,3.0,17.6,1.0
Ronnie Harrison,#48,LB,6.0,123.0,120.0,97.6,61.9,1 (0),11.0,6.0,54.5,40.0,6.7,22.0,5.1,14.0,0.0,0.0,0.0,2.0,0.0,0.0,23.1,10.5,19.3,7.0,1.0,1.0,11.1,2.0
Rodney Thomas II,#25,S,16.0,551.0,549.0,99.6,60.1,0 (0),20.0,12.0,60.0,254.0,21.2,59.0,18.4,48.0,2.0,10.0,2.0,2.0,0.0,2.0,97.9,26.3,43.8,17.0,3.0,4.0,16.7,0.0
Dayo Odeyingbo,#54,ED,17.0,366.0,1.0,0.3,60.0,6 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,100.0,10.0
Eric Johnson,#93,DI,14.0,111.0,1.0,0.9,59.5,1 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,2.0
