Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Kevin Harris,#36,HB,4.0,3.0,3.0,100.0,58.0,19.3,0.0,76.5,84.6,70.5,76.9,77.3,16.0,13.0,81.3,3.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,58.0,19.3,4.46,0.0,48.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,118.8,0 (0)
Pharaoh Brown,#86,TE,17.0,15.0,13.0,86.7,208.0,16.0,1.0,73.3,76.5,80.6,21.9,60.1,157.0,114.0,72.6,40.0,25.5,14.0,8.9,8.0,5.1,131.0,83.4,121.0,9.3,1.82,6.9,58.0,0.0,0.0,5.0,3.0,60.0,0.0,1.0,4.0,8.0,141.0,0 (0)
Demario Douglas,#81,WR,14.0,76.0,49.0,64.5,561.0,11.4,0.0,74.4,75.6,79.7,57.6,-,337.0,330.0,97.9,0.0,0.0,228.0,67.7,106.0,31.5,0.0,0.0,343.0,7.0,1.7,8.0,42.0,2.0,3.9,11.0,4.0,36.4,3.0,1.0,12.0,26.0,70.1,2 (0)
Hunter Henry,#85,TE,14.0,62.0,42.0,67.7,419.0,10.0,6.0,69.3,72.2,75.8,31.2,74.8,414.0,370.0,89.4,26.0,6.3,199.0,48.1,34.0,8.2,180.0,43.5,76.0,1.8,1.13,9.4,24.0,2.0,4.5,17.0,10.0,58.8,2.0,1.0,1.0,29.0,105.5,5 (1)
Kendrick Bourne,#84,WR,8.0,55.0,37.0,67.3,406.0,11.0,4.0,67.2,69.7,90.0,29.3,-,247.0,235.0,95.1,0.0,0.0,75.0,30.4,172.0,69.6,0.0,0.0,208.0,5.6,1.73,10.5,36.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,8.0,15.0,82.8,3 (0)
Ezekiel Elliott,#15,HB,17.0,61.0,51.0,83.6,313.0,6.1,2.0,67.6,66.3,72.5,55.2,37.1,326.0,247.0,75.8,69.0,21.2,29.0,8.9,22.0,6.7,2.0,0.6,378.0,7.4,1.27,-0.5,23.0,3.0,5.6,2.0,1.0,50.0,0.0,1.0,10.0,12.0,99.0,0 (0)
DeVante Parker,#01,WR,13.0,55.0,33.0,60.0,394.0,11.9,0.0,61.2,62.5,61.3,77.1,-,362.0,348.0,96.1,0.0,0.0,59.0,16.3,303.0,83.7,0.0,0.0,131.0,4.0,1.13,11.3,30.0,3.0,8.3,19.0,10.0,52.6,2.0,0.0,2.0,17.0,66.8,1 (0)
JuJu Smith-Schuster,#07,WR,11.0,46.0,29.0,63.0,260.0,9.0,1.0,57.0,59.0,57.0,76.3,-,256.0,246.0,96.1,0.0,0.0,111.0,43.4,144.0,56.3,1.0,0.4,95.0,3.3,1.06,7.5,37.0,3.0,9.4,13.0,8.0,61.5,4.0,0.0,0.0,13.0,49.2,4 (0)
Mike Gesicki,#88,TE,17.0,43.0,29.0,67.4,243.0,8.4,2.0,55.7,58.3,87.6,76.5,78.7,354.0,339.0,95.8,4.0,1.1,252.0,71.2,66.0,18.6,36.0,10.2,85.0,2.9,0.72,9.3,18.0,0.0,0.0,10.0,5.0,50.0,2.0,0.0,0.0,11.0,78.0,0 (0)
Ty Montgomery,#14,WR,10.0,11.0,5.0,45.5,40.0,8.0,0.0,55.5,55.1,29.2,77.0,-,32.0,32.0,100.0,0.0,0.0,19.0,59.4,8.0,25.0,0.0,0.0,30.0,6.0,1.25,8.3,17.0,2.0,28.6,3.0,2.0,66.7,1.0,0.0,0.0,3.0,17.2,1 (0)
Tyquan Thornton,#11,WR,9.0,22.0,13.0,59.1,91.0,7.0,0.0,57.6,54.4,47.7,73.8,-,141.0,137.0,97.2,0.0,0.0,32.0,22.7,109.0,77.3,0.0,0.0,48.0,3.7,0.66,10.8,15.0,2.0,13.3,3.0,1.0,33.3,0.0,0.0,0.0,3.0,68.6,0 (0)
Jalen Reagor,#83,WR,10.0,22.0,7.0,31.8,138.0,19.7,0.0,51.4,53.5,52.1,75.7,-,204.0,198.0,97.1,0.0,0.0,27.0,13.2,177.0,86.8,0.0,0.0,20.0,2.9,0.7,17.1,39.0,1.0,12.5,6.0,2.0,33.3,3.0,0.0,0.0,5.0,15.2,1 (0)
Rhamondre Stevenson,#38,HB,12.0,48.0,38.0,79.2,238.0,6.3,0.0,71.3,51.2,55.9,77.3,72.7,308.0,251.0,81.5,50.0,16.2,26.0,8.4,25.0,8.1,0.0,0.0,273.0,7.2,0.95,-0.1,34.0,4.0,9.5,1.0,1.0,100.0,0.0,0.0,8.0,8.0,87.3,0 (0)
Kayshon Boutte,#80,WR,5.0,7.0,2.0,28.6,19.0,9.5,0.0,47.1,47.4,68.3,64.0,-,85.0,83.0,97.6,0.0,0.0,10.0,11.8,75.0,88.2,0.0,0.0,10.0,5.0,0.23,19.1,11.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,1.0,39.6,0 (0)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
