Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,,Philadelphia Eagles,09/10,4:25pm,L,20.0,25.0,73.1,66.3,76.9,58.8,62.0,78.2,43.3,77.4,79.5,80.7,65.8,74.5,68.6,Game Reports
2.0,,Miami Dolphins,09/17,8:20pm,L,17.0,24.0,64.2,60.5,60.3,44.6,65.2,74.0,41.8,63.9,64.0,64.3,57.5,65.7,76.2,Game Reports
3.0,@,New York Jets,09/24,1:00pm,W,15.0,10.0,72.1,67.4,57.8,62.1,65.0,64.1,72.4,76.6,70.1,85.7,64.6,76.2,58.6,Game Reports
4.0,@,Dallas Cowboys,10/01,4:25pm,L,3.0,38.0,52.4,48.6,32.5,26.9,64.2,56.6,61.4,60.8,62.5,59.0,57.9,59.4,61.5,Game Reports
5.0,,New Orleans Saints,10/08,1:00pm,L,0.0,34.0,46.6,53.8,52.3,38.7,59.9,59.5,57.2,50.2,59.2,52.7,61.3,37.8,49.0,Game Reports
6.0,@,Las Vegas Raiders,10/15,4:05pm,L,17.0,21.0,57.3,56.7,41.4,60.7,61.7,79.2,50.3,59.6,74.0,68.1,57.0,50.2,55.1,Game Reports
7.0,,Buffalo Bills,10/22,1:00pm,W,29.0,25.0,66.9,80.3,73.9,70.0,75.6,65.1,80.5,47.3,62.5,43.7,56.6,42.2,57.0,Game Reports
8.0,@,Miami Dolphins,10/29,1:00pm,L,17.0,31.0,65.5,59.7,51.7,46.5,68.9,58.0,54.1,66.9,83.3,65.7,58.4,59.5,65.0,Game Reports
9.0,,Washington Commanders,11/05,1:00pm,L,17.0,20.0,66.9,68.9,69.2,77.4,63.2,63.1,63.7,61.3,60.9,65.1,65.4,57.2,58.4,Game Reports
10.0,,Indianapolis Colts,11/12,9:30am,L,6.0,10.0,61.3,66.0,47.8,54.6,54.3,79.6,79.6,53.4,51.4,69.0,50.8,60.0,71.9,Game Reports
12.0,@,New York Giants,11/26,1:00pm,L,7.0,10.0,67.3,61.2,22.9,86.6,57.3,73.5,84.7,75.8,65.0,72.8,69.2,74.9,68.7,Game Reports
13.0,,Los Angeles Chargers,12/03,1:00pm,L,0.0,6.0,64.5,57.3,64.4,51.6,52.3,60.1,62.7,70.6,86.2,65.3,47.4,65.8,67.8,Game Reports
14.0,@,Pittsburgh Steelers,12/07,8:20pm,W,21.0,18.0,69.7,61.8,69.5,36.9,69.5,56.6,51.0,73.9,76.6,67.1,64.9,68.0,58.8,Game Reports
15.0,,Kansas City Chiefs,12/17,1:00pm,L,17.0,27.0,63.5,55.1,49.7,39.7,68.5,64.3,38.0,69.6,84.8,76.4,60.9,61.7,73.2,Game Reports
16.0,@,Denver Broncos,12/24,8:15pm,W,26.0,23.0,72.8,69.6,87.5,49.7,68.6,67.7,49.0,69.9,64.9,28.8,70.1,64.9,75.9,Game Reports
17.0,@,Buffalo Bills,12/31,1:00pm,L,21.0,27.0,78.9,80.0,75.5,55.1,66.7,77.0,86.0,67.1,76.9,75.2,62.9,55.6,70.9,Game Reports
18.0,,New York Jets,01/07,1:00pm,L,3.0,17.0,49.7,36.2,24.5,47.4,49.2,56.3,51.0,70.1,60.4,57.0,63.1,79.8,67.2,Game Reports
,,,,,,,,,,,,,,,,,,,,,
