Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Mike Gesicki,#88,TE,17.0,528,178,33.7,174.0,4.0,55.7,35.1,78.7,4.0,1.2,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0.0,0.0,94.0
Kevin Harris,#36,HB,4.0,34,5,14.7,2.0,3.0,76.5,46.2,77.3,3.0,18.8,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0.0,0.0,0.0
Hunter Henry,#85,TE,14.0,663,275,41.5,249.0,26.0,69.3,55.8,74.8,25.0,6.3,0.0,0.0,0.0,0.0,100.0,5 (1),0.0,0.0,0,0.0,0.0,390.0
Trent Brown,#77,T,11.0,579,579,100.0,233.0,346.0,80.2,80.7,72.8,334.0,100.0,3.0,6.0,8.0,17.0,97.0,2 (1),579.0,0.0,0,0.0,0.0,0.0
Rhamondre Stevenson,#38,HB,12.0,484,67,13.8,17.0,50.0,71.3,29.3,72.7,48.0,16.1,1.0,0.0,3.0,4.0,94.8,0 (0),0.0,0.0,0,0.0,0.0,0.0
Matt Sokol,#87,TE,3.0,14,13,92.9,12.0,1.0,41.7,47.3,69.6,1.0,50.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0,0.0,0.0,14.0
Mike Onwenu,#71,T,15.0,850,850,100.0,345.0,505.0,71.5,72.2,68.0,489.0,100.0,3.0,2.0,18.0,23.0,97.3,4 (0),0.0,0.0,0,194.0,656.0,0.0
Conor McDermott,#75,T,6.0,227,227,100.0,82.0,145.0,67.8,68.0,65.9,140.0,100.0,2.0,2.0,10.0,14.0,94.3,3 (0),227.0,0.0,0,0.0,0.0,0.0
Riley Reiff,#74,G,1.0,45,45,100.0,16.0,29.0,60.0,57.0,63.4,27.0,100.0,0.0,0.0,1.0,1.0,98.1,0 (0),0.0,13.0,0,32.0,0.0,0.0
Pharaoh Brown,#86,TE,17.0,399,282,70.7,242.0,40.0,73.3,63.3,60.1,39.0,25.5,0.0,0.0,3.0,3.0,96.2,0 (0),0.0,0.0,0,0.0,1.0,359.0
Cole Strange,#69,G,10.0,564,564,100.0,224.0,340.0,64.6,66.2,57.7,327.0,100.0,3.0,3.0,16.0,22.0,96.2,2 (0),0.0,564.0,0,0.0,0.0,0.0
David Andrews,#60,C,17.0,"1,050","1,050",100.0,401.0,649.0,71.2,78.0,51.2,626.0,100.0,6.0,2.0,22.0,30.0,97.1,1 (1),0.0,0.0,"1,050",0.0,0.0,0.0
