Player,JerseyNumber,Position,GamesPlayed,RushingTotalSnaps,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingFumbles,RushingOverallGrade,RushingGrade,RushingFumbles.1,RushingRunBlockingGrade,RushingYardsAfterContact,RushingYardsAfterContactPerAttempt,RushingMissedTacklesForced,RushingLongestRush,Rushing10PlusYardRuns,RushingYardsInZoneScheme,RushingYardsInGapScheme,RushingScrambles,RushingScrambleYards,RushingDesignedYards,Rushing15PlusYardRuns,RushingBreakawayYards,RushingBreakawayPercentage,RushingFirstDowns,RushingPenalties,RushingReceivingGrade,RushingPassBlockingGrade,RushingTargets,RushingReceptions,RushingReceivingYards,RushingReceivingSnaps,RushingYardsPerRouteRun,RushingDrops,RushingElusiveRating
De'Von Achane,#28,HB,12.0,127.0,108.0,813,7.5,8.0,1.0,92.1,93.1,71.0,77.2,534.0,4.94,30.0,76.0,22.0,59.0,40.0,0.0,0.0,813,13.0,434.0,53.4,31.0,0 (0),77.7,65.7,43.0,31.0,214,187.0,1.14,0.0,142.3
Raheem Mostert,#31,HB,16.0,260.0,217.0,"1,045",4.8,18.0,4.0,84.7,91.3,45.6,59.1,728.0,3.35,54.0,49.0,30.0,148.0,63.0,0.0,0.0,"1,045",14.0,329.0,31.5,61.0,1 (0),48.7,66.0,31.0,26.0,172,276.0,0.62,2.0,91.1
Chris Brooks,#35,HB,4.0,31.0,19.0,106,5.6,0.0,0.0,82.0,79.1,77.1,78.2,107.0,5.63,9.0,52.0,2.0,14.0,5.0,0.0,0.0,106,2.0,80.0,75.5,2.0,0 (0),53.4,-,0.0,0.0,0,4.0,0.0,0.0,266.8
Jeff Wilson Jr.,#23,HB,11.0,53.0,41.0,188,4.6,0.0,0.0,59.5,67.9,82.6,47.0,120.0,2.93,4.0,15.0,5.0,24.0,17.0,0.0,0.0,188,1.0,15.0,8.0,8.0,0 (0),50.0,27.1,19.0,15.0,91,96.0,0.95,1.0,20.9
Erik Ezukanma,#18,WR,2.0,15.0,5.0,22,4.4,0.0,0.0,60.3,66.2,68.6,54.1,20.0,4.0,2.0,12.0,1.0,0.0,2.0,0.0,0.0,22,0.0,0.0,0.0,2.0,0 (0),55.5,-,1.0,0.0,0,13.0,0.0,0.0,160.0
Salvon Ahmed,#26,HB,8.0,36.0,22.0,61,2.8,1.0,0.0,61.0,64.4,79.7,57.4,62.0,2.82,4.0,10.0,1.0,16.0,6.0,0.0,0.0,61,0.0,0.0,0.0,3.0,0 (0),58.8,36.4,21.0,16.0,88,92.0,0.96,0.0,44.5
Braxton Berrios,#00,WR,17.0,120.0,1.0,11,11.0,0.0,0.0,57.6,63.1,90.1,50.2,9.0,9.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,1.0,2 (1),57.4,69.3,34.0,27.0,238,335.0,0.71,1.0,64.3
Mike White,#14,QB,6.0,47.0,8.0,-14,-1.8,0.0,1.0,52.5,60.3,73.9,60.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-14,0.0,0.0,0.0,0.0,0 (0),-,-,0.0,0.0,0,0.0,,0.0,0.0
Tyreek Hill,#10,WR,17.0,214.0,6.0,15,2.5,0.0,1.0,93.4,55.6,64.4,55.6,7.0,1.17,1.0,14.0,1.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,2.0,3 (0),93.8,-,175.0,124.0,"1,861",500.0,3.72,10.0,26.0
Jaylen Waddle,#17,WR,15.0,222.0,4.0,21,5.3,0.0,0.0,90.3,54.7,82.2,55.1,5.0,1.25,0.0,12.0,1.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,1.0,0 (0),90.6,-,109.0,74.0,"1,045",415.0,2.52,7.0,16.0
Alec Ingold,#30,FB,18.0,241.0,2.0,0,0.0,0.0,0.0,47.1,53.5,74.0,40.2,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,1 (0),52.0,77.2,15.0,13.0,119,148.0,0.8,1.0,0.0
Darrynton Evans,#37,HB,1.0,3.0,2.0,16,8.0,0.0,0.0,32.7,38.0,65.2,60.0,6.0,3.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,16,0.0,0.0,0.0,1.0,0 (0),57.5,-,0.0,0.0,0,2.0,0.0,0.0,0.0
Tua Tagovailoa,#01,QB,18.0,421.0,38.0,99,2.6,0.0,14.0,86.9,29.9,56.6,60.0,31.0,0.82,2.0,14.0,2.0,2.0,1.0,19.0,112.0,-13,0.0,0.0,0.0,7.0,6 (0),57.7,-,0.0,0.0,0,2.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
