Player,JerseyNumber,Position,GamesPlayed,KickReturnsTotal,KickReturnsTotalGrade,KickoffReturnsTotal,KickoffReturnsTotalYards,KickoffReturnsTotalYards.1,KickoffReturnsLongestReturn,KickoffReturnsYardsPerAttempt,KickoffReturnsTouchdowns,KickoffReturnsFairCatches,KickoffReturnsMuffed,PuntReturnsTotal,PuntReturnsTotalReturns,PuntReturnsTotalYards,PuntReturnsTotalFairCatches,PuntReturnsTotalLongestReturn,PuntReturnsTotalYardsPerAttempt,PuntReturnsTotalTouchdowns,PuntReturnsTotalMuffed
Duke Riley,#45,LB,18.0,68.1,2.0,67.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
Braxton Berrios,#00,WR,17.0,65.6,44.0,58.2,21.0,510.0,33.0,24.3,0.0,1.0,0.0,71.7,23.0,235.0,25.0,19.0,10.2,0.0,1.0
Cedrick Wilson Jr.,#11,WR,16.0,62.5,4.0,-,0.0,0.0,0.0,,0.0,0.0,0.0,63.2,4.0,30.0,2.0,14.0,7.5,0.0,0.0
Alec Ingold,#30,FB,18.0,59.9,1.0,59.9,1.0,19.0,19.0,19.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
