Rank,PLAYER,#,POS,#G,TOT,PASS,PBLK,RUN,RBLK,OFF,PASS,PBLK,RUN,RBLK,PEN
1,James Conner,#06,HB,13,531,218,51,214,48,89.2,69.2,68.0,88.4,68.9,0 (0)
2,Michael Carter,#22,HB,6,82,51,4,23,4,76.6,66.8,80.7,79.6,60.0,0 (0)
3,Trey McBride,#85,TE,17,785,436,19,0,330,76.3,80.5,55.1,-,62.3,8 (0)
4,Emari Demercado,#31,HB,14,294,173,47,58,16,73.4,44.7,74.7,89.9,40.7,0 (0)
5,Damien Williams,#29,HB,3,28,10,3,11,4,72.7,66.7,80.2,70.7,59.4,0 (0)
6,Kyler Murray,#01,QB,8,538,326,0,29,183,70.8,67.6,-,77.8,60.2,5 (1)
7,Michael Wilson,#14,WR,13,710,443,1,0,266,68.3,68.7,68.1,-,62.2,3 (1)
8,Greg Dortch,#83,WR,13,399,258,0,1,140,68.2,71.2,-,48.5,44.9,1 (0)
9,Marquise Brown,#02,WR,14,781,499,0,2,280,67.1,68.1,-,62.2,48.3,4 (1)
10,Will Hernandez,#76,G,17,"1,109",0,671,0,438,66.2,-,70.2,-,60.6,1 (0)
11,Ezekiel Turner,#47,LB,3,3,0,1,1,1,65.6,-,65.4,63.1,60.0,0 (0)
12,Keaontay Ingram,#30,HB,7,117,55,16,37,9,64.7,55.0,60.8,66.1,66.4,0 (0)
13,Hjalte Froholdt,#72,C,17,"1,123",0,679,0,444,64.1,-,61.1,-,67.4,8 (0)
14,Elijah Higgins,#84,TE,11,191,99,1,0,91,63.6,70.4,68.4,-,51.1,2 (0)
15,Blake Gillikin,#12,P,3,3,2,0,1,0,62.8,56.9,-,63.1,-,0 (0)
16,D.J. Humphries,#74,T,15,922,0,568,0,354,62.5,-,68.4,-,56.5,9 (0)
17,Kelvin Beachum,#68,T,6,212,0,119,0,93,61.2,-,67.6,-,51.7,1 (0)
18,Joshua Dobbs,#09,QB,8,533,325,0,38,170,61.0,54.1,-,84.0,60.4,2 (0)
19,Paris Johnson Jr.,#70,T,17,"1,130",0,685,0,445,60.1,-,64.2,-,55.1,12 (5)
20,Owen Pappoe,#44,LB,2,2,0,0,0,2,60.0,-,-,-,60.0,0 (0)
20,Cameron Thomas,#97,ED,1,1,0,1,0,0,60.0,-,67.2,-,-,0 (0)
20,Dennis Gardeck,#45,ED,3,3,0,1,0,2,60.0,-,68.6,-,60.0,0 (0)
20,Victor Dimukeje,#52,ED,3,3,0,1,0,2,60.0,-,67.2,-,60.0,0 (0)
20,Andre Chachere,#36,S,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
20,Nolan Cooney,#16,P,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
20,Krys Barnes,#51,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
20,Dan Chisena,#16,WR,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
20,Antonio Hamilton Sr.,#33,CB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
20,Aaron Brewer,#46,LS,3,3,0,1,0,2,60.0,-,68.7,-,60.0,0 (0)
30,Trystan Colon,#63,G,11,322,0,200,0,122,59.6,-,69.2,-,55.5,1 (1)
31,Blake Whiteheart,#89,TE,1,2,1,0,0,1,58.6,58.8,-,-,60.0,0 (0)
32,Matt Prater,#05,K,1,1,1,0,0,0,57.2,59.0,-,-,-,0 (0)
33,Andre Baccellia,#82,WR,5,49,18,0,0,31,55.3,52.0,-,-,69.9,0 (0)
34,Carter O'Donnell,#61,G,5,193,0,125,0,68,54.1,-,58.4,-,50.5,3 (0)
35,Rondale Moore,#04,WR,17,755,517,0,23,215,53.6,50.5,-,72.4,54.0,0 (0)
35,Tony Jones Jr.,#37,HB,3,44,29,10,5,0,53.6,44.7,43.1,60.2,-,0 (0)
37,Zach Ertz,#86,TE,7,295,200,3,0,92,50.8,51.7,29.4,-,49.5,0 (0)
38,Travis Vokolek,#81,TE,2,40,9,4,0,27,50.2,47.4,57.9,-,56.0,0 (0)
38,Geoff Swaim,#87,TE,14,338,110,35,0,193,50.2,53.4,66.6,-,47.4,0 (0)
40,Jesse Luketa,#43,ED,6,10,0,2,0,8,49.5,-,74.0,-,46.7,0 (0)
41,Zach Pascal,#00,WR,14,201,103,0,0,98,47.6,46.6,-,-,56.9,0 (0)
42,Elijah Wilkinson,#65,G,10,501,0,285,0,216,46.2,-,40.7,-,57.5,6 (0)
43,Dennis Daley,#71,G,3,144,0,95,0,49,38.4,-,30.9,-,42.3,0 (0)
44,Clayton Tune,#15,QB,7,60,35,0,4,21,34.2,28.0,-,65.6,60.0,0 (0)
,,,,,,,,,,,,,,,
