Rank,PLAYER,#,POS,#G,PASS,PBLK,PB%,PBLK,PEN,OPP,OPP%,SK,HIT,HUR,PR,EFF,PASS,PBLK,PB%,PBLK,OPP,OPP%,SK,HIT,HUR,PR,EFF
1,Michael Carter,#22,HB,6,55,4,7.3,80.7,0 (0),3,5.9,0,0,0,0,100.0,31,2,6.5,77.0,1,3.6,0,0,0,0,100.0
2,Damien Williams,#29,HB,3,13,3,23.1,80.2,0 (0),3,23.1,0,0,0,0,100.0,7,1,14.3,75.0,1,14.3,0,0,0,0,100.0
3,Emari Demercado,#31,HB,14,220,47,21.4,74.7,0 (0),45,21.6,0,0,0,0,100.0,128,29,22.7,85.3,28,23.0,0,0,0,0,100.0
4,Jesse Luketa,#43,ED,2,2,2,100.0,74.0,0 (0),2,100.0,0,0,0,0,100.0,0,0,,-,0,,0,0,0,0,
5,Will Hernandez,#76,G,17,671,671,100.0,70.2,1 (0),621,100.0,4,6,19,29,97.3,295,295,100.0,59.3,272,100.0,4,2,14,20,95.6
6,Trystan Colon,#63,G,11,200,200,100.0,69.2,1 (1),181,100.0,2,1,6,9,97.0,97,97,100.0,54.9,88,100.0,2,1,5,8,94.3
7,Aaron Brewer,#46,LS,1,1,1,100.0,68.7,0 (0),1,100.0,0,0,0,0,100.0,0,0,,-,0,,0,0,0,0,
8,Dennis Gardeck,#45,ED,1,1,1,100.0,68.6,0 (0),1,100.0,0,0,0,0,100.0,0,0,,-,0,,0,0,0,0,
9,Elijah Higgins,#84,TE,11,100,1,1.0,68.4,1 (0),1,1.1,0,0,0,0,100.0,33,0,0.0,-,0,0.0,0,0,0,0,
9,D.J. Humphries,#74,T,15,568,568,100.0,68.4,5 (0),525,100.0,4,5,19,28,97.0,251,251,100.0,63.5,230,100.0,2,2,15,19,95.4
11,Michael Wilson,#14,WR,13,444,1,0.2,68.1,2 (1),1,0.2,0,0,0,0,100.0,204,0,0.0,-,0,0.0,0,0,0,0,
12,James Conner,#06,HB,13,269,51,19.0,68.0,0 (0),45,18.3,0,0,2,2,97.8,74,14,18.9,71.7,10,15.6,0,0,0,0,100.0
13,Kelvin Beachum,#68,T,6,119,119,100.0,67.6,1 (0),111,100.0,2,0,8,10,94.6,53,53,100.0,57.6,50,100.0,2,0,5,7,91.0
14,Cameron Thomas,#97,ED,1,1,1,100.0,67.2,0 (0),1,100.0,0,0,0,0,100.0,0,0,,-,0,,0,0,0,0,
14,Victor Dimukeje,#52,ED,1,1,1,100.0,67.2,0 (0),1,100.0,0,0,0,0,100.0,0,0,,-,0,,0,0,0,0,
16,Geoff Swaim,#87,TE,14,145,35,24.1,66.6,0 (0),30,23.1,0,1,1,2,96.7,28,4,14.3,75.3,4,16.0,0,0,0,0,100.0
17,Ezekiel Turner,#47,LB,1,1,1,100.0,65.4,0 (0),1,100.0,0,0,0,0,100.0,0,0,,-,0,,0,0,0,0,
18,Paris Johnson Jr.,#70,T,17,685,685,100.0,64.2,8 (3),634,100.0,8,8,26,42,96.1,304,304,100.0,58.7,280,100.0,6,6,15,27,94.1
19,Hjalte Froholdt,#72,C,17,679,679,100.0,61.1,4 (0),628,100.0,3,4,16,23,97.9,301,301,100.0,56.8,277,100.0,2,2,8,12,97.5
20,Keaontay Ingram,#30,HB,7,71,16,22.5,60.8,0 (0),13,20.3,0,1,1,2,92.3,30,2,6.7,47.0,2,7.1,0,0,1,1,75.0
21,Carter O'Donnell,#61,G,5,125,125,100.0,58.4,1 (0),115,100.0,0,1,8,9,96.1,59,59,100.0,66.2,54,100.0,0,1,4,5,95.4
22,Travis Vokolek,#81,TE,2,13,4,30.8,57.9,0 (0),4,30.8,0,0,0,0,100.0,1,0,0.0,-,0,0.0,0,0,0,0,
23,Trey McBride,#85,TE,17,455,19,4.2,55.1,0 (0),15,3.6,0,1,0,1,96.7,191,2,1.0,28.4,2,1.1,0,1,0,1,75.0
24,Tony Jones Jr.,#37,HB,3,39,10,25.6,43.1,0 (0),10,27.8,0,1,2,3,85.0,26,7,26.9,37.0,7,29.2,0,0,2,2,85.7
25,Elijah Wilkinson,#65,G,10,285,285,100.0,40.7,0 (0),269,100.0,3,4,18,25,94.8,112,112,100.0,16.0,104,100.0,3,3,16,22,88.0
26,Dennis Daley,#71,G,3,95,95,100.0,30.9,0 (0),88,100.0,2,2,3,7,94.9,48,48,100.0,24.9,45,100.0,1,2,2,5,93.3
27,Zach Ertz,#86,TE,7,203,3,1.5,29.4,0 (0),2,1.1,0,0,0,0,100.0,97,2,2.1,67.8,1,1.1,0,0,0,0,100.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
