Rank,PLAYER,#,POS,#G,RUN,RBLK,RB%,RBLK,PEN,RBLK,SNP%,RBLK,RBLK,SNP%,RBLK
1,Andre Baccellia,#82,WR,4,31,31,100.0,69.9,0 (0),17,54.8,75.3,9,29.0,59.7
2,James Conner,#06,HB,13,262,48,18.3,68.9,0 (0),17,35.4,60.1,10,20.8,68.0
3,Hjalte Froholdt,#72,C,17,444,444,100.0,67.4,0 (0),191,43.0,65.3,207,46.6,70.8
4,Keaontay Ingram,#30,HB,7,46,9,19.6,66.4,0 (0),1,11.1,60.0,2,22.2,60.0
5,Trey McBride,#85,TE,17,330,330,100.0,62.3,4 (0),149,45.2,61.9,155,47.0,61.1
6,Michael Wilson,#14,WR,13,266,266,100.0,62.2,1 (0),108,40.6,69.1,129,48.5,57.1
7,Will Hernandez,#76,G,17,438,438,100.0,60.6,0 (0),185,42.2,60.2,207,47.3,59.8
8,Joshua Dobbs,#09,QB,8,208,170,81.7,60.4,0 (0),85,50.0,60.3,79,46.5,60.3
9,Kyler Murray,#01,QB,8,212,183,86.3,60.2,1 (1),73,39.9,60.3,100,54.6,60.0
10,Antonio Hamilton Sr.,#33,CB,1,1,1,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Krys Barnes,#51,LB,1,1,1,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Nolan Cooney,#16,P,1,1,1,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Dan Chisena,#16,WR,1,1,1,100.0,60.0,0 (0),0,0.0,-,1,100.0,60.0
10,Ezekiel Turner,#47,LB,2,2,1,50.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Andre Chachere,#36,S,1,1,1,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Blake Whiteheart,#89,TE,1,1,1,100.0,60.0,0 (0),1,100.0,60.0,0,0.0,-
10,Owen Pappoe,#44,LB,2,2,2,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Dennis Gardeck,#45,ED,2,2,2,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Victor Dimukeje,#52,ED,2,2,2,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Aaron Brewer,#46,LS,2,2,2,100.0,60.0,0 (0),0,0.0,-,0,0.0,-
10,Michael Carter,#22,HB,5,27,4,14.8,60.0,0 (0),1,25.0,60.0,1,25.0,60.0
10,Clayton Tune,#15,QB,6,25,21,84.0,60.0,0 (0),12,57.1,60.0,9,42.9,60.0
23,Damien Williams,#29,HB,3,15,4,26.7,59.4,0 (0),0,0.0,-,3,75.0,59.6
24,Elijah Wilkinson,#65,G,10,216,216,100.0,57.5,1 (0),83,38.4,53.7,105,48.6,55.2
25,Zach Pascal,#00,WR,14,98,98,100.0,56.9,0 (0),36,36.7,51.4,46,46.9,81.4
26,D.J. Humphries,#74,T,15,354,354,100.0,56.5,0 (0),156,44.1,53.5,163,46.0,61.6
27,Travis Vokolek,#81,TE,2,27,27,100.0,56.0,0 (0),8,29.6,73.2,18,66.7,47.2
28,Trystan Colon,#63,G,11,122,122,100.0,55.5,0 (0),55,45.1,52.1,62,50.8,51.0
29,Paris Johnson Jr.,#70,T,17,445,445,100.0,55.1,3 (2),191,42.9,56.6,208,46.7,53.8
30,Rondale Moore,#04,WR,17,238,215,90.3,54.0,0 (0),86,40.0,58.1,111,51.6,57.4
31,Kelvin Beachum,#68,T,6,93,93,100.0,51.7,0 (0),35,37.6,55.3,47,50.5,51.4
32,Elijah Higgins,#84,TE,11,91,91,100.0,51.1,0 (0),42,46.2,57.6,40,44.0,48.8
33,Carter O'Donnell,#61,G,5,68,68,100.0,50.5,2 (0),36,52.9,52.5,24,35.3,47.1
34,Zach Ertz,#86,TE,7,92,92,100.0,49.5,0 (0),42,45.7,50.3,41,44.6,53.3
35,Marquise Brown,#02,WR,14,282,280,99.3,48.3,0 (0),129,46.1,60.4,119,42.5,74.0
36,Geoff Swaim,#87,TE,14,193,193,100.0,47.4,0 (0),92,47.7,58.7,74,38.3,38.3
37,Jesse Luketa,#43,ED,6,8,8,100.0,46.7,0 (0),0,0.0,-,6,75.0,48.4
38,Greg Dortch,#83,WR,10,141,140,99.3,44.9,0 (0),51,36.4,57.2,79,56.4,51.6
39,Dennis Daley,#71,G,3,49,49,100.0,42.3,0 (0),23,46.9,55.6,21,42.9,34.9
40,Emari Demercado,#31,HB,10,74,16,21.6,40.7,0 (0),5,31.3,60.3,4,25.0,56.1
,,,,,,,,,,,,,,,
