player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Carter O'Donnell,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035853,2023,ARI,OL,T,61.0,1998-12-23,,,25.0
Trystan Colon,2023,1,1.41,1.41,0.25,0.006,1.601931,1.601931,0.28403,00-0035992,2023,ARI,OL,C,63.0,1998-03-23,,,26.0
Pat Elflein,2023,1,1.15,1.15,0.025,0.005,1.306539,1.306539,0.028403,00-0033909,2023,ARI,OL,C,50.0,1994-07-06,MIN,70.0,29.0
Jon Gaines,2023,4,4.57224,1.14306,0.73224,0.005,5.194618,1.298654,0.831913,00-0038571,2023,ARI,OL,G,59.0,1999-05-24,ARI,122.0,24.0
Marquis Hayes,2023,1,0.216,0.216,0.0,0.001,0.245402,0.245402,0.0,00-0037748,2023,ARI,OL,G,78.0,1999-02-14,ARI,257.0,25.0
Hjalte Froholdt,2023,2,4.6,2.3,2.11,0.01,5.226157,2.613078,2.397215,00-0035258,2023,ARI,OL,C,72.0,1996-08-20,NE,118.0,27.0
Keith Ismael,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036342,2023,ARI,OL,G,60.0,1998-07-25,WAS,156.0,25.0
Ben Brown,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037413,2023,ARI,OL,G,76.0,1998-05-19,,,25.0
Cohl Cabral,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0035930,2023,ARI,OL,C,79.0,1998-02-11,,,26.0
Will Hernandez,2023,2,9.0,4.5,4.5,0.02,10.225089,5.112544,5.112544,00-0034346,2023,ARI,OL,G,76.0,1995-09-02,NYG,34.0,28.0
Hayden Howerton,2023,1,0.75,0.75,0.0,0.003,0.852091,0.852091,0.0,00-0037598,2023,ARI,OL,G,75.0,1999-02-11,,,25.0
Paris Johnson Jr.,2023,4,28.05246,7.013115,28.05246,0.031,31.870989,7.967747,31.870989,00-0038540,2023,ARI,OL,T,70.0,2001-07-03,ARI,6.0,22.0
Kelvin Beachum,2023,2,5.15,2.575,3.26,0.011,5.851023,2.925512,3.703754,00-0029316,2023,ARI,OL,T,68.0,1989-06-08,PIT,248.0,34.0
Carlos Watkins,2023,1,1.67,1.67,0.25,0.007,1.897322,1.897322,0.28403,00-0033563,2023,ARI,DL,DE,94.0,1993-12-05,HOU,142.0,30.0
L.J. Collier,2023,1,1.2325,1.2325,0.07625,0.005,1.400269,1.400269,0.086629,00-0035636,2023,ARI,DL,DE,91.0,1995-09-12,SEA,29.0,28.0
Kevin Strong,2023,1,1.15625,1.15625,0.07625,0.005,1.31364,1.31364,0.086629,00-0035334,2023,ARI,DL,NT,92.0,1996-08-05,,,27.0
Leki Fotu,2020,4,4.068472,1.017118,0.773472,0.005,5.242622,1.310656,0.996694,00-0036371,2023,ARI,DL,NT,95.0,1998-08-23,ARI,114.0,25.0
Roy Lopez,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036568,2023,ARI,DL,DT,98.0,1997-08-07,HOU,195.0,26.0
Phil Hoskins,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036576,2023,ARI,DL,DT,79.0,1997-01-02,CAR,232.0,27.0
Eric Banks,2023,1,0.296444,0.296444,0.0,0.001,0.336796,0.336796,0.0,00-0035928,2023,ARI,DL,DT,96.0,1998-01-30,,,26.0
Kendal Vickers,2023,1,1.0125,1.0125,0.0025,0.005,1.150323,1.150323,0.00284,00-0034125,2023,ARI,DL,DT,93.0,1995-05-23,,,28.0
Naquan Jones,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036695,2023,ARI,DL,DT,96.0,1998-02-05,,,26.0
Dante Stills,2023,4,3.973332,0.993333,0.133332,0.004,4.514186,1.128546,0.151481,00-0038623,2023,ARI,DL,DE,55.0,1999-12-14,ARI,213.0,24.0
David Anenih,2023,1,0.87,0.87,0.0,0.004,0.988425,0.988425,0.0,00-0037592,2023,ARI,LB,OLB,57.0,,,,
