Rank,PLAYER,#,POS,#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1st,PEN,RECV,PBLK,TGT,REC,YDS,RSNP,Y/RR,DRP,ELU
1,Emari Demercado,#31,HB,14,74,58,284,4.9,2,0,73.4,89.9,84.9,40.7,205,3.53,11,49,5,31,26,0,0,284,2,67,23.6,12,0 (0),44.7,74.7,29,21,119,164,0.73,2,62.6
2,James Conner,#06,HB,13,262,208,"1,040",5.0,7,0,89.2,88.4,90.8,68.9,818,3.93,60,44,31,89,115,0,0,"1,040",13,328,31.5,57,0 (0),69.2,68.0,31,27,165,201,0.82,0,110.5
3,Joshua Dobbs,#09,QB,8,208,47,258,5.5,3,9,61.0,84.0,49.6,60.4,176,3.74,13,44,8,7,9,13,139,119,2,69,26.7,19,2 (0),-,-,0,0,0,0,,0,56.1
4,Michael Carter,#22,HB,6,27,22,149,6.8,0,0,76.6,79.6,79.1,60.0,68,3.09,6,21,6,11,10,0,0,149,6,108,72.5,7,0 (0),66.8,80.7,12,9,33,48,0.69,0,69.8
5,Kyler Murray,#01,QB,8,212,44,244,5.5,3,7,70.8,77.8,59.7,60.2,71,1.61,8,33,9,13,9,16,161,83,2,30,12.3,15,5 (1),-,-,0,0,0,0,,0,10.3
6,Rondale Moore,#04,WR,17,238,28,178,6.4,1,1,53.6,72.4,51.2,54.0,63,2.25,5,45,3,6,12,0,0,178,3,101,56.7,5,0 (0),50.5,-,61,40,352,479,0.73,5,39.7
7,Damien Williams,#29,HB,3,15,11,43,3.9,0,0,72.7,70.7,74.4,59.4,34,3.09,3,9,0,7,4,0,0,43,0,0,0.0,1,0 (0),66.7,80.2,2,2,12,10,1.20,0,95.1
8,Keaontay Ingram,#30,HB,7,46,35,74,2.1,0,0,64.7,66.1,81.1,66.4,75,2.14,7,14,4,21,14,0,0,74,0,0,0.0,4,0 (0),55.0,60.8,4,4,26,51,0.51,0,44.0
9,Clayton Tune,#15,QB,7,25,8,30,3.8,1,2,34.2,65.6,78.8,60.0,23,2.88,0,11,1,0,0,5,28,2,0,0,0.0,3,0 (0),-,-,0,0,0,0,,0,0.0
10,Blake Gillikin,#12,P,3,1,1,10,10.0,0,0,62.8,63.1,61.9,-,0,0.00,0,10,1,0,0,0,0,10,0,0,0.0,1,0 (0),56.9,-,0,0,0,2,0.00,0,0.0
10,Ezekiel Turner,#47,LB,3,2,1,2,2.0,0,0,65.6,63.1,61.9,60.0,2,2.00,0,2,0,0,0,0,0,2,0,0,0.0,1,0 (0),-,65.4,0,0,0,0,,0,0.0
12,Marquise Brown,#02,WR,14,282,2,23,11.5,0,0,67.1,62.2,79.9,48.3,8,4.00,0,29,1,0,0,0,0,23,1,29,126.1,1,4 (1),68.1,-,94,51,574,460,1.25,3,37.7
13,Tony Jones Jr.,#37,HB,3,5,5,25,5.0,0,0,53.6,60.2,71.4,-,18,3.60,2,13,2,2,2,0,0,25,0,0,0.0,1,0 (0),44.7,43.1,4,3,16,26,0.62,1,135.0
14,Greg Dortch,#83,WR,13,141,1,5,5.0,0,0,68.2,48.5,88.8,44.9,2,2.00,0,5,0,0,0,0,0,5,0,0,0.0,0,1 (0),71.2,-,38,24,280,245,1.14,0,56.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
