Rank,PLAYER,#,POS,#G,OFF,BLK,BLK%,RBLK,PBLK,OFF,RBLK,PBLK,OPP,OPP%,SK,HIT,HUR,PR,EFF,PEN,LT,LG,C,RG,RT,ITE
20,Keaontay Ingram,#30,HB,7,117,25,21.4,9,16,64.7,66.4,60.8,13,20.3,0,1,1,2,92.3,0 (0),0,0,0,0,0,0
21,Carter O'Donnell,#61,G,5,193,193,100.0,68,125,54.1,50.5,58.4,115,100.0,0,1,8,9,96.1,3 (0),0,170,0,21,0,2
22,Travis Vokolek,#81,TE,2,40,31,77.5,27,4,50.2,56.0,57.9,4,30.8,0,0,0,0,100.0,0 (0),0,0,0,0,0,39
23,Trey McBride,#85,TE,17,785,349,44.5,330,19,76.3,62.3,55.1,15,3.6,0,1,0,1,96.7,8 (0),2,0,0,0,0,447
24,Tony Jones Jr.,#37,HB,3,44,10,22.7,0,10,53.6,-,43.1,10,27.8,0,1,2,3,85.0,0 (0),0,0,0,0,0,0
25,Elijah Wilkinson,#65,G,10,501,501,100.0,216,285,46.2,57.5,40.7,269,100.0,3,4,18,25,94.8,6 (0),0,501,0,0,0,0
26,Dennis Daley,#71,G,3,144,144,100.0,49,95,38.4,42.3,30.9,88,100.0,2,2,3,7,94.9,0 (0),0,144,0,0,0,0
27,Zach Ertz,#86,TE,7,295,95,32.2,92,3,50.8,49.5,29.4,2,1.1,0,0,0,0,100.0,0 (0),0,0,0,0,0,124
28,Blake Whiteheart,#89,TE,1,2,1,50.0,1,0,58.6,60.0,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,2
28,Dan Chisena,#16,WR,1,1,1,100.0,1,0,60.0,60.0,-,0,,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Nolan Cooney,#16,P,1,1,1,100.0,1,0,60.0,60.0,-,0,,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Antonio Hamilton Sr.,#33,CB,1,1,1,100.0,1,0,60.0,60.0,-,0,,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Andre Chachere,#36,S,1,1,1,100.0,1,0,60.0,60.0,-,0,,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Krys Barnes,#51,LB,1,1,1,100.0,1,0,60.0,60.0,-,0,,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Owen Pappoe,#44,LB,2,2,2,100.0,2,0,60.0,60.0,-,0,,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Clayton Tune,#15,QB,7,60,21,35.0,21,0,34.2,60.0,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Andre Baccellia,#82,WR,5,49,31,63.3,31,0,55.3,69.9,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,0
28,Zach Pascal,#00,WR,14,201,98,48.8,98,0,47.6,56.9,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,12
28,Greg Dortch,#83,WR,13,399,140,35.1,140,0,68.2,44.9,-,0,0.0,0,0,0,0,,1 (0),0,0,0,0,0,1
28,Joshua Dobbs,#09,QB,8,533,170,31.9,170,0,61.0,60.4,-,0,0.0,0,0,0,0,,2 (0),0,0,0,0,0,0
28,Kyler Murray,#01,QB,8,538,183,34.0,183,0,70.8,60.2,-,0,0.0,0,0,0,0,,5 (1),0,0,0,0,0,0
28,Rondale Moore,#04,WR,17,755,215,28.5,215,0,53.6,54.0,-,0,0.0,0,0,0,0,,0 (0),0,0,0,0,0,1
28,Marquise Brown,#02,WR,14,781,280,35.9,280,0,67.1,48.3,-,0,0.0,0,0,0,0,,4 (1),0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
