Rank,PLAYER,#,POS,#G,TOT,RDEF,PRSH,COV,DEF,RDEF,TACK,PRSH,COV,TOT,SK,HIT,HUR,BAT,TKL,AST,MIS,MIS%,STOP,FFM,TGT,REC,REC%,YDS,Y/REC,YAC,LNG,TD,INT,PBU,NFL,PEN,DL,Box,FS,Slot,Cnr,AGP,BGP,OVT,OUT
1,Zaven Collins,#25,ED,17,636,252,272,112,72.1,73.9,67.7,61.9,67.0,30,4,2,24,0,30,11,3,6.8,22,0,9,8,88.9,74,9.3,50,24,0,1,1,61.3,0 (0),569,32,0,34,1,0,2,0,567
2,Jalen Thompson,#34,S,15,938,413,15,510,71.3,54.6,70.1,69.6,77.0,5,1,2,2,0,62,14,7,8.4,18,1,38,26,68.4,336,12.9,86,53,2,4,4,73.9,3 (0),2,355,174,377,30,0,0,0,2
3,Andre Chachere,#36,S,17,467,174,8,285,71.1,70.1,61.9,49.3,69.4,1,0,0,1,0,24,6,5,14.3,4,0,11,5,45.5,95,19.0,22,63,1,0,2,106.3,0 (0),12,105,198,141,11,0,0,0,12
4,Dennis Gardeck,#45,ED,17,510,156,242,112,67.6,44.5,52.7,81.2,61.9,42,6,8,28,0,31,6,7,15.9,27,1,18,15,83.3,112,7.5,94,37,2,0,0,129.6,2 (0),437,14,0,58,1,0,0,0,437
5,Victor Dimukeje,#52,ED,16,385,195,151,39,67.5,60.5,70.3,66.7,65.8,24,5,3,16,0,17,5,5,18.5,14,1,5,4,80.0,20,5.0,4,6,0,0,0,83.3,0 (0),359,25,0,0,1,0,2,3,354
6,Joey Blount,#32,S,6,25,13,0,12,66.9,48.6,79.4,-,72.6,0,0,0,0,0,1,1,0,0.0,0,0,1,0,0.0,0,,0,,0,1,0,0.0,0 (0),0,4,18,3,0,0,0,0,0
7,Roy Lopez,#98,DI,14,395,213,182,0,65.4,64.2,36.6,60.6,68.5,15,0,1,14,0,29,13,6,12.5,24,0,0,0,,0,,0,,0,0,0,0.0,1 (0),395,0,0,0,0,191,190,14,0
8,Owen Pappoe,#44,LB,6,114,40,20,54,65.3,49.1,61.4,69.8,69.9,3,0,1,2,1,6,4,1,9.1,2,0,5,4,80.0,37,9.3,19,19,0,0,0,97.5,0 (0),16,94,0,4,0,0,0,0,16
9,BJ Ojulari,#18,ED,17,409,175,161,73,64.8,56.9,77.7,64.1,66.9,20,4,5,11,1,22,14,1,2.7,13,0,12,12,100.0,79,6.6,75,13,0,0,0,94.1,0 (0),332,28,0,48,1,0,0,0,332
9,Budda Baker,#03,S,12,763,352,21,390,64.8,67.0,79.9,49.2,63.1,5,0,0,5,0,60,25,7,7.6,21,0,18,11,61.1,176,16.0,70,35,3,0,0,133.3,0 (0),22,267,380,92,2,0,0,0,22
11,Antonio Hamilton Sr.,#33,CB,14,559,243,4,312,64.7,47.7,51.4,53.3,69.1,0,0,0,0,0,30,6,7,16.3,10,0,44,25,56.8,269,10.8,104,49,2,1,6,80.6,5 (0),5,86,0,73,395,0,0,0,5
12,Qwuantrezz Knight,#28,S,1,4,1,0,3,62.3,60.0,-,-,60.3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),0,0,4,0,0,0,0,0,0
13,Carlos Watkins,#94,DI,2,43,18,25,0,60.4,57.9,71.9,61.4,-,1,1,0,0,1,4,1,0,0.0,4,0,0,0,,0,,0,,0,0,0,0.0,0 (0),43,0,0,0,0,1,31,10,1
14,Krys Barnes,#51,LB,10,408,174,19,215,60.1,58.9,61.4,64.4,59.2,2,0,1,1,1,39,13,6,10.3,21,0,22,17,77.3,160,9.4,103,26,2,1,3,108.1,0 (0),36,351,6,14,1,0,0,0,36
15,Dante Stills,#55,DI,15,533,245,288,0,59.3,60.1,59.0,53.8,67.1,20,4,1,15,0,25,16,4,8.9,20,0,0,0,,0,,0,,0,0,0,0.0,1 (0),533,0,0,0,0,10,214,262,47
16,Kyzir White,#07,LB,11,708,309,36,363,58.9,60.3,74.4,52.1,59.8,6,2,0,4,0,64,31,9,8.7,30,0,43,35,81.4,347,9.9,238,37,2,1,3,106.1,3 (0),20,640,6,41,1,0,0,0,20
17,Cameron Thomas,#97,ED,15,355,137,200,18,58.5,55.7,67.4,64.8,38.9,16,0,0,16,1,18,4,2,8.3,12,0,1,1,100.0,11,11.0,6,11,0,0,0,112.5,1 (0),345,10,0,0,0,1,1,2,341
18,K'Von Wallace,#22,S,6,393,150,10,233,57.3,58.9,44.4,56.6,56.8,3,0,0,3,0,34,10,9,17.0,7,0,18,13,72.2,134,10.3,57,19,0,1,3,70.1,0 (0),7,217,95,70,4,0,0,0,7
19,Garrett Williams,#21,CB,9,360,127,1,232,56.7,53.8,59.8,59.0,57.2,0,0,0,0,0,21,2,3,11.5,7,0,29,21,72.4,182,8.7,120,23,1,1,1,85.7,0 (0),0,50,8,292,10,0,0,0,0
20,Kei'Trel Clark,#13,CB,8,464,182,1,281,53.0,50.4,54.8,60.0,53.4,0,0,0,0,0,37,6,7,14.0,7,0,40,29,72.5,343,11.8,59,49,2,0,2,114.9,1 (0),0,50,0,5,409,0,0,0,0
21,Eric Banks,#96,DI,2,42,19,23,0,51.7,52.4,69.5,55.3,-,0,0,0,0,0,2,0,0,0.0,2,0,0,0,,0,,0,,0,0,0,0.0,0 (0),42,0,0,0,0,1,18,18,5
22,Kevin Strong,#92,DI,14,467,238,229,0,50.1,46.6,37.3,61.2,60.1,12,3,0,9,1,31,13,7,13.7,27,0,0,0,,0,,0,,0,0,0,0.0,2 (0),467,0,0,0,0,67,210,149,41
23,Jesse Luketa,#43,ED,12,132,81,32,19,48.2,57.6,37.8,54.1,32.1,4,0,1,3,0,7,3,3,23.1,4,0,2,2,100.0,15,7.5,0,14,1,0,0,137.5,0 (0),122,1,0,8,1,0,0,0,122
24,Starling Thomas V,#24,CB,11,473,226,1,246,46.1,53.4,75.9,60.0,44.1,0,0,0,0,0,34,2,2,5.3,10,0,46,37,80.4,441,11.9,100,59,5,0,2,142.8,3 (0),0,68,0,3,402,0,0,0,0
24,Leki Fotu,#95,DI,11,297,164,133,0,46.1,40.7,46.4,54.0,83.2,7,3,0,4,0,18,6,5,17.2,14,0,0,0,,0,,0,,0,0,0,0.0,0 (0),297,0,0,0,0,133,112,51,1
26,Phil Hoskins,#79,DI,5,124,67,57,0,45.9,46.1,51.1,53.3,-,1,0,0,1,0,5,3,1,11.1,3,0,0,0,,0,,0,,0,0,0,0.0,0 (0),124,0,0,0,0,20,53,44,7
27,Divaad Wilson,#27,CB,2,96,52,1,43,45.6,59.3,37.2,60.0,40.4,1,0,0,1,0,5,1,2,25.0,1,0,7,5,71.4,61,12.2,18,25,0,0,0,97.9,1 (0),1,27,0,0,68,0,0,0,1
28,Ben Stille,#90,DI,5,134,68,66,0,45.4,49.3,40.1,52.6,-,4,1,0,3,0,5,2,1,12.5,4,0,0,0,,0,,0,,0,0,0,0.0,1 (0),134,0,0,0,0,2,76,43,13
29,Marco Wilson,#20,CB,11,694,297,1,396,41.2,50.2,53.0,48.0,40.0,1,0,0,1,0,41,10,9,15.0,5,0,65,51,78.5,732,14.4,176,58,5,0,4,139.2,4 (0),0,98,0,4,592,0,0,0,0
30,Naquan Jones,#96,DI,4,67,44,23,0,40.4,48.8,73.5,61.0,-,2,0,0,2,0,4,4,0,0.0,3,0,0,0,,0,,0,,0,0,0,0.0,2 (0),67,0,0,0,0,27,24,12,4
31,Ezekiel Turner,#47,LB,2,50,28,1,21,39.4,53.7,56.2,60.0,45.3,0,0,0,0,0,6,3,2,18.2,1,0,2,2,100.0,17,8.5,9,10,0,0,0,102.1,1 (0),10,37,0,3,0,0,0,0,10
32,L.J. Collier,#91,DI,1,37,11,26,0,36.9,47.4,23.6,42.9,-,1,0,0,1,0,0,0,1,100.0,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),37,0,0,0,0,0,23,14,0
33,Jonathan Ledbetter,#93,DI,12,511,278,233,0,36.2,30.0,52.8,60.0,61.2,21,2,2,17,0,30,13,6,12.2,23,0,0,0,,0,,0,,0,0,0,0.0,2 (0),511,0,0,0,0,6,207,243,55
34,Josh Woods,#10,LB,11,568,261,27,280,31.8,29.0,29.0,52.8,46.0,3,0,1,2,0,40,24,17,21.0,17,1,30,24,80.0,205,8.5,152,24,4,0,0,134.7,0 (0),70,473,4,21,0,0,0,0,70
35,Tyreke Smith,#50,ED,2,10,7,3,0,28.9,31.5,-,56.0,-,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0.0,0 (0),10,0,0,0,0,0,0,0,10
36,Tyreek Maddox-Williams,#58,LB,1,5,2,0,3,22.8,54.4,-,-,33.1,0,0,0,0,0,0,0,0,,0,0,1,0,0.0,0,,0,,0,0,0,39.6,0 (0),0,5,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
