Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Jalen Thompson,#34,S,15.0,525.0,510.0,97.1,77.0,3 (0),38.0,26.0,68.4,336.0,12.9,86.0,11.1,53.0,5.0,13.0,4.0,4.0,0.0,2.0,73.9,12.6,18.3,37.0,5.0,1.0,2.3,12.0
Joey Blount,#32,S,5.0,12.0,12.0,100.0,72.6,0 (0),1.0,0.0,0.0,0.0,,0.0,58.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,,1.0,0.0,0.0,0.0,0.0
Owen Pappoe,#44,LB,6.0,74.0,54.0,73.0,69.9,0 (0),5.0,4.0,80.0,37.0,9.3,19.0,2.4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,10.2,12.8,3.0,1.0,1.0,20.0,1.0
Andre Chachere,#36,S,17.0,293.0,285.0,97.3,69.4,0 (0),11.0,5.0,45.5,95.0,19.0,22.0,11.0,63.0,2.0,18.0,2.0,0.0,0.0,1.0,106.3,24.5,54.0,14.0,1.0,3.0,16.7,2.0
Antonio Hamilton Sr.,#33,CB,14.0,316.0,312.0,98.7,69.1,5 (0),44.0,25.0,56.8,269.0,10.8,104.0,11.1,49.0,9.0,21.0,6.0,1.0,1.0,2.0,80.6,6.6,11.7,21.0,1.0,3.0,12.0,7.0
Zaven Collins,#25,ED,17.0,384.0,112.0,29.2,67.0,0 (0),9.0,8.0,88.9,74.0,9.3,50.0,2.4,24.0,1.0,11.0,1.0,1.0,0.0,0.0,61.3,11.4,12.9,6.0,4.0,2.0,16.7,7.0
BJ Ojulari,#18,ED,17.0,234.0,73.0,31.2,66.9,0 (0),12.0,12.0,100.0,79.0,6.6,75.0,0.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,5.9,5.9,6.0,4.0,0.0,0.0,6.0
Victor Dimukeje,#52,ED,16.0,190.0,39.0,20.5,65.8,0 (0),5.0,4.0,80.0,20.0,5.0,4.0,7.0,6.0,1.0,20.0,0.0,0.0,0.0,0.0,83.3,7.2,9.0,5.0,0.0,5.0,50.0,5.0
Budda Baker,#03,S,12.0,411.0,390.0,94.9,63.1,0 (0),18.0,11.0,61.1,176.0,16.0,70.0,12.0,35.0,1.0,6.0,0.0,0.0,1.0,3.0,133.3,20.3,33.3,26.0,9.0,1.0,2.8,8.0
Dennis Gardeck,#45,ED,17.0,354.0,112.0,31.6,61.9,2 (0),18.0,15.0,83.3,112.0,7.5,94.0,2.3,37.0,1.0,6.0,0.0,0.0,0.0,2.0,129.6,5.9,7.1,12.0,4.0,1.0,5.9,13.0
Qwuantrezz Knight,#28,S,1.0,3.0,3.0,100.0,60.3,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Kyzir White,#07,LB,11.0,399.0,363.0,91.0,59.8,3 (0),43.0,35.0,81.4,347.0,9.9,238.0,3.3,37.0,3.0,7.0,3.0,1.0,1.0,2.0,106.1,7.8,9.6,28.0,8.0,5.0,12.2,13.0
Krys Barnes,#51,LB,10.0,234.0,215.0,91.9,59.2,0 (0),22.0,17.0,77.3,160.0,9.4,103.0,4.5,26.0,3.0,14.0,3.0,1.0,0.0,2.0,108.1,9.3,12.0,16.0,1.0,3.0,15.0,6.0
Garrett Williams,#21,CB,9.0,233.0,232.0,99.6,57.2,0 (0),29.0,21.0,72.4,182.0,8.7,120.0,6.3,23.0,1.0,3.0,1.0,1.0,0.0,1.0,85.7,7.6,10.5,13.0,1.0,3.0,17.6,3.0
K'Von Wallace,#22,S,6.0,243.0,233.0,95.9,56.8,0 (0),18.0,13.0,72.2,134.0,10.3,57.0,6.9,19.0,3.0,17.0,3.0,1.0,0.0,0.0,70.1,12.1,16.7,19.0,5.0,5.0,17.2,3.0
Kei'Trel Clark,#13,CB,8.0,282.0,281.0,99.6,53.4,1 (0),40.0,29.0,72.5,343.0,11.8,59.0,13.9,49.0,4.0,10.0,2.0,0.0,0.0,2.0,114.9,6.6,9.1,29.0,3.0,3.0,8.6,4.0
Josh Woods,#10,LB,11.0,307.0,280.0,91.2,46.0,0 (0),30.0,24.0,80.0,205.0,8.5,152.0,3.5,24.0,1.0,3.0,0.0,0.0,0.0,4.0,134.7,8.7,10.9,20.0,5.0,6.0,19.4,6.0
Ezekiel Turner,#47,LB,2.0,22.0,21.0,95.5,45.3,1 (0),2.0,2.0,100.0,17.0,8.5,9.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,102.1,9.5,9.5,3.0,0.0,1.0,25.0,0.0
Starling Thomas V,#24,CB,11.0,247.0,246.0,99.6,44.1,3 (0),46.0,37.0,80.4,441.0,11.9,100.0,12.0,59.0,6.0,13.0,2.0,0.0,0.0,5.0,142.8,5.1,6.4,27.0,0.0,1.0,3.6,6.0
Divaad Wilson,#27,CB,2.0,44.0,43.0,97.7,40.4,1 (0),7.0,5.0,71.4,61.0,12.2,18.0,7.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9,6.0,8.4,2.0,0.0,1.0,33.3,0.0
Marco Wilson,#20,CB,11.0,397.0,396.0,99.7,40.0,4 (0),65.0,51.0,78.5,732.0,14.4,176.0,11.8,58.0,5.0,8.0,4.0,0.0,1.0,5.0,139.2,5.6,7.2,36.0,5.0,6.0,12.8,5.0
