Rank,PLAYER,#,POS,#G,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK,SPEC,KOFF,PUNT,FG,PEN,TKL,AST,MIS
54,Eric Banks,#96,DI,2,10,0,0,0,0,10,0,59.1,-,-,-,0 (0),0,0,0
55,Jonathan Ledbetter,#93,DI,9,33,0,0,3,0,30,0,59.0,-,-,-,0 (0),0,0,0
56,Naquan Jones,#96,DI,2,11,0,0,1,0,10,0,58.7,-,-,-,0 (0),0,0,0
57,K'Von Wallace,#22,S,3,16,3,13,0,0,0,0,58.2,-,-,-,0 (0),0,0,0
58,Keaontay Ingram,#30,HB,2,13,9,3,1,0,0,0,58.1,-,-,-,0 (0),0,0,0
59,Corey Clement,#23,HB,3,26,18,5,3,0,0,0,56.3,-,-,-,0 (0),0,0,0
60,Cameron Thomas,#97,ED,15,118,16,10,18,2,72,0,53.5,-,-,-,0 (0),1,0,1
61,Andre Baccellia,#82,WR,3,17,7,3,2,5,0,0,52.7,58.5,-,-,0 (0),0,0,0
61,Leki Fotu,#95,DI,10,63,0,0,0,0,44,19,52.7,-,-,-,1 (0),0,0,0
63,Kris Boyd,#29,CB,4,63,20,20,11,12,0,0,52.4,-,-,-,2 (0),1,1,1
64,Aaron Brewer,#46,LS,17,124,0,0,0,64,0,60,52.3,-,-,-,1 (0),1,0,2
65,Dante Stills,#55,DI,14,68,2,0,3,0,63,0,50.8,-,-,-,1 (1),0,0,0
66,Christian Matthew,#35,CB,4,83,21,21,11,13,17,0,46.9,-,-,-,1 (0),1,0,1
67,Geoff Swaim,#87,TE,14,146,68,0,0,35,0,43,46.0,-,-,-,1 (0),1,1,0
68,Budda Baker,#03,S,7,16,0,0,3,0,13,0,40.8,-,-,-,1 (1),0,0,0
,,,,,,,,,,,,,,,,,,,
