player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Peyton Manning,327,QB,IND,19,75.3,679,699,9.1,0.0,9,40,5.5,68.7,480,0,160,6.1,715,31,288,14,91.3,88.5,89.6,29.7,3,18,748,5,8.8,99.8,2.0,14,2,0,8,39,17,2.3,5470,7.8
Tony Romo,1693,QB,DAL,18,72.1,592,620,7.9,0.0,14,23,3.5,63.2,392,0,215,8.2,676,35,230,9,67.4,67.4,69.2,38.6,4,10,711,5,19.5,96.2,6.2,42,14,2,8,28,12,1.7,4926,7.9
Drew Brees,802,QB,NO,18,79.0,581,616,8.4,0.0,17,32,5.0,70.6,435,0,165,5.2,643,24,253,20,62.9,87.7,87.8,38.8,9,11,671,4,13.3,110.8,3.4,22,5,2,7,42,15,2.2,5120,8.3
Tom Brady,698,QB,NE,17,75.2,576,607,8.9,0.0,5,30,4.6,64.9,394,0,157,9.0,632,39,224,19,91.3,76.2,79.2,29.1,9,16,672,7,12.1,92.9,3.0,19,6,0,17,30,12,1.8,4552,7.5
Brett Favre,14,QB,MIN,18,75.4,578,601,8.4,0.0,6,31,4.9,67.6,406,0,166,6.9,641,30,242,18,90.8,90.6,90.9,37.2,5,9,676,11,22.3,106.1,5.8,37,3,3,9,38,14,2.1,4746,7.9
Matt Schaub,1811,QB,HST,16,79.5,527,583,7.9,0.0,12,24,4.0,67.9,396,0,180,5.5,626,23,235,13,83.9,83.5,88.9,26.9,16,15,642,0,14.4,98.6,4.2,26,17,5,23,29,12,1.9,4770,8.2
Aaron Rodgers,2241,QB,GB,17,77.5,550,583,9.3,0.0,9,27,4.3,64.8,378,0,213,11.3,673,48,235,12,51.9,86.0,85.3,61.3,6,8,717,4,25.8,104.7,8.2,55,35,3,15,34,15,2.1,4875,8.4
Kurt Warner,112,QB,ARZ,17,78.3,525,573,8.0,0.0,14,20,3.3,67.4,386,0,181,6.1,604,25,223,1,63.6,74.9,76.7,29.6,22,15,635,3,14.4,97.5,4.3,26,5,7,5,32,18,2.8,4345,7.6
Jay Cutler,2956,QB,CHI,16,68.8,523,555,8.5,0.0,6,26,4.5,60.5,336,0,194,6.7,609,24,178,6,75.9,63.5,65.6,39.9,6,26,637,4,17.5,76.8,5.6,34,20,5,15,27,24,3.8,3676,6.6
Joe Flacco,4332,QB,BLT,18,71.2,511,544,8.9,0.0,8,17,3.0,62.3,339,0,166,6.9,597,25,203,3,73.7,78.5,80.7,38.1,7,15,631,5,22.9,84.9,6.4,38,15,2,16,21,14,2.2,3852,7.1
Kyle Orton,2323,QB,DEN,16,72.6,504,541,7.6,0.0,7,10,1.8,62.1,336,0,169,8.2,581,30,188,10,81.9,64.4,66.3,31.2,7,12,607,2,17.2,86.8,5.0,29,11,1,22,21,13,2.1,3799,7.0
