player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,year
Thomas Morstead,5088,P,NO,1,4,4,4.7,49.0,55.0,8.0,0,0,0,1,20,,2,61,0,0,75.0,24,3,4,18.8,196,0,220,2011
Thomas Morstead,5088,P,NO,18,68,68,4.47,40.82,45.57,8.6,0,0,8,13,20,86.5,29,61,14,1,38.2,223,26,68,304.0,2776,5,3099,2013
Thomas Morstead,5088,P,NO,15,58,58,4.58,42.81,46.21,4.0,0,1,10,12,20,85.0,21,63,5,1,41.4,97,24,59,265.84,2483,5,2680,2014
Brandon Fields,3841,P,NO,2,10,10,3.99,35.1,41.2,10.5,0,0,2,1,20,54.4,4,57,3,0,20.0,21,2,10,39.87,351,2,412,2015
Thomas Morstead,5088,P,NO,14,56,56,4.44,40.66,45.55,8.1,0,0,2,14,20,70.7,20,58,12,0,42.9,194,24,56,248.42,2277,4,2551,2015
Thomas Morstead,5088,P,NO,16,57,57,4.55,42.35,48.26,8.2,0,0,8,7,20,85.7,23,66,8,0,50.9,237,29,57,259.54,2414,5,2751,2016
Thomas Morstead,5088,P,NO,17,68,68,4.54,42.03,47.01,10.3,0,0,9,22,20,91.5,29,68,7,0,39.7,279,27,68,309.0,2858,3,3197,2017
Thomas Morstead,5088,P,NO,16,50,50,4.55,43.22,46.02,4.6,0,0,3,19,20,82.1,18,60,11,0,26.0,60,13,50,227.54,2161,4,2301,2018
Thomas Morstead,5088,P,NO,17,65,65,4.31,43.02,46.14,7.0,0,0,7,24,20,70.2,34,64,7,0,40.0,183,26,65,279.96,2796,1,2999,2019
Thomas Morstead,5088,P,NO,16,67,67,4.45,41.33,42.9,3.1,0,0,5,33,20,63.1,29,58,6,0,31.3,65,21,67,297.84,2769,2,2874,2020
Blake Gillikin,45045,P,NO,17,83,83,4.25,41.99,47.66,9.1,0,0,11,18,20,64.9,32,63,7,0,51.8,391,43,83,352.87,3485,4,3956,2021
