player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,year
Brett Kern,4580,P,PHI,5,17,17,3.79,37.71,42.18,7.0,0,0,1,5,24,50.2,4,53,2,0,47.1,56,8,17,64.35,641,1,717,2022
Jake Elliott,11908,K,PHI,1,1,1,4.26,35.0,35.0,,0,0,1,0,24,60.0,0,35,0,0,0.0,0,0,1,4.26,35,0,35,2022
Arryn Siposs,82019,P,PHI,14,46,46,4.22,39.26,45.74,10.8,1,0,7,11,24,54.2,19,59,3,0,47.8,238,22,47,193.93,1806,3,2104,2022
Braden Mann,44664,P,PHI,16,48,48,4.34,43.65,49.5,9.0,0,0,10,6,24,64.7,16,63,2,0,60.4,261,29,48,208.42,2095,1,2376,2023
Arryn Siposs,82019,P,PHI,2,8,8,4.32,38.38,43.38,8.0,0,0,1,2,24,59.1,2,54,0,0,62.5,40,5,8,34.59,307,0,347,2023
Braden Mann,44664,P,PHI,10,32,32,4.28,44.28,50.69,6.6,1,0,3,4,24,74.8,12,70,4,0,50.0,105,16,33,137.03,1417,5,1622,2024
Chris Gardocki,16,P,PIT,6,24,24,4.02,37.5,40.42,2.1,0,0,6,1,25,,5,53,2,0,58.3,30,14,24,96.42,900,2,970,2006
Daniel Sepulveda,3728,P,PIT,4,23,23,4.23,36.3,42.09,12.6,0,0,3,6,25,,10,59,4,0,39.1,113,9,23,97.2,835,1,968,2007
Mitch Berger,92,P,PIT,5,25,25,4.19,34.8,40.96,7.1,0,0,2,4,25,,7,53,0,0,64.0,114,16,25,104.86,870,2,1024,2008
Ben Roethlisberger,1732,QB,PIT,1,1,1,2.3,25.0,25.0,,0,0,1,0,25,,1,25,0,0,0.0,0,0,1,2.3,25,0,25,2008
Paul Ernster,2456,P,PIT,2,8,8,3.96,31.5,31.88,3.0,0,0,0,2,25,,3,43,5,0,12.5,3,1,8,31.7,252,0,255,2008
Daniel Sepulveda,3728,P,PIT,3,21,21,3.77,33.57,42.0,17.4,0,0,7,3,25,,9,58,1,0,42.9,157,9,21,79.25,705,1,882,2009
Daniel Sepulveda,3728,P,PIT,3,16,16,4.48,34.63,44.75,13.7,0,0,1,5,25,,1,59,0,0,37.5,82,6,16,71.6,554,4,716,2010
Jeremy Kapinos,4314,P,PIT,2,5,5,4.54,39.8,49.6,9.7,0,0,0,1,25,,2,59,0,0,60.0,29,3,5,22.7,199,1,248,2010
Daniel Sepulveda,3728,P,PIT,1,3,3,4.67,45.0,58.33,0.0,0,0,0,0,25,,0,66,0,0,33.3,0,1,3,14.0,135,2,175,2011
Jeremy Kapinos,4314,P,PIT,1,4,4,4.53,40.0,47.75,10.3,0,0,0,1,25,,1,56,0,0,75.0,31,3,4,18.1,160,0,191,2011
Mat McBriar,1659,P,PIT,9,41,41,4.01,34.51,39.83,8.3,0,0,4,10,25,54.5,13,70,5,0,46.3,158,19,41,164.6,1415,3,1633,2013
Ben Roethlisberger,1732,QB,PIT,1,1,1,2.5,28.0,28.0,,0,0,1,0,25,60.0,1,28,0,0,0.0,0,0,1,2.5,28,0,28,2013
Ben Roethlisberger,1732,QB,PIT,1,0,0,0.0,0.0,0.0,,0,0,0,0,25,60.0,0,0,0,0,0.0,0,0,1,0.0,0,0,0,2014
Brad Wing,8256,P,PIT,17,64,64,4.33,38.56,43.41,8.5,0,0,10,20,25,55.9,25,74,3,0,42.2,230,27,64,277.15,2468,4,2778,2014
Jordan Berry,10236,P,PIT,18,72,72,4.43,37.83,42.01,11.0,0,0,15,25,25,62.9,33,66,7,0,30.6,241,22,72,319.19,2724,3,3025,2015
Jordan Berry,10236,P,PIT,19,75,75,4.35,40.13,44.91,9.6,1,0,9,19,25,65.5,30,64,14,0,38.7,278,29,76,326.04,3010,4,3368,2016
Jordan Berry,10236,P,PIT,17,66,66,4.5,39.47,43.06,7.7,0,0,7,24,25,75.6,28,62,9,0,34.8,177,23,66,296.69,2605,3,2842,2017
Ben Roethlisberger,1732,QB,PIT,1,1,1,2.48,9.0,27.0,18.0,0,0,0,0,25,60.0,0,27,0,0,0.0,18,0,1,2.48,9,0,27,2018
Jordan Berry,10236,P,PIT,16,63,63,4.41,38.83,43.7,14.2,0,0,12,25,25,64.7,30,69,6,0,25.4,227,16,63,277.79,2446,4,2753,2018
Jordan Berry,10236,P,PIT,16,74,74,4.44,40.85,45.51,9.1,0,0,12,24,25,64.0,27,69,5,0,39.2,265,29,74,328.33,3023,4,3368,2019
Jordan Berry,10236,P,PIT,12,60,60,4.37,40.07,45.57,10.9,0,0,4,21,25,65.5,26,62,8,0,38.3,250,23,60,262.21,2404,4,2734,2020
Corliss Waitman,39620,P,PIT,2,7,7,4.12,42.57,52.14,9.4,0,0,1,0,25,53.3,1,63,0,0,71.4,47,5,7,28.82,298,1,365,2021
Cameron Nizialek,60273,P,PIT,4,18,18,4.09,39.78,45.39,8.7,0,0,3,3,25,53.6,7,62,3,0,38.9,61,7,18,73.59,716,2,817,2021
Pressley Harvin III,62973,P,PIT,16,77,77,4.29,38.27,43.25,10.4,0,0,7,20,25,54.4,32,64,16,0,40.3,323,31,77,330.51,2947,3,3330,2021
Pressley Harvin III,62973,P,PIT,17,69,69,4.38,41.09,44.52,5.7,0,0,11,22,25,67.5,21,69,7,0,34.8,137,24,69,302.5,2835,5,3072,2022
Brad Wing,8256,P,PIT,2,11,11,4.48,38.91,45.0,6.8,0,0,0,4,25,58.9,3,52,1,0,36.4,27,4,11,49.3,428,2,495,2023
Pressley Harvin III,62973,P,PIT,16,82,82,4.39,39.16,43.57,9.7,0,0,13,28,25,50.3,34,63,10,0,30.5,242,25,82,359.98,3211,6,3573,2023
Chris Boswell,8990,K,PIT,1,1,1,3.73,43.0,43.0,0.0,0,0,0,0,25,60.0,0,43,0,0,100.0,0,1,1,3.73,43,0,43,2024
Cameron Johnston,12255,P,PIT,1,2,2,4.65,37.5,51.5,28.0,0,0,0,1,25,61.6,1,58,0,0,50.0,28,1,2,9.3,75,0,103,2024
Corliss Waitman,39620,P,PIT,8,34,34,4.55,42.41,46.09,3.5,0,0,3,11,25,84.3,17,58,3,0,38.2,45,13,34,154.8,1442,4,1567,2024
Mike Scifres,1458,P,SD,12,44,44,4.48,38.7,42.52,8.2,0,0,13,15,27,,27,71,2,0,40.9,148,18,44,196.93,1703,1,1871,2006
Mike Scifres,1458,P,SD,1,2,2,4.9,41.5,51.5,,0,0,0,1,27,,1,56,0,0,0.0,0,0,2,9.8,83,1,103,2007
Mike Scifres,1458,P,SD,10,34,34,4.49,38.29,45.44,11.6,0,0,4,9,27,,9,65,2,0,41.2,163,14,34,152.6,1302,4,1545,2008
Mike Scifres,1458,P,SD,13,41,41,4.13,37.88,43.95,12.3,0,0,6,13,27,,19,61,3,0,41.5,209,17,41,169.32,1553,2,1802,2009
Mike Scifres,1458,P,SD,4,6,6,3.47,26.5,38.17,23.3,0,0,0,1,27,,2,67,2,0,50.0,70,3,9,20.8,159,0,229,2010
Mike Scifres,1458,P,SD,1,1,1,4.3,34.0,53.0,19.0,0,0,0,0,27,,0,53,0,0,100.0,19,1,1,4.3,34,0,53,2012
Mike Scifres,1458,P,SD,18,66,66,4.6,39.59,43.68,9.2,0,0,11,22,27,76.4,35,62,6,0,37.9,230,25,66,303.9,2613,2,2883,2013
Mike Scifres,1458,P,SD,13,55,55,4.58,39.51,45.71,10.5,0,1,9,12,27,74.3,22,72,7,1,38.2,221,21,56,252.15,2173,6,2514,2014
Mat McBriar,1659,P,SD,3,13,13,4.15,35.38,46.92,13.0,0,0,0,1,27,56.9,2,58,1,0,76.9,130,10,13,53.89,460,1,610,2014
Nick Novak,2726,K,SD,1,6,6,4.33,36.67,40.0,5.0,0,0,0,2,27,52.6,1,51,0,0,66.7,20,4,6,25.95,220,0,240,2014
Mike Scifres,1458,P,SD,16,72,72,4.22,38.42,45.29,10.6,1,0,8,15,27,43.9,15,68,4,0,59.7,455,43,73,303.81,2766,2,3261,2015
Drew Kaser,10813,P,SD,16,59,59,4.31,39.81,46.29,8.5,0,0,6,10,27,50.7,19,69,5,0,55.9,282,33,59,254.03,2349,5,2731,2016
Josh Brown,1520,K,SEA,1,1,1,2.25,28.0,28.0,,0,0,1,0,29,,1,28,0,0,0.0,0,0,1,2.25,28,0,28,2006
Ryan Plackemeier,3184,P,SEA,10,47,47,3.95,33.83,41.98,8.5,0,0,5,4,29,,14,63,7,0,51.1,203,24,47,185.61,1590,9,1973,2006
Ryan Plackemeier,3184,P,SEA,4,15,15,4.25,29.07,37.27,17.6,0,0,2,3,29,,3,56,3,0,46.7,123,7,15,63.7,436,0,559,2007
Jon Ryan,3493,P,SEA,5,28,28,4.16,36.43,43.71,10.3,0,0,5,3,29,,11,61,3,0,42.9,124,12,28,116.4,1020,4,1224,2008
Jon Ryan,3493,P,SEA,4,19,19,4.23,29.89,41.16,19.3,0,0,3,4,29,,6,61,1,0,47.4,174,9,19,80.35,568,2,782,2009
Olindo Mare,218,K,SEA,1,1,1,0.0,0.0,0.0,,0,0,0,0,29,,0,0,0,0,0.0,0,0,1,0.0,0,0,0,2010
Jon Ryan,3493,P,SEA,3,15,15,4.17,34.6,36.33,8.7,0,0,4,7,29,,6,58,1,0,20.0,26,3,15,62.5,519,0,545,2010
Jon Ryan,3493,P,SEA,1,8,8,4.2,40.13,48.13,10.7,0,0,1,0,29,,3,59,0,0,75.0,64,6,8,33.6,321,0,385,2011
Jon Ryan,3493,P,SEA,2,8,8,4.03,33.0,38.13,10.5,0,0,1,1,29,,4,54,2,0,25.0,21,2,8,32.2,264,1,305,2012
Jon Ryan,3493,P,SEA,19,83,83,4.48,40.05,42.35,4.0,0,0,20,33,29,64.0,33,69,2,0,27.7,91,23,85,371.5,3324,5,3515,2013
Jon Ryan,3493,P,SEA,19,76,76,4.53,38.51,43.67,12.4,0,0,9,30,29,79.5,34,66,8,0,28.9,272,22,77,344.11,2927,6,3319,2014
Jon Ryan,3493,P,SEA,18,76,76,4.35,37.32,44.28,12.2,0,0,11,21,29,69.5,32,69,5,0,42.1,389,32,76,330.45,2836,7,3365,2015
Jon Ryan,3493,P,SEA,18,76,76,4.27,40.16,44.18,8.8,1,0,13,23,29,64.8,31,64,7,0,36.8,246,28,77,324.42,3052,3,3358,2016
Jon Ryan,3493,P,SEA,16,92,92,4.29,38.79,45.01,10.0,0,0,12,19,29,67.6,29,74,10,0,48.9,452,45,92,395.05,3569,6,4141,2017
Michael Dickson,35381,P,SEA,17,85,85,4.21,42.76,48.46,9.1,1,0,14,10,29,73.8,35,69,14,0,49.4,384,42,86,357.92,3635,5,4119,2018
Michael Dickson,35381,P,SEA,18,81,81,4.39,41.07,45.26,6.3,0,0,10,22,29,64.6,41,64,8,0,43.2,219,35,81,355.9,3327,6,3666,2019
Michael Dickson,35381,P,SEA,17,69,69,4.29,45.01,50.35,7.2,0,0,11,14,29,82.0,36,71,7,0,42.0,208,29,69,296.14,3106,8,3474,2020
Michael Dickson,35381,P,SEA,17,83,83,4.2,41.7,46.93,7.3,0,0,13,22,29,65.9,43,68,6,0,38.6,234,32,83,348.7,3461,10,3895,2021
Michael Dickson,35381,P,SEA,17,70,70,4.27,44.4,48.44,6.2,0,0,8,15,29,60.4,26,68,8,0,51.4,223,36,70,298.84,3108,3,3391,2022
Michael Dickson,35381,P,SEA,16,66,66,4.42,44.11,50.05,6.8,0,0,9,12,29,80.0,26,73,3,0,51.5,232,34,66,291.79,2911,8,3303,2023
Michael Dickson,35381,P,SEA,9,40,40,4.51,42.73,49.48,9.5,0,0,1,11,29,89.6,14,68,4,0,50.0,190,20,40,180.56,1709,4,1979,2024
Andy Lee,1906,P,SF,7,31,31,4.26,33.94,41.35,10.0,0,0,5,10,28,,13,61,4,0,61.3,190,19,31,132.01,1052,2,1282,2006
Andy Lee,1906,P,SF,1,6,6,4.08,33.33,34.33,6.0,0,0,2,2,28,,4,46,1,0,16.7,6,1,6,24.5,200,0,206,2007
Andy Lee,1906,P,SF,6,25,25,4.39,41.6,50.12,7.8,0,0,2,2,28,,4,63,0,0,68.0,133,17,26,109.8,1040,4,1253,2008
Andy Lee,1906,P,SF,6,31,31,4.07,42.06,46.58,5.0,0,0,8,2,28,,15,60,1,0,51.6,80,16,31,126.17,1304,3,1444,2009
Andy Lee,1906,P,SF,1,6,6,4.73,52.0,53.83,3.7,0,0,1,2,28,,4,64,0,0,50.0,11,3,6,28.4,312,0,323,2010
Andy Lee,1906,P,SF,3,17,17,4.37,39.35,46.59,12.6,0,0,1,8,28,,9,61,0,0,29.4,63,5,17,74.3,669,3,792,2011
Andy Lee,1906,P,SF,4,4,4,4.38,44.0,51.0,7.0,0,0,0,0,28,,2,61,0,0,100.0,28,4,4,17.5,176,0,204,2012
Andy Lee,1906,P,SF,19,88,88,4.44,40.94,47.36,8.9,0,0,10,22,28,72.8,33,62,3,0,46.6,365,41,88,390.3,3603,10,4168,2013
Andy Lee,1906,P,SF,16,72,72,4.49,40.19,46.81,9.6,0,1,3,22,28,75.4,29,71,3,1,48.6,336,35,74,323.05,2894,7,3370,2014
Phil Dawson,422,K,SF,1,1,1,4.38,47.0,48.0,1.0,0,0,0,0,28,60.0,0,48,0,0,100.0,1,1,1,4.38,47,0,48,2015
Bradley Pinion,9598,P,SF,16,91,91,4.4,38.85,43.38,7.5,0,0,8,22,28,62.2,31,62,13,0,46.2,313,42,91,400.56,3535,5,3948,2015
Bradley Pinion,9598,P,SF,16,100,100,4.5,39.77,44.02,8.6,0,0,11,41,28,56.2,28,65,4,0,40.0,345,40,100,449.5,3977,4,4402,2016
Bradley Pinion,9598,P,SF,16,75,75,4.38,41.29,43.4,4.3,0,0,10,23,28,70.3,35,59,8,0,42.7,138,32,75,328.48,3097,1,3255,2017
Bradley Pinion,9598,P,SF,16,68,68,4.47,39.68,43.72,7.8,1,0,4,28,28,64.7,23,64,7,0,36.8,195,25,69,303.69,2698,4,2973,2018
Mitch Wishnowsky,44663,P,SF,19,60,60,4.33,41.52,44.7,5.2,0,0,9,18,28,64.2,29,65,5,0,41.7,131,25,60,259.95,2491,3,2682,2019
Mitch Wishnowsky,44663,P,SF,15,66,66,4.44,42.27,46.86,8.0,1,0,5,28,28,75.4,27,60,4,0,34.8,183,23,67,292.87,2790,6,3093,2020
Robbie Gould,2607,K,SF,1,2,2,4.03,45.0,45.0,,0,0,1,1,28,58.6,1,47,0,0,0.0,0,0,2,8.05,90,0,90,2021
Mitch Wishnowsky,44663,P,SF,19,71,71,4.26,40.49,44.61,7.5,0,0,12,23,28,58.4,29,67,7,0,32.4,172,23,71,302.66,2875,6,3167,2021
Mitch Wishnowsky,44663,P,SF,20,70,70,4.29,39.89,43.79,8.5,0,0,17,21,28,73.3,38,74,8,0,25.7,153,18,70,300.2,2792,6,3065,2022
Mitch Wishnowsky,44663,P,SF,20,62,62,4.31,43.08,47.89,8.9,0,0,12,15,28,71.2,35,67,4,1,46.8,258,29,62,267.02,2671,2,2969,2023
Mitch Wishnowsky,44663,P,SF,9,22,22,4.37,37.91,45.18,17.8,1,0,7,6,28,64.8,11,58,0,0,40.9,160,9,23,96.11,834,0,994,2024
Matt Turk,68,P,SL,9,38,38,4.71,34.53,41.74,12.9,1,0,6,7,26,63.1,13,59,5,0,39.5,194,15,39,179.16,1312,4,1586,2006
Donnie Jones,1939,P,SL,4,16,16,4.68,40.25,49.75,9.3,0,0,1,0,26,,3,60,0,0,75.0,112,12,16,74.9,644,2,796,2007
Donnie Jones,1939,P,SL,9,52,52,4.44,40.79,49.44,10.3,0,0,4,2,26,,13,68,4,0,73.1,390,38,52,230.74,2121,3,2571,2008
Donnie Jones,1939,P,SL,5,22,22,4.29,38.18,42.5,6.9,0,0,2,4,26,,7,56,6,0,36.4,55,8,22,94.27,840,2,935,2009
Donnie Jones,1939,P,SL,5,30,30,4.43,37.8,43.8,13.3,0,0,6,9,26,,8,59,1,0,40.0,160,12,30,132.9,1134,1,1314,2010
Donnie Jones,1939,P,SL,2,15,15,4.19,38.27,39.87,6.0,0,0,2,7,26,,2,51,2,0,26.7,24,4,15,62.8,574,0,598,2011
Johnny Hekker,7252,P,SL,3,10,10,4.38,43.9,51.3,6.8,0,0,1,0,26,,2,66,2,0,50.0,34,5,10,43.8,439,2,513,2012
Johnny Hekker,7252,P,SL,16,78,78,4.64,44.28,46.32,2.6,0,0,10,23,26,90.8,21,64,10,0,38.5,79,30,78,361.7,3454,4,3613,2013
Johnny Hekker,7252,P,SL,16,80,80,4.59,42.86,46.51,7.1,0,0,10,28,26,92.1,35,61,10,0,33.8,192,27,81,367.52,3429,5,3721,2014
Johnny Hekker,7252,P,SL,16,97,97,4.39,43.03,47.33,7.4,0,1,18,25,26,77.1,44,68,7,2,41.2,297,40,97,425.77,4174,6,4591,2015
Zach Hocker,8862,K,SL,1,1,1,4.62,43.0,43.0,,0,0,0,1,26,60.0,1,43,0,0,0.0,0,0,1,4.62,43,0,43,2015
Josh Bidwell,511,P,TB,9,50,50,3.98,36.66,43.86,8.7,0,0,6,9,30,,14,59,3,0,60.0,260,30,50,198.98,1833,5,2193,2006
Josh Bidwell,511,P,TB,1,6,6,4.25,39.5,44.5,10.0,0,0,2,1,30,,4,58,0,0,50.0,30,3,6,25.5,237,0,267,2007
Josh Bidwell,511,P,TB,11,51,51,4.15,38.24,44.86,9.9,0,0,7,4,30,,16,64,9,0,54.9,278,28,51,211.78,1950,3,2288,2008
Dirk Johnson,428,P,TB,3,21,21,4.06,35.76,41.14,9.4,0,0,3,5,30,,3,58,1,0,57.1,113,12,21,85.27,751,0,864,2009
Robert Malone,6116,P,TB,3,13,13,4.14,38.92,44.38,2.8,0,0,4,1,30,,4,64,1,0,30.8,11,4,13,53.8,506,3,577,2010
Michael Koenen,2682,P,TB,2,12,12,4.3,45.58,47.5,3.8,0,0,4,0,30,,8,65,2,0,50.0,23,6,12,51.6,547,0,570,2011
Michael Koenen,2682,P,TB,1,1,1,4.5,42.0,53.0,11.0,0,0,0,0,30,,0,53,0,0,100.0,11,1,1,4.5,42,0,53,2012
Michael Koenen,2682,P,TB,16,87,87,4.35,38.38,44.28,12.3,0,0,13,20,30,65.6,20,62,14,0,36.8,393,32,87,378.3,3339,6,3852,2013
Michael Koenen,2682,P,TB,16,79,79,4.33,37.04,39.92,5.9,0,0,14,26,30,51.1,19,56,6,0,40.5,188,32,79,341.68,2926,2,3154,2014
Jacob Schum,9373,P,TB,16,56,56,4.53,37.61,41.54,5.2,0,0,7,16,30,68.5,16,56,3,0,48.2,140,27,56,253.79,2106,4,2326,2015
Bryan Anger,7072,P,TB,16,70,70,4.72,42.7,45.93,5.5,0,0,9,29,30,83.6,38,59,3,0,32.9,126,23,70,330.62,2989,5,3215,2016
Bryan Anger,7072,P,TB,16,65,65,4.55,40.06,43.95,5.7,1,0,7,21,30,70.0,26,62,5,0,41.5,153,27,66,295.72,2604,5,2857,2017
Bryan Anger,7072,P,TB,16,57,57,4.41,39.58,45.04,8.6,1,0,7,16,30,61.4,15,64,3,0,47.4,231,27,58,251.46,2256,4,2567,2018
Bradley Pinion,9598,P,TB,16,57,57,4.48,38.28,43.23,8.9,0,0,9,18,30,70.6,23,63,2,0,43.9,222,25,57,255.33,2182,3,2464,2019
Bradley Pinion,9598,P,TB,18,68,68,4.35,39.54,44.5,11.0,0,0,8,20,30,78.9,28,62,11,0,39.7,297,27,68,296.03,2689,2,3026,2020
Bradley Pinion,9598,P,TB,17,67,67,4.41,39.01,43.75,8.9,0,0,9,18,30,63.9,28,65,8,0,43.3,257,29,67,295.17,2614,3,2931,2021
Sterling Hofrichter,33541,P,TB,2,6,6,4.34,34.17,37.83,11.0,0,0,0,4,30,59.5,3,45,0,0,33.3,22,2,6,26.04,205,0,227,2021
Jake Camarda,82636,P,TB,18,84,84,4.46,41.7,48.86,11.2,0,0,7,22,30,72.5,27,74,10,0,40.5,381,34,84,374.56,3503,11,4104,2022
Jake Camarda,82636,P,TB,19,84,84,4.22,41.81,49.82,11.5,0,0,10,12,30,67.3,33,74,11,0,48.8,473,41,84,354.5,3512,10,4185,2023
Trenton Gill,60295,P,TB,6,20,20,4.18,38.05,43.05,11.4,0,0,4,7,30,49.1,7,57,1,0,35.0,80,7,20,83.68,761,1,861,2024
Jake Camarda,82636,P,TB,4,13,13,3.9,36.46,45.31,19.2,0,0,3,3,30,47.6,5,67,1,0,46.2,115,6,13,50.71,474,0,589,2024
Craig Hentrich,57,P,TEN,8,49,49,4.36,39.27,43.88,5.7,0,0,8,13,31,,20,73,1,0,59.2,166,29,49,213.56,1924,3,2150,2006
Craig Hentrich,57,P,TEN,3,11,11,4.15,41.09,42.09,3.7,0,0,4,2,31,,4,51,0,0,27.3,11,3,11,45.6,452,0,463,2007
Craig Hentrich,57,P,TEN,8,42,42,4.16,35.9,43.29,10.0,0,0,6,11,31,,12,75,2,0,40.5,170,17,42,174.7,1508,7,1818,2008
Brett Kern,4580,P,TEN,7,28,28,4.23,36.32,45.18,12.0,0,0,2,6,31,,10,67,2,0,50.0,168,14,28,118.46,1017,4,1265,2009
Brett Kern,4580,P,TEN,3,14,14,4.29,39.0,43.79,8.4,0,0,3,2,31,,5,60,1,0,57.1,67,8,14,60.1,546,0,613,2010
Damian Williams,5601,WR,TEN,1,1,1,0.0,0.0,0.0,,0,0,0,0,31,,0,0,0,0,0.0,0,0,1,0.0,0,0,0,2010
Brett Kern,4580,P,TEN,5,8,8,4.35,47.0,48.13,3.0,0,0,1,2,31,,2,57,2,0,37.5,9,3,8,34.8,376,0,385,2012
Brett Kern,4580,P,TEN,16,78,78,4.41,40.19,43.4,6.0,0,0,9,25,31,71.0,37,63,7,0,44.9,210,35,80,343.9,3135,2,3385,2013
Brett Kern,4580,P,TEN,16,88,88,4.38,41.23,46.8,8.1,0,0,6,25,31,73.2,31,79,7,0,48.9,350,43,89,385.62,3628,7,4118,2014
Brett Kern,4580,P,TEN,16,88,88,4.45,40.34,47.44,12.9,0,0,6,22,31,87.6,37,61,10,0,53.4,605,47,88,391.31,3550,1,4175,2015
Brett Kern,4580,P,TEN,16,77,77,4.34,38.64,44.18,10.5,0,0,6,27,31,67.3,33,71,4,0,42.9,347,33,77,334.17,2975,4,3402,2016
Brett Kern,4580,P,TEN,18,85,85,4.21,44.16,49.12,7.1,0,0,5,13,31,82.3,35,74,17,0,52.9,321,45,85,357.56,3754,5,4175,2017
Brett Kern,4580,P,TEN,16,74,74,4.2,42.26,47.07,9.0,1,0,7,16,31,68.6,39,62,15,0,44.6,296,33,75,310.82,3127,3,3483,2018
Brett Kern,4580,P,TEN,19,93,93,4.22,42.82,47.32,9.1,0,0,11,21,31,88.9,45,70,22,0,35.5,299,33,93,392.2,3982,6,4401,2019
Brett Kern,4580,P,TEN,14,42,42,4.21,41.98,45.79,7.7,0,0,5,14,31,74.0,29,66,7,0,31.0,100,13,42,176.98,1763,3,1923,2020
Trevor Daniel,38843,P,TEN,2,4,4,3.95,37.5,39.25,7.0,1,0,0,2,31,51.7,0,52,1,0,25.0,7,1,5,15.79,150,0,157,2020
Brett Kern,4580,P,TEN,15,51,51,4.06,40.51,44.53,10.3,0,0,8,14,31,62.2,21,59,10,0,35.3,185,18,51,207.22,2066,1,2271,2021
Ryan Stonehouse,52045,P,TEN,17,90,90,4.31,44.03,53.09,10.8,0,0,10,11,31,67.5,32,74,1,0,65.6,635,59,90,387.7,3963,9,4778,2022
Nick Folk,3794,K,TEN,1,2,2,3.96,39.0,40.5,3.0,0,0,0,1,31,59.0,0,41,0,0,50.0,3,1,2,7.91,78,0,81,2023
Ryan Stonehouse,52045,P,TEN,12,53,53,4.27,44.7,53.06,11.0,2,0,6,7,31,73.8,30,74,8,0,41.5,243,22,55,226.39,2369,10,2812,2023
Ty Zentner,99465,P,TEN,9,38,38,4.21,40.37,44.87,10.1,0,0,4,16,31,46.9,11,64,5,0,23.7,91,9,38,159.79,1534,4,1705,2023
Ryan Stonehouse,52045,P,TEN,9,43,43,4.17,37.0,50.88,17.9,2,0,1,7,31,57.5,12,75,2,0,69.8,537,30,45,179.28,1591,3,2188,2024
Derrick Frost,1608,P,WAS,11,56,56,4.29,36.66,42.61,6.7,1,0,9,8,32,,17,59,3,0,62.5,233,35,57,240.2,2053,5,2386,2006
Derrick Frost,1608,P,WAS,5,14,14,4.15,38.36,43.14,6.7,0,0,3,3,32,,7,58,0,0,50.0,47,7,15,58.1,537,1,604,2007
Ryan Plackemeier,3184,P,WAS,3,18,18,4.24,34.44,43.44,8.4,0,0,3,3,32,,5,54,1,0,27.8,42,5,18,76.3,620,6,782,2008
Durant Brooks,4482,P,WAS,2,6,6,4.27,13.5,34.0,61.5,0,0,1,2,32,,2,49,1,0,33.3,123,2,6,25.6,81,0,204,2008
Hunter Smith,532,P,WAS,8,38,38,4.21,35.42,41.05,7.9,0,0,2,13,32,,16,59,2,0,44.7,134,17,38,159.91,1346,4,1560,2009
Glenn Pakulak,2920,P,WAS,1,8,8,3.25,31.75,35.75,8.0,0,0,3,1,32,,3,47,0,0,50.0,32,4,8,26.0,254,0,286,2009
Josh Bidwell,511,P,WAS,1,5,5,2.92,33.2,37.2,10.0,0,0,1,0,32,,1,49,2,0,40.0,20,2,5,14.6,166,0,186,2010
Hunter Smith,532,P,WAS,1,4,4,4.1,9.75,31.5,87.0,0,0,1,2,32,,2,45,0,0,25.0,87,1,4,16.4,39,0,126,2010
Sam Paulescu,4300,P,WAS,1,4,4,4.03,25.25,38.75,27.0,0,0,0,1,32,,0,44,1,0,50.0,54,2,4,16.1,101,0,155,2010
Saverio Rocca,4274,P,WAS,2,4,4,4.68,30.75,38.25,15.0,0,0,0,2,32,,2,41,0,0,50.0,30,2,4,18.7,123,0,153,2011
Saverio Rocca,4274,P,WAS,2,6,6,4.83,42.67,48.33,6.8,0,0,0,1,32,,2,55,0,0,83.3,34,5,7,29.0,256,0,290,2012
Saverio Rocca,4274,P,WAS,16,84,84,4.22,34.24,42.04,16.8,0,0,9,18,32,62.2,29,63,17,0,46.4,655,39,85,354.5,2876,0,3531,2013
Tress Way,8358,P,WAS,16,76,76,4.57,40.29,47.5,10.5,0,0,12,11,32,75.3,22,77,6,0,51.3,408,39,77,347.55,3062,7,3610,2014
Tress Way,8358,P,WAS,17,75,75,4.44,40.67,46.36,9.3,0,0,17,14,32,74.1,26,64,5,0,41.3,287,31,76,333.11,3050,7,3477,2015
Tress Way,8358,P,WAS,16,49,49,4.41,38.92,45.08,8.2,0,0,4,7,32,69.7,18,61,7,0,55.1,222,27,49,216.05,1907,4,2209,2016
Tress Way,8358,P,WAS,16,83,83,4.53,39.02,45.71,11.2,0,0,7,26,32,77.1,34,64,5,0,47.0,435,39,83,375.8,3239,6,3794,2017
Tress Way,8358,P,WAS,16,79,79,4.37,41.49,45.33,9.8,0,0,19,26,32,69.2,43,63,3,0,39.2,303,31,79,345.07,3278,0,3581,2018
Tress Way,8358,P,WAS,16,79,79,4.36,44.11,49.61,9.1,0,0,12,19,32,71.3,31,79,5,0,49.4,354,39,79,344.77,3485,4,3919,2019
Tress Way,8358,P,WAS,17,78,78,4.41,44.08,47.73,5.9,0,0,11,26,32,67.3,30,65,0,0,48.7,225,38,78,344.33,3438,3,3723,2020
Tress Way,8358,P,WAS,15,60,60,4.31,42.07,48.35,9.1,1,0,8,14,32,63.1,22,66,5,1,43.3,237,26,61,258.88,2524,7,2901,2021
Ryan Winslow,30026,P,WAS,4,16,16,4.01,37.44,39.06,2.9,0,0,3,3,32,45.4,3,46,1,0,56.3,26,9,16,64.15,599,0,625,2021
