player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,year
Younghoe Koo,12042,,ATL,8,0,1,1,100.0,9,7,77.8,2,62.5,0,0,,16,15,93.8,0,10,9,90.0,26,23,88.5,6,6,100.0,2019
Younghoe Koo,12042,K,ATL,15,0,8,8,100.0,9,8,88.9,2,67.6,0,0,,36,33,91.7,0,12,11,91.7,39,37,94.9,10,10,100.0,2020
Elliott Fry,21473,K,ATL,1,0,0,0,,0,0,,2,35.6,0,0,,2,1,50.0,0,0,0,,1,1,100.0,1,1,100.0,2020
Younghoe Koo,12042,K,ATL,17,0,5,4,80.0,7,6,85.7,2,87.0,0,0,,30,30,100.0,0,9,9,100.0,29,27,93.1,8,8,100.0,2021
Younghoe Koo,12042,K,ATL,17,0,11,7,63.6,10,9,90.0,2,81.6,0,0,,35,33,94.3,0,7,7,100.0,37,32,86.5,9,9,100.0,2022
Younghoe Koo,12042,K,ATL,17,0,6,3,50.0,11,9,81.8,2,68.8,0,0,,28,27,96.4,0,10,10,100.0,37,32,86.5,10,10,100.0,2023
Younghoe Koo,12042,K,ATL,10,0,8,5,62.5,6,3,50.0,2,73.2,0,0,,23,23,100.0,0,6,5,83.3,24,17,70.8,4,4,100.0,2024
Justin Tucker,7604,K,BLT,16,0,7,6,85.7,11,10,90.9,3,90.3,0,0,,26,26,100.0,0,13,12,92.3,41,38,92.7,10,10,100.0,2013
Justin Tucker,7604,K,BLT,18,0,10,5,50.0,5,5,100.0,3,69.8,0,0,,48,48,100.0,1,11,11,100.0,38,33,86.8,12,12,100.0,2014
Justin Tucker,7604,K,BLT,16,0,10,4,40.0,11,10,90.9,3,74.7,0,0,,29,29,100.0,0,9,9,100.0,40,33,82.5,10,10,100.0,2015
Justin Tucker,7604,K,BLT,16,0,10,10,100.0,14,14,100.0,3,92.9,0,0,,27,27,100.0,0,11,10,90.9,39,38,97.4,4,4,100.0,2016
Justin Tucker,7604,K,BLT,16,0,7,5,71.4,12,11,91.7,3,90.8,0,0,,39,39,100.0,0,11,11,100.0,37,34,91.9,7,7,100.0,2017
Justin Tucker,7604,K,BLT,17,0,8,5,62.5,11,9,81.8,3,82.4,0,0,,39,38,97.4,0,10,10,100.0,41,36,87.8,12,12,100.0,2018
Justin Tucker,7604,K,BLT,17,0,1,1,100.0,12,11,91.7,3,85.1,0,0,,59,57,96.6,0,9,9,100.0,31,30,96.8,9,9,100.0,2019
Justin Tucker,7604,K,BLT,18,0,7,4,57.1,11,9,81.8,3,81.4,0,0,,55,54,98.2,0,9,8,88.9,35,29,82.9,8,8,100.0,2020
Justin Tucker,7604,K,BLT,17,0,6,6,100.0,15,13,86.7,3,93.3,0,0,,32,32,100.0,0,9,9,100.0,37,35,94.6,7,7,100.0,2021
Justin Tucker,7604,K,BLT,18,0,14,9,64.3,5,4,80.0,3,90.4,0,0,,34,33,97.1,0,11,11,100.0,44,38,86.4,14,14,100.0,2022
Justin Tucker,7604,K,BLT,19,0,6,2,33.3,14,13,92.9,3,82.5,0,0,,57,56,98.2,0,10,10,100.0,40,35,87.5,10,10,100.0,2023
Justin Tucker,7604,K,BLT,10,0,5,2,40.0,5,4,80.0,3,64.3,0,0,,38,37,97.4,0,6,6,100.0,19,15,78.9,3,3,100.0,2024
Dan Carpenter,4697,K,BUF,16,0,6,4,66.7,11,10,90.9,4,71.0,0,0,,32,32,100.0,0,6,6,100.0,36,33,91.7,13,13,100.0,2013
Dan Carpenter,4697,K,BUF,16,0,8,6,75.0,8,7,87.5,4,70.5,0,0,,32,31,96.9,0,13,12,92.3,38,34,89.5,9,9,100.0,2014
Dan Carpenter,4697,K,BUF,16,0,5,3,60.0,8,7,87.5,4,40.7,0,0,,40,34,85.0,0,9,8,88.9,27,23,85.2,5,5,100.0,2015
Dan Carpenter,4697,K,BUF,16,0,2,1,50.0,9,4,44.4,4,36.2,1,1,100.0,45,41,91.1,0,5,5,100.0,25,19,76.0,8,8,100.0,2016
Stephen Hauschka,4655,K,BUF,17,0,9,7,77.8,9,7,77.8,4,85.0,0,0,,29,29,100.0,0,10,10,100.0,34,30,88.2,6,6,100.0,2017
Stephen Hauschka,4655,K,BUF,15,0,7,4,57.1,10,7,70.0,4,64.1,0,0,,26,25,96.2,0,8,8,100.0,28,22,78.6,3,3,100.0,2018
Stephen Hauschka,4655,K,BUF,17,0,5,1,20.0,13,12,92.3,4,63.4,0,0,,33,31,93.9,0,9,8,88.9,32,26,81.3,5,5,100.0,2019
Tyler Bass,33010,K,BUF,19,0,9,7,77.8,12,9,75.0,4,67.1,1,1,100.0,65,62,95.4,0,9,6,66.7,43,35,81.4,12,12,100.0,2020
Tyler Bass,33010,K,BUF,19,0,4,2,50.0,5,4,80.0,4,74.9,0,0,,62,60,96.8,0,8,7,87.5,32,28,87.5,15,15,100.0,2021
Tyler Bass,33010,K,BUF,18,0,3,2,66.7,11,10,90.9,4,71.6,0,0,,55,53,96.4,0,15,13,86.7,34,30,88.2,5,5,100.0,2022
Tyler Bass,33010,K,BUF,19,0,6,4,66.7,9,5,55.6,4,64.5,0,0,,57,56,98.2,0,13,12,92.3,34,26,76.5,6,5,83.3,2023
Tyler Bass,33010,K,BUF,10,0,2,2,100.0,8,5,62.5,4,73.2,0,0,,33,30,90.9,0,5,5,100.0,21,18,85.7,6,6,100.0,2024
Graham Gano,5443,K,CAR,17,0,6,6,100.0,7,5,71.4,5,69.3,0,0,,43,43,100.0,0,5,4,80.0,28,25,89.3,10,10,100.0,2013
Graham Gano,5443,K,CAR,18,0,3,1,33.3,14,10,71.4,5,59.4,0,0,,39,39,100.0,0,15,14,93.3,39,32,82.1,7,7,100.0,2014
Graham Gano,5443,K,CAR,19,0,5,3,60.0,18,14,77.8,5,79.4,1,1,100.0,69,66,95.7,0,6,5,83.3,41,34,82.9,11,11,100.0,2015
Graham Gano,5443,K,CAR,16,0,6,3,50.0,17,14,82.4,5,54.2,0,0,,34,32,94.1,0,11,9,81.8,38,30,78.9,4,4,100.0,2016
Graham Gano,5443,K,CAR,17,0,2,1,50.0,10,10,100.0,5,73.4,0,0,,39,36,92.3,0,12,12,100.0,35,33,94.3,11,10,90.9,2017
Graham Gano,5443,K,CAR,12,0,4,3,75.0,4,4,100.0,5,65.1,0,0,,33,30,90.9,0,5,4,80.0,16,14,87.5,3,3,100.0,2018
Chandler Catanzaro,9140,K,CAR,13,0,3,3,100.0,3,0,0.0,5,38.0,0,0,,35,30,85.7,0,10,9,90.0,20,16,80.0,4,4,100.0,2018
Joey Slye,39235,K,CAR,16,0,11,8,72.7,11,8,72.7,5,58.9,0,0,,35,31,88.6,0,5,5,100.0,32,25,78.1,5,4,80.0,2019
Joey Slye,39235,K,CAR,16,0,6,1,16.7,8,7,87.5,5,56.7,0,0,,36,33,91.7,0,10,10,100.0,36,29,80.6,12,11,91.7,2020
Zane Gonzalez,11979,K,CAR,12,0,5,3,60.0,10,10,100.0,5,81.3,0,0,,23,22,95.7,0,1,1,100.0,22,20,90.9,6,6,100.0,2021
Lirim Hajrullahu,113161,K,CAR,4,0,0,0,,1,0,0.0,5,60.4,0,0,,8,8,100.0,0,2,2,100.0,5,4,80.0,2,2,100.0,2021
Eddy Pineiro,44140,K,CAR,17,0,2,2,100.0,14,13,92.9,5,75.0,0,0,,32,30,93.8,0,17,16,94.1,35,33,94.3,2,2,100.0,2022
Matthew Wright,39675,K,CAR,1,0,1,0,0.0,0,0,,5,56.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,,2023
Eddy Pineiro,44140,K,CAR,15,0,7,5,71.4,9,7,77.8,5,58.8,0,0,,20,17,85.0,0,7,7,100.0,29,25,86.2,6,6,100.0,2023
Eddy Pineiro,44140,K,CAR,10,0,1,1,100.0,6,5,83.3,5,81.1,0,0,,17,17,100.0,0,3,3,100.0,13,12,92.3,3,3,100.0,2024
Robbie Gould,2607,K,CHI,16,0,4,3,75.0,7,6,85.7,6,79.3,0,0,,46,45,97.8,0,7,6,85.7,29,26,89.7,11,11,100.0,2013
Jay Feely,955,K,CHI,4,0,0,0,,2,1,50.0,6,55.5,0,0,,6,5,83.3,0,1,1,100.0,4,3,75.0,1,1,100.0,2014
Robbie Gould,2607,K,CHI,12,0,1,0,0.0,4,3,75.0,6,56.8,0,0,,29,28,96.6,0,3,2,66.7,12,9,75.0,4,4,100.0,2014
Robbie Gould,2607,K,CHI,15,0,9,7,77.8,9,7,77.8,6,59.7,1,1,100.0,29,28,96.6,0,12,10,83.3,39,33,84.6,8,8,100.0,2015
Connor Barth,4777,K,CHI,16,0,3,1,33.3,4,3,75.0,6,63.0,0,0,,32,31,96.9,0,8,7,87.5,23,18,78.3,8,7,87.5,2016
Mike Nugent,2264,K,CHI,8,0,1,1,100.0,5,4,80.0,6,60.9,0,0,,17,15,88.2,0,4,3,75.0,13,11,84.6,3,3,100.0,2017
Connor Barth,4777,K,CHI,10,0,2,1,50.0,9,5,55.6,6,56.5,1,1,100.0,17,17,100.0,0,0,0,,16,11,68.8,4,4,100.0,2017
Cairo Santos,8932,K,CHI,5,0,1,0,0.0,0,0,,6,59.0,0,0,,14,14,100.0,0,4,4,100.0,5,4,80.0,0,0,,2017
Cody Parkey,9030,K,CHI,17,0,2,1,50.0,13,9,69.2,6,39.9,0,0,,45,42,93.3,0,12,9,75.0,34,26,76.5,7,7,100.0,2018
Eddy Pineiro,44140,K,CHI,16,0,2,2,100.0,7,3,42.9,6,51.7,1,1,100.0,29,27,93.1,0,10,9,90.0,28,23,82.1,8,8,100.0,2019
Cairo Santos,8932,K,CHI,17,0,3,2,66.7,10,9,90.0,6,85.2,0,0,,37,36,97.3,0,11,11,100.0,33,31,93.9,9,9,100.0,2020
Cairo Santos,8932,K,CHI,17,0,2,0,0.0,13,11,84.6,6,73.0,0,0,,28,27,96.4,0,5,5,100.0,30,26,86.7,10,10,100.0,2021
Cairo Santos,8932,K,CHI,16,0,5,4,80.0,7,6,85.7,6,48.5,0,0,,32,27,84.4,0,7,7,100.0,23,21,91.3,4,4,100.0,2022
