player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,year
Matt Prater,3471,K,DET,12,0,5,3,60.0,8,6,75.0,11,65.0,0,0,,23,23,100.0,0,7,6,85.7,28,23,82.1,8,8,100.0,2014
Alex Henery,6272,K,DET,2,0,3,1,33.3,2,0,0.0,11,28.6,0,0,,5,5,100.0,0,0,0,,5,1,20.0,0,0,,2014
Nate Freese,8863,K,DET,3,0,0,0,,4,0,0.0,11,29.7,0,0,,6,6,100.0,0,1,1,100.0,7,3,42.9,2,2,100.0,2014
Matt Prater,3471,K,DET,16,0,6,5,83.3,6,6,100.0,11,70.0,0,0,,39,36,92.3,0,9,8,88.9,24,22,91.7,3,3,100.0,2015
Matt Prater,3471,K,DET,17,0,9,9,100.0,14,10,71.4,11,86.7,0,0,,33,31,93.9,0,5,4,80.0,38,33,86.8,10,10,100.0,2016
Matt Prater,3471,K,DET,16,0,11,7,63.6,8,7,87.5,11,87.7,2,2,100.0,41,40,97.6,0,10,10,100.0,35,30,85.7,4,4,100.0,2017
Matt Prater,3471,K,DET,16,0,5,3,60.0,7,5,71.4,11,67.9,0,0,,30,30,100.0,0,12,12,100.0,32,28,87.5,8,8,100.0,2018
Matt Prater,3471,K,DET,16,0,8,7,87.5,9,6,66.7,11,74.7,0,0,,36,35,97.2,0,3,2,66.7,31,26,83.9,11,11,100.0,2019
Matt Prater,3471,K,DET,16,0,10,6,60.0,7,4,57.1,11,64.2,0,0,,41,38,92.7,0,7,7,100.0,28,21,75.0,4,4,100.0,2020
Aldrick Rosas,11331,K,DET,5,0,2,0,0.0,2,2,100.0,11,51.7,0,0,,14,14,100.0,0,1,0,0.0,5,2,40.0,0,0,,2021
Austin Seibert,13701,K,DET,6,0,2,1,50.0,6,5,83.3,11,64.1,0,0,,5,5,100.0,0,4,4,100.0,12,10,83.3,0,0,,2021
Ryan Santoso,26245,P,DET,4,0,0,0,,1,0,0.0,11,37.6,0,0,,8,6,75.0,0,1,1,100.0,5,4,80.0,3,3,100.0,2021
Riley Patterson,57556,K,DET,7,0,1,0,0.0,4,4,100.0,11,70.9,0,0,,16,16,100.0,0,6,6,100.0,14,13,92.9,3,3,100.0,2021
Austin Seibert,13701,K,DET,3,0,1,0,0.0,3,2,66.7,11,58.2,0,0,,12,12,100.0,0,1,1,100.0,5,3,60.0,0,0,,2022
Dominik Eberle,33789,K,DET,1,0,0,0,,1,1,100.0,11,36.2,0,0,,4,2,50.0,0,0,0,,1,1,100.0,0,0,,2022
Michael Badgley,39417,K,DET,13,0,3,2,66.7,11,9,81.8,11,64.7,0,0,,33,33,100.0,0,7,7,100.0,28,24,85.7,7,6,85.7,2022
Michael Badgley,39417,K,DET,7,0,1,1,100.0,1,1,100.0,11,69.5,0,0,,26,24,92.3,0,3,3,100.0,7,7,100.0,2,2,100.0,2023
Jake Bates,121959,K,DET,9,0,3,3,100.0,3,3,100.0,11,80.9,0,0,,33,32,97.0,0,5,5,100.0,14,14,100.0,3,3,100.0,2024
Mason Crosby,3809,K,GB,17,0,7,5,71.4,8,6,75.0,12,76.2,1,1,100.0,44,44,100.0,0,8,8,100.0,39,35,89.7,15,15,100.0,2013
Mason Crosby,3809,K,GB,18,0,7,4,57.1,11,9,81.8,12,66.9,2,2,100.0,58,56,96.6,0,13,12,92.3,40,34,85.0,7,7,100.0,2014
Mason Crosby,3809,K,GB,17,0,5,4,80.0,12,9,75.0,12,75.5,1,1,100.0,41,41,100.0,0,5,5,100.0,32,28,87.5,9,9,100.0,2015
Mason Crosby,3809,K,GB,19,0,4,3,75.0,7,5,71.4,12,70.1,1,1,100.0,57,54,94.7,0,16,14,87.5,34,29,85.3,6,6,100.0,2016
Mason Crosby,3809,K,GB,14,0,3,1,33.3,4,4,100.0,12,55.2,0,0,,35,33,94.3,0,4,2,50.0,19,15,78.9,8,8,100.0,2017
Mason Crosby,3809,K,GB,15,0,7,5,71.4,15,11,73.3,12,53.7,0,0,,36,34,94.4,0,11,10,90.9,37,30,81.1,4,4,100.0,2018
Mason Crosby,3809,K,GB,17,0,2,1,50.0,8,7,87.5,12,73.0,1,1,100.0,47,46,97.9,0,11,11,100.0,24,22,91.7,2,2,100.0,2019
Mason Crosby,3809,K,GB,18,0,4,4,100.0,5,5,100.0,12,75.4,1,1,100.0,67,63,94.0,0,6,6,100.0,20,20,100.0,4,4,100.0,2020
Mason Crosby,3809,K,GB,18,0,4,3,75.0,8,4,50.0,12,49.2,0,0,,52,50,96.2,0,15,10,66.7,36,26,72.2,9,9,100.0,2021
Mason Crosby,3809,K,GB,17,0,4,1,25.0,7,6,85.7,12,72.4,0,0,,39,37,94.9,0,8,8,100.0,29,25,86.2,10,10,100.0,2022
Anders Carlson,57509,K,GB,19,0,5,3,60.0,9,4,44.4,12,42.4,0,0,,47,41,87.2,0,14,14,100.0,36,29,80.6,8,8,100.0,2023
Brandon McManus,8437,K,GB,3,0,0,0,,2,1,50.0,12,66.7,0,0,,6,6,100.0,0,4,4,100.0,7,6,85.7,1,1,100.0,2024
Brayden Narveson,77073,K,GB,6,0,0,0,,9,5,55.6,12,43.8,0,0,,16,16,100.0,0,4,3,75.0,17,12,70.6,4,4,100.0,2024
Randy Bullock,7154,K,HST,16,0,5,1,20.0,17,12,70.6,13,45.9,1,1,100.0,26,26,100.0,0,5,5,100.0,35,26,74.3,7,7,100.0,2013
Randy Bullock,7154,K,HST,16,0,5,4,80.0,7,6,85.7,13,66.1,0,0,,40,40,100.0,0,16,14,87.5,35,30,85.7,7,6,85.7,2014
Nick Novak,2726,K,HST,13,0,5,2,40.0,4,4,100.0,13,60.3,0,0,,31,29,93.5,0,6,6,100.0,21,18,85.7,6,6,100.0,2015
Nick Novak,2726,K,HST,17,0,7,4,57.1,12,9,75.0,13,61.4,1,1,100.0,29,26,89.7,0,13,13,100.0,46,40,87.0,13,13,100.0,2016
Ka'imi Fairbairn,11161,K,HST,15,0,4,3,75.0,7,6,85.7,13,46.7,0,0,,35,32,91.4,0,10,8,80.0,25,20,80.0,4,3,75.0,2017
Ka'imi Fairbairn,11161,K,HST,17,0,6,4,66.7,15,12,80.0,13,68.4,1,1,100.0,42,40,95.2,0,11,11,100.0,42,37,88.1,9,9,100.0,2018
Ka'imi Fairbairn,11161,K,HST,18,0,7,3,42.9,7,5,71.4,13,42.2,0,0,,49,44,89.8,0,9,9,100.0,29,23,79.3,6,6,100.0,2019
Ka'imi Fairbairn,11161,K,HST,16,0,6,4,66.7,8,6,75.0,13,62.3,0,0,,40,37,92.5,0,9,9,100.0,31,27,87.1,8,8,100.0,2020
Ka'imi Fairbairn,11161,K,HST,11,0,6,4,66.7,4,2,50.0,13,42.8,0,0,,16,13,81.3,0,5,5,100.0,19,15,78.9,4,4,100.0,2021
Dominik Eberle,33789,K,HST,1,0,2,1,50.0,0,0,,13,60.1,0,0,,5,5,100.0,0,0,0,,3,2,66.7,1,1,100.0,2021
Ka'imi Fairbairn,11161,K,HST,17,0,6,6,100.0,10,9,90.0,13,84.3,0,0,,24,24,100.0,0,8,7,87.5,31,29,93.5,7,7,100.0,2022
Ka'imi Fairbairn,11161,K,HST,14,0,7,6,85.7,3,2,66.7,13,77.1,0,0,,29,28,96.6,0,10,10,100.0,31,29,93.5,11,11,100.0,2023
Dare Ogunbowale,12329,HB,HST,1,0,0,0,,0,0,,13,60.3,0,0,,0,0,,0,0,0,,1,1,100.0,1,1,100.0,2023
Matt Ammendola,34039,K,HST,5,0,2,0,0.0,2,1,50.0,13,48.7,0,0,,11,10,90.9,0,3,3,100.0,9,6,66.7,2,2,100.0,2023
Ka'imi Fairbairn,11161,K,HST,10,0,14,11,78.6,4,3,75.0,13,90.0,0,0,,20,20,100.0,0,7,7,100.0,29,24,82.8,4,3,75.0,2024
Adam Vinatieri,226,K,IND,17,0,6,4,66.7,17,15,88.2,14,69.5,0,0,,42,42,100.0,0,13,12,92.3,43,38,88.4,7,7,100.0,2013
Adam Vinatieri,226,K,IND,19,0,5,4,80.0,9,7,77.8,14,71.4,0,0,,56,56,100.0,0,12,12,100.0,38,35,92.1,12,12,100.0,2014
Adam Vinatieri,226,K,IND,16,0,5,4,80.0,8,8,100.0,14,74.9,0,0,,35,32,91.4,0,6,6,100.0,27,25,92.6,8,7,87.5,2015
Adam Vinatieri,226,K,IND,16,0,9,7,77.8,12,10,83.3,14,80.4,0,0,,44,44,100.0,0,7,7,100.0,31,27,87.1,3,3,100.0,2016
Adam Vinatieri,226,K,IND,15,0,6,5,83.3,7,6,85.7,14,69.5,0,0,,24,22,91.7,0,10,7,70.0,34,29,85.3,11,11,100.0,2017
Adam Vinatieri,226,K,IND,17,0,6,4,66.7,6,5,83.3,14,58.5,0,0,,52,48,92.3,0,7,6,85.7,28,23,82.1,9,8,88.9,2018
Adam Vinatieri,226,K,IND,12,0,5,2,40.0,7,3,42.9,14,28.8,0,0,,28,22,78.6,0,6,6,100.0,25,17,68.0,7,6,85.7,2019
Chase McLaughlin,33285,K,IND,11,0,3,3,100.0,10,5,50.0,14,68.2,1,1,100.0,26,26,100.0,0,4,4,100.0,23,18,78.3,5,5,100.0,2019
Rodrigo Blankenship,34038,K,IND,17,0,3,1,33.3,11,9,81.8,14,57.9,0,0,,46,44,95.7,0,15,13,86.7,39,33,84.6,10,10,100.0,2020
Rodrigo Blankenship,34038,K,IND,5,0,1,0,0.0,6,5,83.3,14,50.3,0,0,,8,7,87.5,0,4,3,75.0,14,11,78.6,3,3,100.0,2021
Michael Badgley,39417,K,IND,13,0,1,0,0.0,10,8,80.0,14,60.7,0,0,,41,40,97.6,0,7,6,85.7,22,18,81.8,4,4,100.0,2021
Chase McLaughlin,33285,K,IND,15,0,12,9,75.0,11,9,81.8,14,81.1,0,0,,21,21,100.0,0,6,5,83.3,36,30,83.3,7,7,100.0,2022
Matt Gay,57643,K,IND,17,0,13,8,61.5,9,7,77.8,14,68.8,0,0,,36,35,97.2,0,10,9,90.0,41,33,80.5,9,9,100.0,2023
Matt Gay,57643,K,IND,9,0,5,2,40.0,2,2,100.0,14,69.0,0,0,,19,19,100.0,0,7,7,100.0,19,16,84.2,5,5,100.0,2024
Josh Scobee,1858,K,JAX,15,0,5,4,80.0,5,4,80.0,15,74.1,0,0,,23,22,95.7,0,12,12,100.0,25,23,92.0,3,3,100.0,2013
Josh Scobee,1858,K,JAX,16,0,6,3,50.0,9,7,77.8,15,59.0,0,0,,23,23,100.0,0,8,7,87.5,26,20,76.9,3,3,100.0,2014
Jason Myers,10207,K,JAX,16,0,4,3,75.0,8,6,75.0,15,38.0,0,0,,39,32,82.1,0,8,8,100.0,30,26,86.7,10,9,90.0,2015
Jason Myers,10207,K,JAX,16,0,12,7,58.3,11,10,90.9,15,68.8,0,0,,32,29,90.6,0,4,3,75.0,34,27,79.4,7,7,100.0,2016
Josh Lambo,10133,K,JAX,13,0,3,3,100.0,8,7,87.5,15,83.9,0,0,,33,31,93.9,0,11,11,100.0,24,23,95.8,2,2,100.0,2017
Jason Myers,10207,K,JAX,6,0,3,0,0.0,5,5,100.0,15,33.7,0,0,,17,15,88.2,0,3,2,66.7,15,11,73.3,4,4,100.0,2017
Kai Forbath,6860,K,JAX,3,0,1,0,0.0,1,1,100.0,15,54.7,0,0,,3,3,100.0,0,1,1,100.0,5,4,80.0,2,2,100.0,2018
Josh Lambo,10133,K,JAX,13,0,5,4,80.0,4,3,75.0,15,78.7,0,0,,20,19,95.0,0,8,8,100.0,21,19,90.5,4,4,100.0,2018
Josh Lambo,10133,K,JAX,16,0,4,4,100.0,9,8,88.9,15,81.3,0,0,,20,19,95.0,0,9,9,100.0,34,33,97.1,12,12,100.0,2019
Stephen Hauschka,4655,K,JAX,1,0,0,0,,1,0,0.0,15,28.9,0,0,,2,2,100.0,0,0,0,,2,0,0.0,1,0,0.0,2020
Josh Lambo,10133,K,JAX,4,0,2,2,100.0,1,1,100.0,15,63.5,0,0,,10,8,80.0,0,2,2,100.0,5,5,100.0,0,0,,2020
Jonathan Brown,11297,K,JAX,1,0,0,0,,0,0,,15,45.2,0,0,,1,1,100.0,0,2,1,50.0,2,1,50.0,0,0,,2020
Aldrick Rosas,11331,K,JAX,6,0,5,3,60.0,1,0,0.0,15,63.8,0,0,,9,9,100.0,0,2,2,100.0,11,8,72.7,3,3,100.0,2020
Brandon Wright,13421,K,JAX,1,0,0,0,,0,0,,15,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,,2020
Josh Lambo,10133,K,JAX,3,0,2,0,0.0,1,0,0.0,15,26.7,0,0,,7,5,71.4,0,0,0,,3,0,0.0,0,0,,2021
Matthew Wright,39675,K,JAX,13,0,6,4,66.7,4,3,75.0,15,59.8,0,0,,15,13,86.7,0,7,7,100.0,24,21,87.5,7,7,100.0,2021
Riley Patterson,57556,K,JAX,19,0,3,2,66.7,15,12,80.0,15,77.7,0,0,,41,40,97.6,0,12,11,91.7,38,33,86.8,8,8,100.0,2022
Brandon McManus,8437,K,JAX,17,0,10,5,50.0,13,11,84.6,15,73.3,0,0,,35,35,100.0,0,10,10,100.0,37,30,81.1,4,4,100.0,2023
Cam Little,146646,K,JAX,10,0,2,2,100.0,5,4,80.0,15,78.0,0,0,,19,19,100.0,0,3,3,100.0,14,13,92.9,4,4,100.0,2024
Dustin Colquitt,2316,P,KC,1,0,0,0,,0,0,,16,60.6,0,0,,0,0,,0,0,0,,0,0,,0,0,,2013
Ryan Succop,5180,K,KC,17,0,4,1,25.0,10,8,80.0,16,58.4,1,1,100.0,55,55,100.0,0,10,9,90.0,31,25,80.6,6,6,100.0,2013
Cairo Santos,8932,K,KC,16,0,2,1,50.0,10,7,70.0,16,60.0,1,1,100.0,38,38,100.0,0,7,6,85.7,30,25,83.3,10,10,100.0,2014
Cairo Santos,8932,K,KC,18,0,8,4,50.0,13,11,84.6,16,73.9,0,0,,46,44,95.7,0,13,13,100.0,42,35,83.3,8,7,87.5,2015
Cairo Santos,8932,K,KC,17,0,2,2,100.0,8,7,87.5,16,66.7,0,0,,40,37,92.5,0,17,15,88.2,36,32,88.9,9,8,88.9,2016
Harrison Butker,11988,K,KC,14,0,5,4,80.0,13,10,76.9,16,80.9,0,0,,31,31,100.0,0,17,16,94.1,43,38,88.4,8,8,100.0,2017
Harrison Butker,11988,K,KC,18,0,4,2,50.0,7,6,85.7,16,71.4,0,0,,77,73,94.8,0,9,9,100.0,29,26,89.7,9,9,100.0,2018
Harrison Butker,11988,K,KC,19,0,6,3,50.0,13,13,100.0,16,71.2,0,0,,64,60,93.8,0,11,10,90.9,40,36,90.0,10,10,100.0,2019
Harrison Butker,11988,K,KC,19,0,6,6,100.0,7,5,71.4,16,74.6,2,2,100.0,61,54,88.5,0,12,11,91.7,35,32,91.4,8,8,100.0,2020
Harrison Butker,11988,K,KC,19,0,10,7,70.0,7,6,85.7,16,80.4,0,0,,62,59,95.2,0,12,12,100.0,33,29,87.9,4,4,100.0,2021
Harrison Butker,11988,K,KC,16,0,9,5,55.6,8,6,75.0,16,61.8,0,0,,51,48,94.1,0,5,4,80.0,31,24,77.4,9,9,100.0,2022
Matthew Wright,39675,K,KC,6,0,2,2,100.0,8,6,75.0,16,63.6,0,0,,15,15,100.0,0,7,6,85.7,18,15,83.3,1,1,100.0,2022
Justin Reid,49048,S,KC,1,0,0,0,,0,0,,16,44.5,0,0,,2,1,50.0,0,0,0,,0,0,,0,0,,2022
Harrison Butker,11988,K,KC,21,0,7,7,100.0,8,8,100.0,16,91.4,0,0,,46,46,100.0,0,16,14,87.5,46,44,95.7,15,15,100.0,2023
Harrison Butker,11988,K,KC,9,0,4,2,50.0,3,3,100.0,16,72.3,1,1,100.0,22,21,95.5,0,6,6,100.0,20,18,90.0,6,6,100.0,2024
Greg Zuerlein,7163,K,LA,15,0,4,2,50.0,4,3,75.0,26,65.4,0,0,,23,23,100.0,0,9,9,100.0,22,19,86.4,5,5,100.0,2016
Greg Zuerlein,7163,K,LA,14,0,7,6,85.7,12,12,100.0,26,85.6,1,1,100.0,46,45,97.8,0,12,11,91.7,40,38,95.0,8,8,100.0,2017
Sam Ficken,11437,K,LA,3,0,0,0,,0,0,,26,44.1,0,0,,6,5,83.3,0,3,2,66.7,5,4,80.0,2,2,100.0,2017
Greg Zuerlein,7163,K,LA,14,0,9,6,66.7,9,6,66.7,26,79.9,0,0,,41,40,97.6,0,11,11,100.0,41,35,85.4,12,12,100.0,2018
Johnny Hekker,7252,P,LA,1,0,0,0,,0,0,,26,61.5,0,0,,1,1,100.0,0,0,0,,1,1,100.0,1,1,100.0,2018
Sam Ficken,11437,K,LA,2,0,0,0,,1,0,0.0,26,43.5,0,0,,10,10,100.0,0,1,1,100.0,3,1,33.3,1,0,0.0,2018
Greg Zuerlein,7163,K,LA,16,0,7,5,71.4,11,5,45.5,26,64.6,0,0,,42,42,100.0,0,8,7,87.5,33,24,72.7,7,7,100.0,2019
Kai Forbath,6860,K,LA,2,0,0,0,,1,0,0.0,26,41.5,0,0,,5,4,80.0,0,0,0,,3,2,66.7,2,2,100.0,2020
Matt Gay,57643,K,LA,9,0,1,1,100.0,8,7,87.5,26,70.9,0,0,,20,20,100.0,0,9,8,88.9,20,18,90.0,2,2,100.0,2020
Matt Gay,57643,K,LA,21,0,6,4,66.7,13,11,84.6,26,82.6,0,0,,60,59,98.3,0,18,18,100.0,44,40,90.9,7,7,100.0,2021
Matt Gay,57643,K,LA,17,0,9,7,77.8,4,4,100.0,26,90.0,0,0,,32,31,96.9,0,8,8,100.0,30,28,93.3,9,9,100.0,2022
Brett Maher,8585,K,LA,9,0,7,3,42.9,9,7,77.8,26,48.6,0,0,,17,15,88.2,0,4,4,100.0,26,20,76.9,6,6,100.0,2023
Lucas Havrisik,57498,K,LA,9,0,3,2,66.7,6,2,33.3,26,39.6,0,0,,22,19,86.4,0,3,3,100.0,20,15,75.0,8,8,100.0,2023
Joshua Karty,131765,K,LA,9,0,4,3,75.0,3,2,66.7,26,61.2,0,0,,17,15,88.2,0,7,6,85.7,19,16,84.2,5,5,100.0,2024
Nick Novak,2726,K,LAC,7,0,2,1,50.0,2,0,0.0,27,47.7,0,0,,18,17,94.4,0,5,4,80.0,13,9,69.2,4,4,100.0,2017
Travis Coons,9268,K,LAC,3,0,0,0,,1,1,100.0,27,47.9,0,0,,6,5,83.3,0,3,2,66.7,8,7,87.5,4,4,100.0,2017
Drew Kaser,10813,P,LAC,1,0,0,0,,0,0,,27,29.4,0,0,,3,1,33.3,0,0,0,,0,0,,0,0,,2017
Nick Rose,11091,K,LAC,10,0,2,1,50.0,2,1,50.0,27,47.3,0,0,,26,23,88.5,0,4,3,75.0,14,11,78.6,6,6,100.0,2017
Younghoe Koo,12042,K,LAC,4,0,0,0,,4,1,25.0,27,46.1,0,0,,9,9,100.0,0,0,0,,6,3,50.0,2,2,100.0,2017
Caleb Sturgis,7948,K,LAC,6,0,1,0,0.0,6,3,50.0,27,26.2,0,0,,15,9,60.0,0,2,2,100.0,13,9,69.2,4,4,100.0,2018
Michael Badgley,39417,K,LAC,12,0,3,2,66.7,8,7,87.5,27,66.8,0,0,,30,29,96.7,0,6,6,100.0,22,20,90.9,5,5,100.0,2018
Ty Long,9728,K,LAC,4,0,1,1,100.0,5,4,80.0,27,59.9,0,0,,9,9,100.0,0,3,2,66.7,9,7,77.8,0,0,,2019
Michael Badgley,39417,K,LAC,8,0,1,0,0.0,8,6,75.0,27,62.8,0,0,,19,19,100.0,0,2,2,100.0,16,13,81.3,5,5,100.0,2019
Michael Badgley,39417,K,LAC,16,0,6,2,33.3,13,8,61.5,27,41.3,0,0,,39,36,92.3,0,6,6,100.0,33,24,72.7,8,8,100.0,2020
Dustin Hopkins,7958,K,LAC,17,0,5,2,40.0,14,13,92.9,27,57.0,1,1,100.0,44,40,90.9,0,6,6,100.0,34,30,88.2,8,8,100.0,2021
Tristan Vizcaino,13076,K,LAC,6,0,0,0,,2,1,50.0,27,28.7,0,0,,15,10,66.7,0,2,2,100.0,7,6,85.7,3,3,100.0,2021
Dustin Hopkins,7958,K,LAC,5,0,0,0,,2,1,50.0,27,70.2,0,0,,12,12,100.0,0,6,6,100.0,10,9,90.0,2,2,100.0,2022
Taylor Bertolet,11182,K,LAC,2,0,0,0,,0,0,,27,66.6,0,0,,6,6,100.0,0,0,0,,3,3,100.0,3,3,100.0,2022
Cameron Dicker,77069,K,LAC,12,0,2,1,50.0,8,7,87.5,27,78.9,0,0,,27,27,100.0,0,7,7,100.0,26,24,92.3,9,9,100.0,2022
Cameron Dicker,77069,K,LAC,17,0,9,7,77.8,9,9,100.0,27,90.9,0,0,,35,35,100.0,0,8,8,100.0,33,31,93.9,7,7,100.0,2023
Cameron Dicker,77069,K,LAC,9,0,5,4,80.0,7,6,85.7,27,62.6,0,0,,18,15,83.3,0,2,2,100.0,21,19,90.5,7,7,100.0,2024
Daniel Carlson,28121,K,LV,16,0,4,4,100.0,5,3,60.0,23,72.6,0,0,,47,45,95.7,0,8,8,100.0,35,33,94.3,18,18,100.0,2020
Daniel Carlson,28121,K,LV,18,0,7,6,85.7,14,13,92.9,23,83.9,0,0,,34,31,91.2,0,13,13,100.0,47,44,93.6,13,12,92.3,2021
Daniel Carlson,28121,K,LV,16,0,13,11,84.6,4,3,75.0,23,90.8,0,0,,36,35,97.2,0,11,11,100.0,37,34,91.9,9,9,100.0,2022
Daniel Carlson,28121,K,LV,16,0,3,1,33.3,10,9,90.0,23,73.0,0,0,,32,32,100.0,0,7,6,85.7,30,26,86.7,10,10,100.0,2023
Daniel Carlson,28121,K,LV,9,0,5,4,80.0,4,3,75.0,23,76.6,0,0,,14,14,100.0,0,6,6,100.0,18,16,88.9,3,3,100.0,2024
Brandon Fields,3841,P,MIA,1,0,0,0,,0,0,,17,60.1,0,0,,0,0,,0,0,0,,0,0,,0,0,,2013
Caleb Sturgis,7948,K,MIA,15,0,7,3,42.9,10,8,80.0,17,56.6,1,1,100.0,32,32,100.0,0,12,10,83.3,34,26,76.5,4,4,100.0,2013
Caleb Sturgis,7948,K,MIA,16,0,6,3,50.0,10,6,60.0,17,54.9,1,1,100.0,41,41,100.0,0,8,7,87.5,37,29,78.4,12,12,100.0,2014
Andrew Franks,9814,K,MIA,16,0,2,1,50.0,6,4,66.7,17,50.9,1,1,100.0,36,33,91.7,0,4,4,100.0,16,13,81.3,3,3,100.0,2015
Andrew Franks,9814,K,MIA,17,0,2,1,50.0,4,2,50.0,17,68.1,0,0,,42,41,97.6,0,7,7,100.0,23,18,78.3,10,8,80.0,2016
Cody Parkey,9030,K,MIA,15,0,2,1,50.0,7,6,85.7,17,69.7,0,0,,29,26,89.7,0,8,8,100.0,23,21,91.3,6,6,100.0,2017
Jason Sanders,29578,K,MIA,16,0,1,1,100.0,9,7,77.8,17,73.0,0,0,,36,35,97.2,0,3,3,100.0,20,18,90.0,7,7,100.0,2018
Jason Sanders,29578,K,MIA,15,0,5,3,60.0,9,5,55.6,17,58.3,0,0,,30,29,96.7,0,9,8,88.9,30,23,76.7,7,7,100.0,2019
Jason Sanders,29578,K,MIA,16,0,9,8,88.9,14,12,85.7,17,90.1,1,1,100.0,36,36,100.0,0,7,7,100.0,39,36,92.3,8,8,100.0,2020
Jason Sanders,29578,K,MIA,16,0,6,2,33.3,10,8,80.0,17,67.5,0,0,,35,34,97.1,0,9,7,77.8,31,23,74.2,6,6,100.0,2021
Jason Sanders,29578,K,MIA,18,0,6,2,33.3,15,14,93.3,17,63.1,0,0,,46,43,93.5,0,8,8,100.0,35,29,82.9,6,5,83.3,2022
Jason Sanders,29578,K,MIA,18,0,7,5,71.4,8,6,75.0,17,81.0,0,0,,60,59,98.3,0,7,7,100.0,28,24,85.7,6,6,100.0,2023
Jason Sanders,29578,K,MIA,9,0,8,6,75.0,4,2,50.0,17,69.6,0,0,,12,12,100.0,0,6,6,100.0,21,17,81.0,3,3,100.0,2024
Blair Walsh,7167,K,MIN,16,0,5,2,40.0,6,5,83.3,18,63.4,0,0,,44,43,97.7,0,12,12,100.0,30,26,86.7,7,7,100.0,2013
Blair Walsh,7167,K,MIN,16,0,9,5,55.6,9,7,77.8,18,60.9,2,2,100.0,29,29,100.0,0,10,8,80.0,35,26,74.3,5,4,80.0,2014
Blair Walsh,7167,K,MIN,17,0,8,6,75.0,9,8,88.9,18,59.6,0,0,,37,33,89.2,0,15,13,86.7,43,37,86.0,11,10,90.9,2015
Kai Forbath,6860,K,MIN,7,0,1,1,100.0,4,4,100.0,18,63.1,0,0,,14,11,78.6,0,5,5,100.0,15,15,100.0,5,5,100.0,2016
Blair Walsh,7167,K,MIN,9,0,2,1,50.0,6,4,66.7,18,30.0,1,1,100.0,19,15,78.9,0,6,5,83.3,16,12,75.0,1,1,100.0,2016
Kai Forbath,6860,K,MIN,18,0,10,7,70.0,9,7,77.8,18,59.8,0,0,,42,37,88.1,0,14,12,85.7,42,35,83.3,9,9,100.0,2017
Dan Bailey,6796,K,MIN,13,0,2,1,50.0,9,4,44.4,18,50.7,0,0,,31,30,96.8,0,11,11,100.0,28,21,75.0,6,5,83.3,2018
Dan Bailey,6796,K,MIN,17,0,3,3,100.0,8,6,75.0,18,65.6,0,0,,47,43,91.5,0,10,10,100.0,32,30,93.8,11,11,100.0,2019
Dan Bailey,6796,K,MIN,16,0,5,2,40.0,7,4,57.1,18,29.3,0,0,,43,37,86.0,0,4,3,75.0,22,15,68.2,6,6,100.0,2020
Greg Joseph,22842,K,MIN,17,0,9,7,77.8,9,7,77.8,18,58.1,0,0,,40,36,90.0,0,12,11,91.7,38,33,86.8,8,8,100.0,2021
Greg Joseph,22842,K,MIN,18,0,10,4,40.0,8,7,87.5,18,61.6,0,0,,49,43,87.8,0,6,6,100.0,34,27,79.4,10,10,100.0,2022
Greg Joseph,22842,K,MIN,17,0,7,4,57.1,6,3,50.0,18,64.2,1,1,100.0,38,36,94.7,0,9,9,100.0,30,24,80.0,7,7,100.0,2023
Parker Romo,33384,K,MIN,1,0,0,0,,1,1,100.0,18,66.7,0,0,,0,0,,0,2,2,100.0,4,4,100.0,1,1,100.0,2024
Will Reichard,98965,K,MIN,8,0,5,4,80.0,3,3,100.0,18,79.8,0,0,,23,23,100.0,0,5,4,80.0,16,14,87.5,3,3,100.0,2024
Stephen Gostkowski,3063,K,NE,18,0,6,5,83.3,14,12,85.7,19,80.4,1,1,100.0,50,50,100.0,0,13,13,100.0,42,39,92.9,8,8,100.0,2013
Stephen Gostkowski,3063,K,NE,19,0,1,1,100.0,13,12,92.3,19,75.1,1,1,100.0,66,66,100.0,0,11,10,90.9,38,36,94.7,12,12,100.0,2014
Stephen Gostkowski,3063,K,NE,18,0,5,4,80.0,16,14,87.5,19,90.0,0,0,,56,55,98.2,0,13,13,100.0,40,37,92.5,6,6,100.0,2015
Stephen Gostkowski,3063,K,NE,19,0,4,2,50.0,13,12,92.3,19,54.8,1,1,100.0,58,53,91.4,0,11,9,81.8,39,34,87.2,10,10,100.0,2016
Stephen Gostkowski,3063,K,NE,19,0,5,4,80.0,12,9,75.0,19,74.2,0,0,,59,56,94.9,0,10,10,100.0,45,40,88.9,18,17,94.4,2017
Stephen Gostkowski,3063,K,NE,19,0,5,2,40.0,10,7,70.0,19,68.6,0,0,,60,59,98.3,0,11,11,100.0,38,32,84.2,12,12,100.0,2018
Mike Nugent,2264,,NE,4,0,0,0,,1,0,0.0,19,47.5,0,0,,16,15,93.8,0,3,2,66.7,8,5,62.5,4,3,75.0,2019
