player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,year
Robert Griffith,104,S,ARZ,16,17,0,36.7,1,3,1,2,0,87.5,83.3,0.0,46.7,88.1,86.3,0,2,0,3,32.0,6.8,6,4,5,34.0,11,0,0,64,2,603,1053,2,0,0,2,0,977,1051,3,447,8,10,65,1,30,2,1,215,49,19.5,2006
James Darling,255,LB,ARZ,2,0,0,80.0,0,0,1,0,0,29.7,26.6,75.8,59.1,41.4,22.9,0,0,0,0,39.0,100.0,2,0,0,157.1,4,0,0,24,0,26,31,1,0,0,1,0,4,30,1,4,2,0,0,0,5,0,1,61,65,15.3,2006
Bertrand Berry,267,ED,ARZ,10,5,1,100.0,0,3,1,1,0,54.3,62.0,81.5,65.3,58.3,79.9,2,16,0,0,8.0,0.0,0,0,1,91.7,2,6,0,0,0,19,591,591,0,3,523,65,0,0,311,261,0,14,12,5,2,24,0,12,17,6.0,2006
Robert Tate,286,CB,ARZ,6,0,0,91.7,1,0,1,0,0,53.8,56.4,79.1,,68.4,59.0,0,0,0,0,47.0,11.1,1,1,1,139.6,11,0,0,9,4,63,89,0,0,0,0,0,0,89,0,26,76,2,8,0,12,0,1,130,30,11.8,2006
Chike Okeafor,493,ED,ARZ,16,10,3,66.7,1,2,1,2,0,62.7,61.6,52.9,65.1,57.3,66.7,7,25,0,0,5.0,6.4,3,0,5,70.1,2,10,0,3,0,15,903,898,0,5,727,166,0,5,511,377,2,30,34,4,3,42,0,5,13,2.5,2006
Kendrick Clancy,634,DI,ARZ,11,4,0,,0,1,1,0,0,57.6,67.9,73.8,50.6,76.5,63.5,0,3,0,0,,6.9,2,0,1,0.0,0,1,0,0,0,0,497,497,384,111,0,2,0,0,255,242,0,17,23,2,0,4,0,0,0,,2006
David Macklin,647,CB,ARZ,14,1,0,52.5,0,0,1,0,0,80.8,82.0,85.6,60.0,78.3,66.5,0,0,0,1,54.0,8.8,3,5,2,78.6,21,0,0,31,391,260,436,6,0,0,6,0,4,430,1,175,4,9,30,2,40,0,2,255,41,12.1,2006
Adrian Wilson,831,S,ARZ,16,11,0,65.1,0,3,1,2,1,75.2,76.3,68.3,72.6,69.4,62.2,3,7,1,4,49.0,13.2,12,5,5,64.6,28,5,0,269,14,502,1002,128,0,0,128,0,362,874,80,420,229,43,68,9,43,15,2,325,119,11.6,2006
Orlando Huff,859,LB,ARZ,16,8,0,70.5,0,0,1,0,0,55.4,50.5,88.0,47.4,47.8,49.2,0,1,0,0,23.0,13.6,11,2,0,91.7,31,0,0,609,2,378,714,4,0,0,4,0,2,710,15,321,97,30,62,1,44,1,0,326,152,10.5,2006
Monty Beisel,862,LB,ARZ,4,1,0,87.5,0,0,1,0,0,68.8,80.8,78.7,68.5,78.7,55.7,0,2,0,1,33.0,13.3,2,0,0,101.0,7,0,0,78,2,36,81,0,0,0,0,0,0,81,3,42,1,7,12,1,8,2,1,66,32,9.4,2006
Chris Cooper,909,DI,ARZ,13,3,2,,0,0,1,1,0,67.2,69.5,66.0,61.9,66.7,74.8,2,7,0,0,,0.0,0,1,1,0.0,0,2,0,0,0,0,336,336,139,184,8,5,0,0,198,138,0,11,13,1,0,11,0,0,0,,2006
Calvin Pace,1334,ED,ARZ,14,3,0,77.8,0,1,1,0,0,64.5,55.1,87.1,51.1,51.7,50.6,0,5,0,0,31.0,13.6,3,1,0,133.8,7,1,0,45,0,70,330,277,0,0,269,8,0,53,107,153,8,11,16,1,9,6,1,65,50,9.3,2006
Gerald Hayes,1385,LB,ARZ,14,17,1,71.0,1,0,1,1,0,53.7,54.5,90.1,67.0,54.2,50.5,1,4,0,3,78.0,14.0,15,3,2,90.8,44,1,0,863,1,498,935,1,0,0,1,0,34,934,37,400,36,41,75,4,62,6,2,580,342,13.2,2006
Hanik Milligan,1491,S,ARZ,1,0,0,,0,0,1,0,0,61.1,62.2,63.5,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2006
Karlos Dansby,1754,LB,ARZ,14,21,0,78.0,1,2,1,1,0,64.1,58.3,90.3,66.7,45.7,70.5,2,6,0,0,29.0,9.6,8,3,2,106.2,39,6,0,398,3,350,759,281,0,0,281,0,9,478,90,319,68,37,54,6,50,14,1,394,192,10.1,2006
Darnell Dockett,1785,DI,ARZ,16,12,1,,0,1,1,2,0,57.5,55.3,80.5,53.2,56.9,47.3,2,16,0,1,,9.6,5,0,1,0.0,0,2,0,0,0,1,864,864,17,738,28,81,0,0,479,384,0,27,35,4,0,20,0,0,0,,2006
Matt Ware,1810,CB,ARZ,7,1,0,64.3,0,1,1,0,0,55.4,59.1,80.5,,69.8,53.5,0,0,0,0,42.0,14.3,1,1,0,112.8,9,0,0,7,97,55,110,0,0,0,0,0,0,110,0,55,6,1,5,0,14,0,1,112,50,12.4,2006
Antonio Smith,1856,ED,ARZ,16,6,0,100.0,0,0,1,1,1,60.3,61.1,44.7,56.1,68.1,64.4,3,18,0,0,12.0,9.1,2,0,4,116.7,1,2,0,0,0,5,554,554,6,125,334,89,0,0,313,236,0,13,14,2,1,23,0,12,14,12.0,2006
Antrel Rolle,2225,CB,ARZ,16,6,0,62.2,0,2,1,0,0,59.7,61.2,45.5,63.9,69.1,54.5,1,0,0,1,45.0,13.9,14,8,12,84.6,56,0,0,106,855,586,1004,5,0,0,5,0,13,999,4,414,25,25,81,2,90,1,2,603,215,10.8,2006
Eric Green,2292,CB,ARZ,14,3,0,58.6,0,1,1,1,0,68.3,73.1,51.8,69.6,88.0,39.8,1,0,0,0,51.0,20.4,11,9,2,114.1,34,0,0,55,440,333,555,4,0,0,4,0,5,551,4,218,51,18,40,1,58,1,5,479,160,14.1,2006
Darryl Blackstock,2312,LB,ARZ,8,0,0,75.0,0,0,1,1,0,34.6,42.3,79.0,54.8,61.4,54.2,1,0,0,0,30.0,12.5,1,0,0,116.7,3,0,0,26,0,22,62,31,0,0,31,0,2,31,17,23,3,1,7,0,4,1,0,64,27,21.3,2006
Aaron Francisco,2594,S,ARZ,16,1,0,64.3,0,0,1,0,0,56.0,63.4,80.4,53.6,84.3,85.4,0,0,0,2,47.0,3.3,1,2,0,92.0,9,0,0,41,9,235,357,8,0,0,8,0,277,349,4,118,22,7,28,1,14,0,1,227,70,25.2,2006
Gabe Watson,3052,DI,ARZ,12,1,0,,1,0,1,1,0,60.2,46.3,37.0,51.4,50.4,74.4,1,0,0,0,,0.0,0,0,2,0.0,0,1,0,1,0,0,256,255,196,59,0,0,0,1,138,118,0,7,12,0,0,2,0,0,0,,2006
Brandon Johnson,3087,LB,ARZ,1,0,0,,0,0,1,0,0,60.0,63.1,63.4,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,,2006
Jonathan Lewis,3122,DI,ARZ,4,0,0,,0,0,1,0,0,,43.4,78.2,50.3,45.2,68.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,47,47,5,42,0,0,0,0,34,13,0,2,2,0,0,0,0,0,0,,2006
Darrell Hunter,3361,CB,ARZ,2,0,0,100.0,0,0,1,0,0,36.4,37.3,70.9,,60.0,72.5,0,0,0,0,17.0,0.0,0,0,0,114.6,2,0,0,0,8,6,8,0,0,0,0,0,0,8,0,2,0,0,1,0,2,0,0,23,1,11.5,2006
Bertrand Berry,267,ED,ARZ,9,2,1,50.0,1,0,1,1,0,69.4,69.4,70.5,61.8,69.7,69.3,4,20,0,0,7.0,5.6,1,1,1,58.3,1,3,0,5,0,22,492,487,0,3,155,329,0,5,277,193,0,11,15,2,2,27,0,7,7,7.0,2007
Ralph Brown,672,CB,ARZ,15,1,0,55.9,0,3,1,0,0,71.5,71.3,84.9,46.4,62.0,64.6,0,1,0,1,29.0,17.4,4,0,1,78.4,19,0,0,72,114,233,298,0,0,0,0,0,11,298,8,57,101,6,18,1,34,1,2,183,61,9.6,2007
Adrian Wilson,831,S,ARZ,9,5,0,62.5,1,0,1,0,0,42.3,53.4,0.0,91.5,83.8,63.0,3,5,0,2,28.0,14.0,7,0,5,61.1,15,0,0,152,7,290,538,0,0,0,0,0,333,538,31,217,46,21,38,3,24,8,1,160,37,10.7,2007
Bhawoh Jue,836,S,ARZ,1,0,0,,0,0,1,0,0,60.2,61.2,67.3,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,6,0,0,0,0,0,6,6,0,4,0,0,0,0,0,0,0,0,0,,2007
Monty Beisel,862,LB,ARZ,8,1,0,70.0,0,0,1,0,0,54.9,65.1,77.8,51.6,71.3,52.1,0,1,0,0,8.0,21.4,6,0,0,75.4,7,0,0,147,0,57,163,15,0,0,15,0,0,148,8,98,1,11,21,0,10,1,0,36,38,5.1,2007
Rodney Bailey,906,DI,ARZ,15,4,0,,0,0,1,0,0,61.5,61.7,81.4,49.9,69.8,74.5,0,2,0,0,,9.1,1,0,0,0.0,0,0,0,3,0,2,144,141,17,70,18,36,0,3,86,56,0,4,6,0,0,2,0,0,0,,2007
Chris Cooper,909,DI,ARZ,12,0,0,,0,0,1,0,0,60.6,47.0,79.5,56.2,44.5,72.6,0,4,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,2,95,95,5,26,6,58,0,0,47,46,0,4,5,0,0,4,0,0,0,,2007
Ross Kolodziej,931,DI,ARZ,2,0,1,,0,0,1,0,0,,72.9,72.3,65.6,67.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,13,13,0,8,0,5,0,0,7,6,0,0,0,0,0,0,0,0,0,,2007
Joe Tafoya,934,ED,ARZ,11,4,1,66.7,0,0,1,0,0,44.0,52.8,32.1,60.4,56.6,56.6,0,7,0,0,36.0,10.5,2,0,2,149.3,2,2,0,2,0,18,256,254,0,0,120,134,0,2,123,115,0,10,13,2,3,9,1,50,32,25.0,2007
Calvin Pace,1334,ED,ARZ,16,13,2,69.6,0,1,1,2,0,84.7,86.5,25.1,72.9,86.4,73.6,8,31,0,1,15.0,8.0,7,1,6,63.0,16,7,0,473,0,272,1032,529,1,5,226,297,0,503,366,394,30,50,67,7,23,46,0,116,97,7.3,2007
Gerald Hayes,1385,LB,ARZ,16,13,0,74.1,0,1,1,0,0,66.6,69.0,63.0,74.0,63.7,71.8,1,15,1,1,25.0,9.8,10,2,1,90.4,40,4,0,883,2,439,933,26,0,0,26,0,7,907,104,390,15,43,79,6,54,20,1,364,267,9.1,2007
Terrence Holt,1446,S,ARZ,16,7,0,76.9,0,1,1,1,0,47.9,57.5,83.9,78.5,74.3,73.6,0,2,0,0,37.0,7.2,5,0,0,156.7,20,0,0,102,5,639,1039,0,0,0,0,0,900,1039,9,391,32,13,57,1,26,2,3,352,110,17.6,2007
Oliver Celestin,1581,S,ARZ,8,4,0,53.8,0,0,1,0,0,54.6,56.1,79.7,71.2,60.4,47.3,1,0,0,0,21.0,20.0,4,1,0,96.0,7,0,0,39,1,197,297,0,0,0,0,0,248,297,3,97,9,3,12,0,13,1,1,73,35,10.4,2007
Roderick Hood,1628,CB,ARZ,16,3,0,60.3,1,0,1,0,0,68.5,67.8,88.7,54.9,55.4,51.2,0,0,2,5,65.0,16.9,12,13,6,78.4,70,0,0,44,931,630,994,0,0,0,0,0,2,994,2,362,17,13,56,1,116,0,6,746,285,10.7,2007
Karlos Dansby,1754,LB,ARZ,14,16,2,72.1,0,3,1,0,0,72.0,79.9,4.8,93.1,72.5,73.2,1,13,0,3,24.0,9.3,10,3,5,72.9,44,5,0,798,3,465,837,17,0,0,17,0,9,820,75,297,10,46,82,5,61,19,1,377,212,8.6,2007
Darnell Dockett,1785,DI,ARZ,16,9,2,100.0,0,2,1,2,0,57.3,62.0,41.7,68.6,57.1,74.9,15,19,0,0,46.0,6.8,3,0,6,118.8,1,10,0,27,0,11,950,923,125,388,53,357,0,27,578,361,0,29,32,7,1,44,0,46,51,46.0,2007
Matt Ware,1810,S,ARZ,12,0,0,66.7,0,0,1,0,0,52.2,52.3,79.5,54.2,64.9,47.2,0,0,0,0,18.0,20.0,2,0,0,94.4,4,0,0,46,2,82,107,0,0,0,0,0,37,107,2,23,22,2,8,0,6,0,0,53,22,13.3,2007
Bo Schobel,1824,ED,ARZ,2,1,0,,0,0,1,0,0,,61.6,72.7,58.0,62.8,68.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,16,16,0,0,2,14,0,0,10,6,0,0,0,0,0,1,0,0,0,,2007
Antonio Smith,1856,DI,ARZ,16,3,0,100.0,1,1,1,3,0,70.2,71.2,44.6,64.2,72.6,62.3,6,32,0,0,12.0,7.0,3,0,6,98.6,3,7,0,3,0,4,876,873,3,364,177,329,0,3,547,325,0,34,37,4,3,45,0,23,22,7.7,2007
Antrel Rolle,2225,CB,ARZ,16,11,0,73.2,2,0,1,0,0,76.2,76.0,0.0,61.2,81.1,63.5,1,1,3,5,74.0,12.1,8,1,6,89.1,52,0,0,65,243,466,700,0,0,0,0,0,39,700,7,227,353,12,47,1,71,2,3,702,363,13.5,2007
Eric Green,2292,CB,ARZ,11,4,0,72.2,0,0,1,0,0,73.8,70.8,29.4,52.3,57.5,59.4,0,0,0,0,43.0,12.5,8,6,3,116.4,52,0,0,14,649,422,675,0,0,0,0,0,2,675,3,250,10,15,52,1,72,0,5,535,172,10.3,2007
Darryl Blackstock,2312,ED,ARZ,12,2,0,0.0,0,0,1,1,0,58.6,49.9,57.3,46.5,64.1,48.5,0,6,0,0,,12.5,1,0,1,39.6,0,1,0,13,0,17,233,220,0,2,105,113,0,13,156,60,0,4,5,0,1,7,0,0,0,,2007
Aaron Francisco,2594,S,ARZ,9,1,0,85.7,0,0,1,0,0,53.6,52.4,79.7,52.4,55.8,45.2,0,0,0,0,34.0,16.7,4,0,0,158.3,6,0,0,42,12,136,234,0,0,0,0,0,167,234,6,92,13,4,19,2,7,0,1,113,36,18.8,2007
Gabe Watson,3052,DI,ARZ,16,8,2,100.0,0,0,1,0,0,50.1,63.9,71.0,50.0,71.8,69.6,0,1,0,0,7.0,6.3,2,0,1,95.8,1,0,0,0,0,7,480,480,177,284,0,19,0,0,224,249,0,18,22,1,1,1,0,7,7,7.0,2007
Alan Branch,3649,DI,ARZ,11,2,0,,0,0,1,0,0,54.8,61.6,80.9,53.3,66.6,53.1,2,2,0,0,,10.0,1,0,0,0.0,0,0,0,0,0,5,144,144,46,80,1,17,0,0,72,67,0,5,7,0,0,4,0,0,0,,2007
Michael Adams,4192,CB,ARZ,3,0,0,50.0,0,0,1,0,0,59.7,63.2,71.2,,63.3,75.2,0,0,0,0,15.0,0.0,0,0,0,114.6,1,0,0,0,6,4,10,0,0,0,0,0,1,10,0,6,3,0,1,0,2,0,1,15,0,15.0,2007
Bertrand Berry,267,ED,ARZ,18,5,3,100.0,1,2,1,2,0,65.7,53.9,48.1,65.2,39.0,80.7,5,25,0,0,28.0,0.0,0,0,3,107.3,4,6,0,9,0,28,638,629,1,3,211,414,0,9,393,217,0,15,17,1,4,36,0,39,40,9.8,2008
Bryan Robinson,321,DI,ARZ,20,4,2,,0,0,1,0,0,63.2,53.9,67.9,56.5,53.2,60.4,1,3,0,0,,8.3,2,0,1,0.0,0,1,0,0,0,1,429,429,246,126,3,54,0,0,215,213,0,10,18,3,0,5,0,0,0,,2008
Chike Okeafor,493,ED,ARZ,20,6,3,82.1,0,1,1,0,0,47.4,58.5,61.2,61.7,62.4,59.8,10,22,0,1,28.0,11.9,8,1,3,95.8,23,6,0,416,1,192,1090,659,1,3,468,187,0,431,466,432,14,36,53,8,28,38,1,216,178,9.4,2008
Clark Haggans,670,ED,ARZ,11,1,0,63.6,0,0,1,1,0,81.0,72.6,47.9,61.4,69.6,68.2,2,6,0,0,22.0,11.8,2,2,1,75.2,7,2,0,111,0,51,252,141,0,2,95,44,0,111,105,96,0,10,14,0,11,10,0,53,23,7.6,2008
Ralph Brown,672,CB,ARZ,19,0,1,56.0,1,0,1,1,0,70.7,69.9,86.0,75.9,46.8,32.4,2,3,0,3,33.0,25.9,7,4,2,77.0,28,0,0,12,120,336,481,0,0,0,0,0,6,481,16,129,343,7,20,1,50,5,4,319,197,11.4,2008
Adrian Wilson,831,S,ARZ,19,10,1,62.7,1,4,1,0,0,64.6,67.4,0.0,94.4,45.9,78.4,4,8,0,2,42.0,9.2,8,2,6,84.1,37,5,0,645,3,614,1152,3,0,0,3,0,456,1149,74,464,45,38,69,5,59,17,3,382,277,10.3,2008
Monty Beisel,862,LB,ARZ,9,1,0,75.0,0,0,1,0,0,53.9,56.9,0.0,59.5,67.1,45.5,0,1,0,0,10.0,15.4,2,0,1,125.0,3,0,0,73,0,35,88,14,0,0,14,0,0,74,7,46,1,6,10,1,4,1,1,20,17,6.7,2008
Victor Hobson,1368,LB,ARZ,1,0,0,50.0,0,0,1,0,0,47.4,46.1,72.2,56.8,60.0,69.9,0,0,0,0,7.0,0.0,0,0,0,58.3,1,0,0,2,0,6,9,7,0,0,7,0,0,2,2,1,0,0,1,0,2,0,0,7,7,7.0,2008
Gerald Hayes,1385,LB,ARZ,20,12,1,82.9,0,4,1,1,0,78.0,77.5,64.5,71.9,67.7,78.1,2,7,0,1,31.0,9.3,10,2,1,108.2,34,1,0,912,2,404,936,17,0,0,17,0,2,919,76,456,3,52,86,9,41,10,3,269,180,7.9,2008
Roderick Hood,1628,CB,ARZ,19,3,0,58.2,0,0,1,0,0,62.6,65.4,88.7,59.1,74.9,55.1,0,0,0,2,65.0,11.9,8,17,5,100.2,71,0,0,7,902,582,939,0,0,0,0,0,0,939,1,356,30,15,56,1,122,0,9,934,350,13.2,2008
Karlos Dansby,1754,LB,ARZ,20,18,2,81.0,0,2,1,3,0,71.7,67.9,55.6,75.4,56.7,75.1,0,4,0,3,70.0,8.7,13,0,2,105.4,47,4,0,1159,2,631,1217,28,0,0,28,0,11,1189,97,489,17,58,118,13,58,8,4,519,382,11.0,2008
Travis LaBoy,1763,ED,ARZ,16,4,0,,1,1,1,1,0,61.8,41.5,18.3,55.4,40.4,65.1,3,9,0,0,,7.1,2,0,6,0.0,0,4,0,29,0,20,538,509,0,1,205,303,0,29,284,234,0,17,22,0,0,16,0,0,0,,2008
Darnell Dockett,1785,DI,ARZ,20,11,1,100.0,1,1,1,4,1,80.8,54.8,17.8,60.7,49.9,62.0,11,21,0,0,22.0,13.0,7,0,9,97.9,4,7,0,0,0,1,1020,1020,140,232,0,648,0,0,597,422,0,34,36,4,4,39,0,30,38,7.5,2008
Matt Ware,1810,S,ARZ,12,3,0,57.1,0,0,1,0,0,49.7,50.2,78.1,66.0,61.8,58.9,1,0,0,0,35.0,14.3,2,0,0,76.5,4,0,0,34,0,103,134,0,0,0,0,0,87,134,5,26,13,2,9,0,7,1,0,45,24,11.3,2008
Antonio Smith,1856,DI,ARZ,20,8,0,,0,2,1,2,0,56.3,69.0,78.0,65.0,67.1,71.2,12,19,0,0,,2.4,1,0,2,0.0,0,6,1,2,0,3,944,942,118,203,0,621,0,2,559,382,0,29,33,7,0,37,0,0,0,,2008
Antrel Rolle,2225,S,ARZ,20,13,0,78.0,0,1,1,1,1,56.7,67.1,47.8,79.0,89.1,74.6,2,1,1,2,55.0,10.0,11,1,6,108.9,39,0,0,81,13,751,1282,0,0,0,0,0,932,1282,19,512,256,24,86,2,50,3,3,467,273,12.0,2008
Eric Green,2292,CB,ARZ,11,2,0,59.1,0,0,1,0,0,59.8,60.1,86.6,44.5,61.4,71.9,0,0,0,1,80.0,6.5,2,2,1,117.6,26,0,0,8,340,298,498,0,0,0,0,0,1,498,7,193,149,9,27,1,44,0,5,400,153,15.4,2008
Aaron Francisco,2594,S,ARZ,20,6,0,58.3,0,1,1,0,0,60.2,68.7,81.9,71.1,84.5,75.6,0,2,0,1,50.0,10.5,6,2,0,63.9,14,0,0,74,0,392,580,0,0,0,0,0,492,580,15,173,14,15,45,2,24,2,0,176,56,12.6,2008
Gabe Watson,3052,DI,ARZ,15,4,0,,0,1,1,0,0,60.0,60.5,65.3,63.1,58.1,77.3,1,2,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,374,374,245,112,0,17,0,0,164,210,0,13,15,2,0,4,0,0,0,,2008
Alan Branch,3649,DI,ARZ,4,0,0,,0,0,1,0,0,60.0,58.4,79.0,70.1,53.2,30.0,0,5,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,106,106,83,22,0,1,0,0,51,55,0,3,3,0,0,5,0,0,0,,2008
Michael Adams,4192,CB,ARZ,4,0,0,100.0,0,0,1,0,0,75.0,75.4,75.7,59.1,67.6,76.4,0,0,0,0,-2.0,0.0,0,1,0,79.2,1,0,0,4,9,21,33,0,0,0,0,0,1,33,1,11,19,1,2,0,1,0,0,-2,1,-2.0,2008
Pago Togafau,4193,LB,ARZ,2,3,0,0.0,0,0,1,0,0,66.9,68.0,75.8,53.0,66.1,78.8,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,31,1,10,32,0,0,0,0,0,0,32,4,18,0,1,1,0,3,0,0,0,0,,2008
Dominique Rodgers-Cromartie,4330,CB,ARZ,20,3,0,61.5,1,0,1,0,0,74.2,68.5,28.6,,38.9,62.3,0,0,1,6,87.0,12.3,8,16,4,92.4,72,0,0,11,1011,647,1039,0,0,0,0,0,0,1039,0,392,17,13,54,1,117,0,10,897,394,12.5,2008
Calais Campbell,4364,DI,ARZ,19,1,1,,0,1,1,0,0,68.8,55.5,82.7,48.8,58.5,67.3,1,1,0,0,,8.3,2,0,0,0.0,0,0,0,0,0,0,227,227,7,58,13,149,0,0,124,103,0,12,21,2,0,2,0,0,0,,2008
Kenny Iwebema,4430,DI,ARZ,15,2,1,,0,0,1,0,0,60.0,44.1,78.8,48.4,46.8,71.4,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,106,106,9,41,0,56,0,0,72,34,0,1,3,0,0,1,0,0,0,,2008
Bertrand Berry,267,ED,ARZ,17,2,0,0.0,0,0,1,2,0,61.2,53.1,53.6,58.8,43.4,75.7,0,19,0,0,,0.0,0,0,2,39.6,0,8,0,49,0,73,546,496,0,3,96,397,0,50,346,127,1,10,2,1,2,27,0,0,0,,2009
Bryan Robinson,321,DI,ARZ,18,8,3,,0,0,1,1,0,86.4,59.5,44.8,58.9,58.8,80.4,0,4,0,0,,3.4,1,0,2,0.0,0,1,0,0,0,0,400,400,345,38,0,17,0,0,216,184,0,16,20,1,0,5,0,0,0,,2009
Chike Okeafor,493,ED,ARZ,15,3,1,86.7,0,0,1,0,0,68.1,51.6,53.0,59.4,39.6,73.0,1,22,0,0,22.0,9.1,4,0,2,99.7,13,5,0,249,0,141,800,546,4,6,478,58,0,254,351,308,5,23,37,2,15,28,0,119,92,9.2,2009
Clark Haggans,670,ED,ARZ,18,5,2,68.4,0,1,1,0,0,48.1,64.0,69.6,71.6,62.4,62.3,9,27,0,0,28.0,11.8,8,0,3,102.1,13,6,0,235,0,204,938,696,0,3,612,81,0,242,346,388,7,44,55,4,19,42,1,116,105,8.9,2009
Ralph Brown,672,CB,ARZ,17,0,0,52.9,0,0,1,0,0,61.4,62.3,84.4,46.3,72.8,62.9,0,1,0,1,35.0,10.0,2,2,0,75.4,18,0,0,36,0,312,398,0,0,0,0,0,60,398,16,70,302,6,18,0,34,1,1,258,58,14.3,2009
Adrian Wilson,831,S,ARZ,18,5,2,59.0,0,0,1,2,0,85.6,70.7,0.0,54.5,52.0,92.4,5,8,0,5,72.0,1.4,1,6,5,66.5,36,3,0,782,10,603,1137,0,0,0,0,0,282,1137,126,408,63,32,65,12,61,16,4,403,252,11.2,2009
Monty Beisel,862,LB,ARZ,6,1,0,87.5,0,0,1,0,0,32.4,44.7,82.4,66.6,63.1,51.6,0,1,0,0,14.0,14.3,1,0,0,98.4,7,0,0,111,0,55,124,11,0,0,11,0,0,113,1,68,2,3,5,0,8,1,0,61,44,8.7,2009
Gerald Hayes,1385,LB,ARZ,15,6,0,86.2,0,1,1,0,0,57.1,52.1,21.8,50.8,54.7,61.7,0,2,0,0,38.0,10.9,7,0,3,131.6,25,0,0,598,2,288,619,16,0,0,16,0,1,603,38,293,2,27,51,7,29,2,2,292,155,11.7,2009
Karlos Dansby,1754,LB,ARZ,18,11,0,72.6,0,2,1,1,1,79.2,73.0,69.4,57.6,62.6,81.7,5,6,0,1,21.0,5.7,7,3,1,83.8,45,1,0,1040,10,569,1122,29,0,2,27,0,17,1093,143,410,26,62,105,8,62,12,1,336,224,7.5,2009
Darnell Dockett,1785,DI,ARZ,18,3,4,0.0,0,0,1,0,0,67.3,53.6,32.3,64.1,46.5,67.6,10,28,0,1,,9.8,4,0,6,0.0,0,8,0,1,0,1,957,956,146,141,0,669,0,1,604,352,0,32,34,10,1,46,0,0,0,,2009
Matt Ware,1810,S,ARZ,10,2,0,87.5,0,1,1,0,0,45.2,45.3,81.0,40.0,70.3,82.8,0,0,0,1,34.0,4.8,1,0,0,92.7,14,0,0,86,1,212,279,0,0,0,0,0,184,279,17,50,8,8,18,0,16,0,0,218,95,15.6,2009
Antrel Rolle,2225,S,ARZ,17,12,0,63.4,0,1,1,0,0,48.6,56.3,61.9,92.4,57.1,55.2,2,6,0,4,51.0,16.3,16,2,2,67.0,26,2,0,116,4,672,1082,0,0,0,0,0,891,1082,30,380,71,13,70,2,41,10,2,348,120,13.4,2009
Bryant McFadden,2279,CB,ARZ,18,1,0,60.6,0,0,1,1,0,54.5,55.3,70.2,,59.3,84.2,0,0,0,0,53.0,5.8,5,12,4,105.1,77,0,0,92,962,699,1079,0,0,0,0,0,3,1079,0,380,22,14,80,1,127,0,7,1041,371,13.5,2009
Hamza Abdullah,2448,S,ARZ,3,0,0,75.0,0,0,1,0,0,30.3,35.5,76.3,58.8,72.5,58.3,0,0,0,0,16.0,18.2,2,0,0,108.3,3,0,0,13,1,48,110,0,0,0,0,0,93,110,2,60,3,3,9,0,4,0,0,42,24,14.0,2009
Gabe Watson,3052,DI,ARZ,18,3,0,,0,0,1,0,0,75.4,67.8,42.8,51.6,74.3,70.2,0,2,0,0,,6.9,2,0,3,0.0,0,0,0,0,0,0,350,350,327,22,0,1,0,0,163,187,0,18,24,2,0,2,0,0,0,,2009
Alan Branch,3649,DI,ARZ,18,3,2,,0,0,1,1,0,72.8,68.9,47.5,57.7,69.9,55.8,2,13,0,0,,18.2,4,0,0,0.0,0,2,0,0,0,0,397,397,63,47,0,287,0,0,220,177,0,16,15,2,0,17,0,0,0,,2009
Michael Adams,4192,CB,ARZ,12,2,0,60.0,0,0,1,0,0,57.4,60.3,84.6,91.8,48.0,64.6,2,2,0,1,51.0,10.0,3,3,5,82.3,24,1,0,14,135,239,334,0,0,0,0,0,1,334,11,84,184,10,25,1,40,5,1,310,111,12.9,2009
Pago Togafau,4193,LB,ARZ,1,0,0,,0,0,1,0,0,,77.8,73.5,,72.3,76.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,14,0,0,14,0,0,0,0,0,0,14,0,14,0,2,3,0,0,0,0,0,0,,2009
