player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,year
Phillip Merling,4346,DI,GB,3,1,0,,0,0,12,0,0,,51.1,76.2,57.8,50.7,70.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,45,45,1,0,0,43,0,0,18,27,0,1,2,0,0,0,0,0,0,,2012
Erik Walden,4481,ED,GB,17,9,0,70.6,1,0,12,0,0,80.5,53.1,44.7,52.1,48.2,77.0,11,15,0,2,59.0,4.2,2,1,5,69.4,12,4,0,247,7,105,863,585,0,0,571,14,0,278,438,320,24,31,37,5,17,30,1,116,123,9.7,2012
B.J. Raji,4932,DI,GB,16,5,2,,0,0,12,0,0,60.0,62.9,40.6,63.0,65.1,62.3,1,25,0,0,,12.5,4,0,4,0.0,0,0,0,0,0,0,751,751,122,41,0,587,0,0,421,330,0,20,23,3,0,26,0,0,0,,2012
Clay Matthews,4949,ED,GB,14,6,4,66.7,1,1,12,1,0,63.4,83.4,41.0,85.2,71.9,89.2,14,25,0,0,16.0,5.3,2,0,4,79.4,6,17,0,241,0,80,850,597,0,0,581,16,0,253,438,332,12,40,30,5,9,56,0,47,45,7.8,2012
Brad Jones,5142,LB,GB,13,15,0,70.5,0,1,12,0,0,79.4,77.9,36.2,58.7,73.3,62.0,1,6,0,0,22.0,11.7,11,3,2,104.3,31,2,0,724,6,394,811,36,0,0,36,0,21,775,98,319,24,37,68,6,44,9,2,299,196,9.6,2012
Mike Neal,5581,DI,GB,13,3,0,,0,1,12,0,0,73.2,55.3,8.4,62.5,47.1,77.8,4,17,0,0,,0.0,0,0,3,0.0,0,5,0,0,0,1,315,315,17,0,0,244,0,0,248,66,0,8,4,1,0,26,0,0,0,,2012
Morgan Burnett,5596,S,GB,18,22,0,63.2,0,2,12,1,0,69.2,71.9,65.7,83.4,72.4,79.2,2,1,0,2,27.0,9.2,12,5,2,83.2,36,2,0,297,8,734,1228,0,0,0,0,0,823,1228,24,470,100,36,97,3,57,5,2,430,154,11.9,2012
C.J. Wilson,5753,DI,GB,13,3,1,,0,0,12,0,0,56.5,59.4,83.0,53.3,64.0,66.9,0,6,0,0,,3.3,1,0,0,0.0,0,3,0,0,0,0,351,351,3,17,0,327,0,0,162,189,0,18,26,1,0,9,0,0,0,,2012
Sam Shields,5943,CB,GB,12,3,0,45.6,0,0,12,0,0,90.6,90.2,59.4,56.8,69.4,42.3,0,0,1,5,80.0,11.9,5,9,5,57.1,26,1,0,74,611,444,720,0,0,0,0,0,15,720,8,268,20,10,34,0,57,1,4,413,133,15.9,2012
Frank Zombo,5945,ED,GB,7,1,0,100.0,0,0,12,0,0,74.8,47.7,78.2,49.3,42.8,76.8,0,1,0,0,5.0,0.0,0,0,0,87.5,1,0,0,35,0,12,115,77,0,0,77,0,0,38,58,45,3,1,5,0,1,1,0,5,4,5.0,2012
Davon House,6283,CB,GB,8,1,0,51.1,1,0,12,0,0,72.4,72.6,84.9,81.9,54.6,65.9,0,0,0,0,37.0,9.5,2,5,2,101.6,23,1,0,15,282,224,311,0,0,0,0,0,10,311,1,86,4,5,18,0,45,1,4,295,78,12.8,2012
D.J. Smith,6338,LB,GB,6,6,0,66.7,0,0,12,0,0,67.8,64.2,33.2,62.3,58.0,76.1,1,5,0,0,23.0,7.5,3,3,2,118.2,14,2,0,345,4,174,369,3,0,0,3,0,2,366,55,140,15,14,31,3,21,8,2,145,58,10.4,2012
Jordan Miller,6568,DI,GB,1,0,0,,0,0,12,0,0,,60.8,71.9,59.5,60.2,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,3,0,0,12,0,0,13,2,0,0,0,0,0,1,0,0,0,,2012
M.D. Jennings,6752,S,GB,17,10,0,40.9,0,0,12,0,0,63.6,61.7,81.9,41.8,58.0,79.1,0,0,1,1,14.0,9.1,5,1,0,69.3,9,0,0,70,1,408,603,0,0,0,0,0,521,603,12,183,11,6,40,0,22,0,3,61,24,6.8,2012
Jamari Lattimore,6754,LB,GB,1,0,0,,0,0,12,0,0,,52.1,72.1,52.9,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,,2012
Nick Perry,7033,ED,GB,6,4,1,100.0,0,1,12,0,0,29.0,57.4,81.8,68.6,57.6,82.4,0,8,0,0,16.0,0.0,0,0,1,116.7,5,2,0,50,0,20,198,141,0,0,140,1,0,57,106,72,7,6,10,0,5,10,0,60,34,12.0,2012
Jerel Worthy,7054,DI,GB,14,2,0,,2,0,12,0,0,55.5,44.1,3.4,46.8,64.4,55.7,1,5,0,0,,10.0,1,0,5,0.0,0,3,0,0,0,2,452,452,24,11,0,351,0,0,313,137,0,10,7,2,0,9,0,0,0,,2012
Casey Hayward Jr.,7064,CB,GB,18,9,0,43.4,0,1,12,0,0,91.6,91.5,87.4,39.1,83.6,82.1,1,4,0,6,56.0,6.6,4,12,0,30.4,33,0,0,78,140,502,748,0,0,0,0,0,9,748,42,204,521,20,48,1,76,5,0,456,186,13.8,2012
Mike Daniels,7132,DI,GB,16,2,1,,0,0,12,2,1,59.2,54.0,57.8,61.5,48.6,44.4,3,7,0,0,,16.7,2,0,1,0.0,0,2,0,0,0,3,272,272,42,13,0,214,0,0,170,99,0,8,8,1,0,12,0,0,0,,2012
Jerron McMillian,7133,S,GB,18,2,0,61.1,0,0,12,1,0,65.9,65.5,56.7,56.4,64.2,48.5,0,4,0,1,36.0,17.2,5,4,2,84.1,22,0,0,237,9,398,591,0,0,0,0,0,265,591,30,163,80,5,22,2,36,4,1,289,117,13.1,2012
Sean Richardson,7456,S,GB,1,0,0,,0,0,12,0,0,50.0,48.9,71.1,,60.0,75.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,9,15,0,0,0,0,0,10,15,0,6,0,0,1,0,0,0,0,0,0,,2012
Dezman Moses,7696,ED,GB,18,5,1,100.0,1,1,12,0,0,60.0,54.0,29.7,64.0,45.7,64.3,5,12,0,0,31.0,15.0,3,0,4,158.3,4,4,0,124,23,60,493,321,0,0,314,7,0,172,254,179,25,13,12,0,4,21,1,61,45,15.3,2012
Ryan Pickett,799,DI,GB,17,5,2,,0,0,12,0,0,60.4,61.5,85.5,48.1,67.0,78.4,0,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,5,534,534,80,26,2,426,0,0,225,304,0,19,24,2,0,5,0,0,0,,2013
John Kuhn,2686,FB,GB,2,0,0,,0,0,12,0,0,,42.2,69.1,,60.0,25.9,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,2013
