KICKING_2023_KICKING_2023_Rank,KICKING_2023_KICKING_2023_Player,KICKING_2023_KICKING_2023_JerseyNumber,KICKING_2023_KICKING_2023_Position,KICKING_2023_KICKING_2023_GamesPlayed,KICKING_2023_KICKING_2023_FieldGoalGrade,KICKING_2023_KICKING_2023_ExtraPointAttempts,KICKING_2023_KICKING_2023_ExtraPointMakes,KICKING_2023_KICKING_2023_ExtraPointPercentage,KICKING_2023_KICKING_2023_FieldGoalAttempts,KICKING_2023_KICKING_2023_FieldGoalMakes,KICKING_2023_KICKING_2023_FieldGoalPercentage,KICKING_2023_KICKING_2023_FieldGoalAttempts0To19Yards,KICKING_2023_KICKING_2023_FieldGoalMakes0To19Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage0To19Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts20To29Yards,KICKING_2023_KICKING_2023_FieldGoalMakes20To29Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage20To29Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts30To39Yards,KICKING_2023_KICKING_2023_FieldGoalMakes30To39Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage30To39Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts40To49Yards,KICKING_2023_KICKING_2023_FieldGoalMakes40To49Yards,KICKING_2023_KICKING_2023_FieldGoalPercentage40To49Yards,KICKING_2023_KICKING_2023_FieldGoalAttempts50PlusYards,KICKING_2023_KICKING_2023_FieldGoalMakes50PlusYards,KICKING_2023_KICKING_2023_FieldGoalPercentage50PlusYards
1.0,Matt Gay,#07,K,17.0,68.8,35.0,36.0,97.2,33.0,41.0,80.5,0.0,0.0,,9.0,9.0,100.0,9.0,10.0,90.0,7.0,9.0,77.8,8.0,13.0,61.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
