Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles,Team
Luke Rhodes,#46,LS,17.0,152.0,2.0,0.0,0.0,70.0,0.0,80.0,55.4,-,-,-,0 (0),0.0,0.0,3.0,indianapolis-colts
Rigoberto Sanchez,#08,P,17.0,151.0,0.0,1.0,0.0,70.0,0.0,80.0,63.7,60.0,64.4,-,0 (0),0.0,0.0,1.0,indianapolis-colts
Matt Gay,#07,K,17.0,172.0,0.0,92.0,0.0,0.0,0.0,80.0,61.0,74.0,-,68.8,0 (0),1.0,1.0,0.0,indianapolis-colts
