Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside,Team
DeForest Buckner,#99,DI,17.0,841,336.0,495.0,10.0,81.8,63.8,54.5,87.1,69.3,52.0,9.0,13.0,30.0,7.0,50.0,21.0,6.0,7.8,43.0,2.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,5 (0),837.0,4.0,0.0,0.0,0.0,14.0,443.0,347.0,33.0,indianapolis-colts
Samson Ebukam,#52,ED,17.0,703,247.0,450.0,6.0,84.4,80.0,51.5,72.6,75.8,48.0,10.0,8.0,30.0,0.0,34.0,10.0,9.0,17.0,38.0,3.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),693.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,690.0,indianapolis-colts
Grover Stewart,#90,DI,11.0,445,224.0,218.0,3.0,76.2,77.3,71.1,64.7,58.5,15.0,1.0,6.0,8.0,0.0,28.0,10.0,3.0,7.3,24.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),445.0,0.0,0.0,0.0,0.0,25.0,406.0,14.0,0.0,indianapolis-colts
Chris Lammons,#35,CB,1.0,60,14.0,2.0,44.0,53.6,56.6,42.8,56.5,59.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,20.0,1.0,0.0,6.0,4.0,66.7,41.0,10.3,15.0,15.0,0.0,0.0,1.0,86.1,1 (0),1.0,10.0,0.0,46.0,3.0,0.0,0.0,0.0,1.0,indianapolis-colts
Tyquan Lewis,#94,ED,17.0,437,178.0,259.0,0.0,73.7,61.9,53.7,76.6,60.0,44.0,5.0,8.0,31.0,3.0,18.0,4.0,3.0,12.0,17.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (1),437.0,0.0,0.0,0.0,0.0,2.0,41.0,102.0,292.0,indianapolis-colts
Zaire Franklin,#44,LB,16.0,"1,090",471.0,43.0,576.0,60.9,66.1,51.9,56.8,56.4,7.0,2.0,1.0,4.0,0.0,132.0,46.0,25.0,12.3,54.0,2.0,91.0,72.0,79.1,745.0,10.3,439.0,29.0,1.0,0.0,5.0,104.4,2 (0),10.0,993.0,22.0,65.0,0.0,0.0,0.0,0.0,10.0,indianapolis-colts
Tony Brown,#38,CB,2.0,56,26.0,0.0,30.0,27.6,33.7,27.2,-,29.3,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,33.3,1.0,0.0,8.0,7.0,87.5,187.0,26.7,58.0,58.0,1.0,1.0,0.0,118.8,1 (0),0.0,11.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,indianapolis-colts
Ronnie Harrison,#48,LB,7.0,234,111.0,3.0,120.0,64.9,64.1,55.2,67.8,61.9,1.0,1.0,0.0,0.0,0.0,12.0,6.0,4.0,18.2,6.0,0.0,11.0,6.0,54.5,40.0,6.7,22.0,14.0,0.0,2.0,0.0,23.1,1 (0),5.0,135.0,82.0,12.0,0.0,0.0,0.0,0.0,5.0,indianapolis-colts
Taven Bryan,#96,DI,17.0,343,190.0,149.0,4.0,51.3,43.7,49.0,68.7,58.8,11.0,2.0,0.0,9.0,0.0,13.0,7.0,2.0,9.1,10.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),343.0,0.0,0.0,0.0,0.0,7.0,268.0,66.0,2.0,indianapolis-colts
E.J. Speed,#45,LB,16.0,730,294.0,42.0,394.0,65.0,78.8,35.4,69.1,56.1,7.0,1.0,1.0,5.0,0.0,87.0,15.0,19.0,15.7,50.0,3.0,60.0,44.0,73.3,324.0,7.4,258.0,28.0,0.0,0.0,4.0,85.7,4 (0),37.0,566.0,11.0,114.0,1.0,0.0,0.0,1.0,36.0,indianapolis-colts
