SCHEDULE_2023_SCHEDULE_2023_Week,SCHEDULE_2023_SCHEDULE_2023_Away,SCHEDULE_2023_SCHEDULE_2023_Opponent,SCHEDULE_2023_SCHEDULE_2023_Date,SCHEDULE_2023_SCHEDULE_2023_Time,SCHEDULE_2023_SCHEDULE_2023_Result,SCHEDULE_2023_SCHEDULE_2023_PointsFor,SCHEDULE_2023_SCHEDULE_2023_PointsAgainst,SCHEDULE_2023_SCHEDULE_2023_OverallGrade,SCHEDULE_2023_SCHEDULE_2023_OffenseGrade,SCHEDULE_2023_SCHEDULE_2023_PassingGrade,SCHEDULE_2023_SCHEDULE_2023_PassBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_ReceivingGrade,SCHEDULE_2023_SCHEDULE_2023_RushingGrade,SCHEDULE_2023_SCHEDULE_2023_RunBlockingGrade,SCHEDULE_2023_SCHEDULE_2023_DefenseGrade,SCHEDULE_2023_SCHEDULE_2023_RunDefenseGrade,SCHEDULE_2023_SCHEDULE_2023_TacklingGrade,SCHEDULE_2023_SCHEDULE_2023_PassRushGrade,SCHEDULE_2023_SCHEDULE_2023_CoverageGrade,SCHEDULE_2023_SCHEDULE_2023_SpecialTeamsGrade,SCHEDULE_2023_SCHEDULE_2023_GameReports
1.0,,Jacksonville Jaguars,09/10,1:00pm,L,21.0,31.0,66.6,54.3,49.2,70.6,55.7,44.6,64.1,79.0,83.4,66.4,73.3,66.3,69.8,Game Reports
2.0,@,Houston Texans,09/17,1:00pm,W,31.0,20.0,72.8,74.7,80.6,70.9,63.2,67.4,82.9,62.3,74.4,51.8,72.5,50.0,78.3,Game Reports
3.0,@,Baltimore Ravens,09/24,1:00pm,W,22.0,19.0,56.8,53.8,49.3,65.3,62.3,61.4,40.9,57.7,43.1,39.0,67.4,62.1,54.7,Game Reports
4.0,,Los Angeles Rams,10/01,1:00pm,L,23.0,29.0,61.4,63.2,60.3,49.6,66.7,51.8,68.4,59.2,52.3,60.1,63.7,64.3,70.4,Game Reports
5.0,,Tennessee Titans,10/08,1:00pm,W,23.0,16.0,72.0,76.2,67.0,61.2,75.1,56.2,82.2,59.5,56.8,52.0,68.6,60.0,67.8,Game Reports
6.0,@,Jacksonville Jaguars,10/15,1:00pm,L,20.0,37.0,60.0,58.0,42.7,80.7,59.0,57.9,57.7,62.5,79.3,42.1,51.4,56.2,54.9,Game Reports
7.0,,Cleveland Browns,10/22,1:00pm,L,38.0,39.0,68.7,65.6,29.9,65.0,72.2,70.3,70.2,69.3,68.8,57.5,64.0,65.9,65.0,Game Reports
8.0,,New Orleans Saints,10/29,1:00pm,L,27.0,38.0,62.8,68.0,61.1,69.0,64.4,71.3,65.9,50.6,48.3,69.3,75.5,44.7,71.2,Game Reports
9.0,@,Carolina Panthers,11/05,4:05pm,W,27.0,13.0,71.1,57.8,54.2,56.5,64.9,68.1,44.8,83.2,53.9,48.3,72.9,90.4,44.5,Game Reports
10.0,@,New England Patriots,11/12,9:30am,W,10.0,6.0,71.0,77.1,83.6,79.6,67.3,56.7,72.4,60.8,29.7,55.1,69.0,83.2,55.1,Game Reports
12.0,,Tampa Bay Buccaneers,11/26,1:00pm,W,27.0,20.0,71.3,72.8,50.4,73.0,65.7,86.3,76.6,63.1,65.7,63.6,72.6,57.8,65.6,Game Reports
13.0,@,Tennessee Titans,12/03,1:00pm,W,31.0,28.0,60.2,64.4,63.6,62.6,65.9,56.8,56.1,53.2,31.9,37.2,82.0,58.2,63.6,Game Reports
14.0,@,Cincinnati Bengals,12/10,1:00pm,L,14.0,34.0,67.0,66.8,73.2,73.2,64.4,61.6,57.1,69.0,73.5,68.8,59.9,61.7,63.9,Game Reports
15.0,,Pittsburgh Steelers,12/16,4:30pm,W,30.0,13.0,81.4,70.5,77.9,57.1,60.3,75.0,64.1,90.4,91.4,72.9,90.1,69.0,46.1,Game Reports
16.0,@,Atlanta Falcons,12/24,1:00pm,L,10.0,29.0,55.8,57.4,53.4,66.4,59.1,63.8,46.1,55.2,54.5,28.0,65.3,53.4,58.4,Game Reports
17.0,,Las Vegas Raiders,12/31,1:00pm,W,23.0,20.0,71.7,76.1,73.8,80.2,68.1,57.9,77.9,62.3,61.4,62.6,58.3,62.8,64.2,Game Reports
18.0,,Houston Texans,01/06,8:15pm,L,19.0,23.0,67.6,69.8,60.4,73.5,61.4,84.8,59.3,61.0,72.6,48.0,63.6,45.7,61.1,Game Reports
,,,,,,,,,,,,,,,,,,,,,
