Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Dayo Odeyingbo,#54,ED,17.0,107.0,0.0,0.0,23.0,0.0,84.0,0.0,76.8,-,-,-,0 (0),0.0,0.0,0.0
Trevor Denbow,#43,S,17.0,324.0,95.0,93.0,58.0,70.0,8.0,0.0,75.1,-,-,-,0 (0),9.0,4.0,1.0
Andrew Ogletree,#85,TE,12.0,119.0,21.0,0.0,0.0,45.0,0.0,53.0,74.5,-,-,-,0 (0),4.0,1.0,2.0
Nick Cross,#20,S,17.0,301.0,96.0,80.0,45.0,70.0,10.0,0.0,70.7,-,-,-,1 (0),8.0,0.0,2.0
Kwity Paye,#51,ED,13.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,70.0,-,-,-,0 (0),0.0,0.0,0.0
Adetomiwa Adebawore,#95,DI,10.0,74.0,2.0,40.0,31.0,0.0,1.0,0.0,69.7,-,-,-,0 (0),1.0,0.0,0.0
Segun Olubi,#50,LB,15.0,334.0,78.0,77.0,45.0,64.0,70.0,0.0,68.3,-,60.0,-,0 (0),5.0,3.0,2.0
Kenny Moore II,#23,CB,16.0,110.0,2.0,0.0,26.0,0.0,82.0,0.0,67.5,-,-,-,0 (0),0.0,0.0,0.0
D.J. Montgomery,#02,WR,7.0,52.0,26.0,3.0,23.0,0.0,0.0,0.0,66.4,-,-,-,0 (0),0.0,0.0,0.0
Ronnie Harrison,#48,LB,5.0,64.0,22.0,23.0,19.0,0.0,0.0,0.0,66.2,-,-,-,0 (0),0.0,1.0,0.0
DeForest Buckner,#99,DI,11.0,21.0,0.0,0.0,20.0,0.0,1.0,0.0,65.7,-,-,-,0 (0),0.0,0.0,0.0
Josh Sills,#65,G,17.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0,64.0,-,-,-,0 (0),0.0,0.0,0.0
Jaylon Jones,#40,CB,14.0,106.0,22.0,22.0,37.0,21.0,4.0,0.0,63.9,-,-,-,0 (0),1.0,0.0,1.0
Rigoberto Sanchez,#08,P,17.0,151.0,0.0,1.0,0.0,70.0,0.0,80.0,63.7,60.0,64.4,-,0 (0),0.0,0.0,1.0
Will Fries,#75,G,16.0,74.0,0.0,0.0,0.0,0.0,0.0,74.0,63.6,-,-,-,0 (0),0.0,0.0,0.0
Bernhard Raimann,#79,T,15.0,73.0,0.0,0.0,0.0,0.0,0.0,73.0,63.3,-,-,-,0 (0),0.0,0.0,0.0
Kylen Granson,#83,TE,15.0,158.0,82.0,2.0,9.0,59.0,0.0,6.0,63.3,-,-,-,0 (0),4.0,0.0,1.0
Zaire Franklin,#44,LB,16.0,97.0,1.0,0.0,18.0,0.0,78.0,0.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
Liam Anderson,#47,LB,1.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,63.0,-,-,-,0 (0),0.0,0.0,0.0
Quenton Nelson,#56,G,7.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,62.2,-,-,-,0 (0),0.0,0.0,0.0
Wesley French,#62,C,14.0,65.0,0.0,0.0,0.0,0.0,0.0,65.0,62.0,-,-,-,0 (0),0.0,0.0,0.0
Braden Smith,#72,T,4.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
Blake Freeland,#73,T,6.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,61.5,-,-,-,0 (0),0.0,0.0,0.0
Isaiah McKenzie,#06,WR,13.0,109.0,53.0,0.0,56.0,0.0,0.0,0.0,61.3,54.8,50.3,-,0 (0),0.0,0.0,0.0
Matt Gay,#07,K,17.0,172.0,0.0,92.0,0.0,0.0,0.0,80.0,61.0,74.0,-,68.8,0 (0),1.0,1.0,0.0
Tyquan Lewis,#94,ED,9.0,49.0,0.0,0.0,8.0,0.0,41.0,0.0,61.0,-,-,-,0 (0),0.0,0.0,0.0
Grover Stewart,#90,DI,11.0,121.0,0.0,0.0,16.0,0.0,58.0,47.0,60.9,-,-,-,0 (0),0.0,0.0,0.0
Josh Downs,#01,WR,4.0,40.0,21.0,0.0,19.0,0.0,0.0,0.0,60.7,54.9,64.5,-,0 (0),0.0,0.0,0.0
Tony Brown,#38,CB,12.0,253.0,56.0,56.0,40.0,43.0,58.0,0.0,60.7,-,-,-,0 (0),3.0,0.0,3.0
Jacob Martin,#92,ED,17.0,126.0,71.0,17.0,37.0,0.0,1.0,0.0,60.6,-,-,-,0 (0),0.0,0.0,0.0
Ike Boettger,#68,G,2.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,60.6,-,-,-,0 (0),0.0,0.0,0.0
Jack Anderson,#67,G,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
Deon Jackson,#31,HB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
Ethan Fernea,#03,WR,3.0,27.0,9.0,14.0,4.0,0.0,0.0,0.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
Dallis Flowers,#33,CB,4.0,28.0,22.0,0.0,6.0,0.0,0.0,0.0,60.1,54.5,-,-,0 (0),0.0,0.0,0.0
Tyler Goodson,#31,HB,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,-,-,0 (0),0.0,0.0,0.0
Shaquille Leonard,#53,LB,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
Gardner Minshew,#10,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-,-,-,1 (0),0.0,0.0,0.0
Eric Johnson,#93,DI,14.0,65.0,0.0,0.0,0.0,0.0,65.0,0.0,59.9,-,-,-,0 (0),0.0,0.0,0.0
McTelvin Agim,#98,DI,1.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,59.7,-,-,-,0 (0),0.0,0.0,0.0
Rodney Thomas II,#25,S,17.0,179.0,11.0,59.0,25.0,0.0,84.0,0.0,59.2,61.2,-,-,0 (0),0.0,0.0,0.0
Alec Pierce,#14,WR,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,59.2,-,-,-,0 (0),0.0,0.0,0.0
Michael Pittman Jr.,#11,WR,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,59.1,-,-,-,0 (0),0.0,0.0,0.0
Amari Rodgers,#03,WR,3.0,23.0,13.0,5.0,2.0,3.0,0.0,0.0,59.0,-,-,-,0 (0),0.0,0.0,0.0
Julian Blackmon,#32,S,15.0,125.0,1.0,34.0,20.0,0.0,70.0,0.0,57.9,-,-,-,0 (0),0.0,0.0,1.0
Chris Lammons,#35,CB,3.0,56.0,18.0,15.0,5.0,15.0,3.0,0.0,57.8,-,-,-,1 (1),2.0,0.0,1.0
Darrell Baker Jr.,#39,CB,14.0,167.0,40.0,78.0,23.0,19.0,7.0,0.0,57.1,-,-,-,0 (0),1.0,0.0,0.0
Ameer Speed,#37,CB,8.0,153.0,41.0,41.0,29.0,24.0,18.0,0.0,56.6,-,-,-,1 (0),5.0,0.0,5.0
Jake Funk,#34,HB,4.0,25.0,22.0,2.0,1.0,0.0,0.0,0.0,56.4,-,-,-,0 (0),0.0,0.0,0.0
Trey Sermon,#27,HB,3.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,56.1,-,-,-,0 (0),0.0,0.0,0.0
Luke Rhodes,#46,LS,17.0,152.0,2.0,0.0,0.0,70.0,0.0,80.0,55.4,-,-,-,0 (0),0.0,0.0,3.0
Grant Stuard,#41,LB,17.0,349.0,96.0,93.0,58.0,70.0,32.0,0.0,54.9,-,60.0,-,1 (0),4.0,1.0,5.0
Mo Alie-Cox,#81,TE,17.0,123.0,2.0,0.0,0.0,44.0,0.0,77.0,54.2,-,-,-,0 (0),0.0,0.0,2.0
JuJu Brents,#29,CB,9.0,52.0,0.0,41.0,11.0,0.0,0.0,0.0,52.9,-,-,-,0 (0),0.0,0.0,1.0
Cameron McGrone,#59,LB,12.0,151.0,70.0,60.0,16.0,5.0,0.0,0.0,51.8,-,-,-,0 (0),0.0,1.0,0.0
Isaiah Land,#55,ED,5.0,14.0,0.0,11.0,3.0,0.0,0.0,0.0,51.7,-,-,-,0 (0),0.0,0.0,0.0
E.J. Speed,#45,LB,16.0,249.0,18.0,45.0,46.0,63.0,77.0,0.0,50.5,-,-,-,2 (0),2.0,0.0,3.0
Taven Bryan,#96,DI,17.0,163.0,0.0,0.0,0.0,0.0,86.0,77.0,49.3,-,-,-,2 (0),0.0,0.0,0.0
Juwann Winfree,#09,WR,8.0,75.0,27.0,13.0,20.0,15.0,0.0,0.0,48.8,-,-,-,0 (0),0.0,0.0,1.0
,,,,,,,,,,,,,,,,,,
