Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Braden Smith,#72,T,10.0,246.0,246.0,100.0,90.1,1 (0),161.0,65.4,90.7,75.0,30.5,75.5
Ryan Kelly,#78,C,14.0,348.0,348.0,100.0,75.2,1 (0),214.0,61.5,75.4,115.0,33.0,71.1
Bernhard Raimann,#79,T,15.0,392.0,392.0,100.0,74.6,1 (0),248.0,63.3,72.2,127.0,32.4,68.0
Jonathan Taylor,#28,HB,10.0,174.0,3.0,1.7,71.9,0 (0),0.0,0.0,-,0.0,0.0,-
D.J. Montgomery,#02,WR,7.0,58.0,58.0,100.0,70.7,0 (0),28.0,48.3,60.6,25.0,43.1,73.7
Will Mallory,#86,TE,7.0,26.0,26.0,100.0,67.5,0 (0),14.0,53.8,67.1,7.0,26.9,70.2
Arlington Hambright,#64,G,2.0,6.0,6.0,100.0,67.4,0 (0),1.0,16.7,60.0,2.0,33.3,54.7
Alec Pierce,#14,WR,17.0,441.0,441.0,100.0,66.1,0 (0),280.0,63.5,72.8,144.0,32.7,70.8
Quenton Nelson,#56,G,17.0,455.0,455.0,100.0,63.4,1 (0),286.0,62.9,66.1,147.0,32.3,63.8
Andrew Ogletree,#85,TE,12.0,177.0,177.0,100.0,63.1,0 (0),109.0,61.6,68.8,58.0,32.8,52.7
Gardner Minshew,#10,QB,16.0,392.0,379.0,96.7,60.3,0 (0),250.0,66.0,60.2,124.0,32.7,60.3
Evan Hull,#26,HB,1.0,2.0,1.0,50.0,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Tyler Goodson,#31,HB,3.0,16.0,3.0,18.8,60.0,0 (0),0.0,0.0,-,0.0,0.0,-
Sam Ehlinger,#04,QB,1.0,3.0,3.0,100.0,60.0,0 (0),1.0,33.3,60.0,2.0,66.7,60.0
Amari Rodgers,#03,WR,3.0,4.0,4.0,100.0,60.0,0 (0),2.0,50.0,60.0,1.0,25.0,60.0
Trey Sermon,#27,HB,10.0,43.0,7.0,16.3,60.0,0 (0),0.0,0.0,-,1.0,14.3,59.6
Anthony Richardson,#05,QB,4.0,66.0,48.0,72.7,60.0,0 (0),35.0,72.9,60.0,13.0,27.1,60.0
Mo Alie-Cox,#81,TE,17.0,228.0,228.0,100.0,60.0,0 (0),130.0,57.0,58.5,83.0,36.4,59.2
Josh Sills,#65,G,7.0,23.0,23.0,100.0,59.9,0 (0),8.0,34.8,60.0,10.0,43.5,59.2
Will Fries,#75,G,17.0,448.0,448.0,100.0,59.7,2 (0),282.0,62.9,61.6,148.0,33.0,63.2
Deon Jackson,#31,HB,1.0,19.0,5.0,26.3,59.4,0 (0),1.0,20.0,60.0,3.0,60.0,59.4
Isaiah McKenzie,#06,WR,12.0,56.0,54.0,96.4,59.4,0 (0),39.0,72.2,61.5,13.0,24.1,56.9
Zack Moss,#21,HB,14.0,210.0,20.0,9.5,57.4,0 (0),7.0,35.0,58.6,7.0,35.0,57.7
Michael Pittman Jr.,#11,WR,16.0,385.0,385.0,100.0,53.3,2 (0),258.0,67.0,56.9,118.0,30.6,68.5
Juwann Winfree,#09,WR,3.0,10.0,10.0,100.0,51.6,0 (0),2.0,20.0,60.0,4.0,40.0,47.6
Josh Downs,#01,WR,17.0,274.0,274.0,100.0,51.3,0 (0),179.0,65.3,62.3,89.0,32.5,58.3
Kylen Granson,#83,TE,15.0,175.0,174.0,99.4,48.2,0 (0),105.0,60.3,49.7,53.0,30.5,56.8
Blake Freeland,#73,T,13.0,275.0,275.0,100.0,47.6,0 (0),166.0,60.4,53.1,96.0,34.9,40.4
Wesley French,#62,C,8.0,117.0,117.0,100.0,47.5,0 (0),74.0,63.2,43.5,35.0,29.9,61.5
,,,,,,,,,,,,,,
