Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Matt Gay,#07,K,17.0,74.0,92.0,70.0,25.7,0.0,16.3,15.0,391.0,26.1,72.0,5.0,89.0,3.95
Rigoberto Sanchez,#08,P,1.0,60.0,1.0,62.0,40.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.08
,,,,,,,,,,,,,,,,
