Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Shaquille Leonard,#53,LB,5.0,164,74.0,8.0,82.0,66.6,69.2,51.8,78.2,57.2,3.0,1.0,0.0,2.0,0.0,15.0,4.0,3.0,13.6,9.0,0.0,8.0,7.0,87.5,45.0,6.4,50.0,8.0,1.0,0.0,0.0,129.7,0 (0),5.0,146.0,1.0,12.0,0.0,0.0,0.0,0.0,5.0
Darius Slay,#02,CB,13.0,874,258.0,0.0,616.0,66.0,62.8,66.6,-,65.4,0.0,0.0,0.0,0.0,0.0,57.0,4.0,7.0,10.3,15.0,0.0,84.0,54.0,64.3,618.0,11.4,252.0,39.0,2.0,2.0,7.0,84.3,3 (0),5.0,34.0,1.0,37.0,797.0,0.0,0.0,0.0,5.0
Kelee Ringo,#22,CB,7.0,233,98.0,1.0,134.0,64.7,74.2,76.2,83.2,63.5,1.0,1.0,0.0,0.0,0.0,18.0,1.0,1.0,5.0,6.0,0.0,9.0,5.0,55.6,61.0,12.2,20.0,39.0,1.0,1.0,1.0,74.1,4 (0),1.0,26.0,1.0,4.0,201.0,0.0,0.0,0.0,1.0
Justin Evans,#30,S,4.0,197,44.0,1.0,152.0,63.1,67.0,90.0,58.3,61.2,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,1.0,0.0,12.0,5.0,41.7,58.0,11.6,29.0,24.0,1.0,0.0,1.0,84.7,0 (0),0.0,30.0,134.0,33.0,0.0,0.0,0.0,0.0,0.0
Sydney Brown,#21,S,13.0,334,107.0,6.0,221.0,62.0,56.7,64.2,49.9,64.9,0.0,0.0,0.0,0.0,0.0,28.0,11.0,5.0,11.4,11.0,0.0,24.0,21.0,87.5,211.0,10.0,105.0,32.0,2.0,1.0,1.0,113.7,1 (1),1.0,54.0,137.0,141.0,1.0,0.0,0.0,0.0,1.0
Nakobe Dean,#17,LB,5.0,182,47.0,8.0,127.0,61.7,80.2,89.2,83.4,49.2,3.0,1.0,0.0,2.0,0.0,26.0,2.0,0.0,0.0,11.0,0.0,14.0,13.0,92.9,120.0,9.2,58.0,18.0,0.0,0.0,0.0,102.4,1 (0),2.0,156.0,1.0,23.0,0.0,0.0,0.0,0.0,2.0
Josiah Scott,#34,CB,1.0,17,3.0,0.0,14.0,60.0,60.0,73.0,-,59.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,11.0,2.8,9.0,8.0,0.0,0.0,0.0,79.2,0 (0),0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Terrell Edmunds,#26,S,6.0,296,78.0,0.0,218.0,59.7,82.3,80.6,43.9,58.5,1.0,0.0,0.0,1.0,0.0,24.0,3.0,2.0,6.9,5.0,0.0,10.0,8.0,80.0,101.0,12.6,26.0,20.0,0.0,0.0,0.0,108.8,2 (0),5.0,67.0,189.0,32.0,3.0,0.0,0.0,0.0,5.0
Derek Barnett,#96,ED,8.0,99,39.0,55.0,5.0,59.3,62.0,50.1,53.3,65.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,20.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),97.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,91.0
Marlon Tuipulotu,#95,DI,15.0,178,92.0,86.0,0.0,58.5,59.4,59.7,54.6,60.0,6.0,2.0,0.0,4.0,0.0,13.0,7.0,2.0,9.1,11.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),178.0,0.0,0.0,0.0,0.0,37.0,96.0,38.0,7.0
