Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
A.J. Brown,#11,WR,17.0,152.0,106.0,69.7,"1,456",13.7,7.0,90.0,90.4,88.3,35.4,80.3,607.0,577.0,95.1,3.0,0.5,145.0,23.9,460.0,75.8,1.0,0.2,484.0,4.6,2.52,12.3,59.0,4.0,3.6,31.0,14.0,45.2,4.0,2.0,19.0,70.0,104.5,2 (0)
DeVonta Smith,#06,WR,17.0,124.0,89.0,71.8,"1,214",13.6,7.0,75.4,77.1,76.7,55.3,-,668.0,636.0,95.2,0.0,0.0,208.0,31.1,456.0,68.3,0.0,0.0,335.0,3.8,1.91,12.6,63.0,5.0,5.3,28.0,11.0,39.3,3.0,1.0,8.0,53.0,111.4,1 (0)
Dallas Goedert,#88,TE,15.0,87.0,63.0,72.4,613,9.7,4.0,71.0,67.7,79.2,80.9,79.7,514.0,470.0,91.4,20.0,3.9,267.0,51.9,67.0,13.0,178.0,34.6,329.0,5.2,1.3,5.5,49.0,3.0,4.5,15.0,6.0,40.0,3.0,0.0,9.0,34.0,92.7,4 (0)
Grant Calcaterra,#81,TE,13.0,4.0,4.0,100.0,39,9.8,0.0,64.2,63.1,72.1,67.0,65.9,55.0,47.0,85.5,8.0,14.5,24.0,43.6,9.0,16.4,20.0,36.4,32.0,8.0,0.83,1.8,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,107.3,0 (0)
Britain Covey,#18,WR,8.0,6.0,4.0,66.7,42,10.5,0.0,57.8,60.5,72.1,56.2,-,37.0,37.0,100.0,0.0,0.0,33.0,89.2,4.0,10.8,0.0,0.0,26.0,6.5,1.14,7.8,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,86.8,0 (0)
Kenneth Gainwell,#14,HB,17.0,38.0,32.0,84.2,193,6.0,0.0,55.3,60.4,78.4,29.3,47.2,313.0,232.0,74.1,71.0,22.7,21.0,6.7,41.0,13.1,6.0,1.9,188.0,5.9,0.83,1.8,19.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,11.0,87.8,0 (0)
Quez Watkins,#16,WR,9.0,25.0,18.0,72.0,154,8.6,1.0,59.2,59.3,82.7,74.5,-,239.0,225.0,94.1,0.0,0.0,146.0,61.1,93.0,38.9,0.0,0.0,66.0,3.7,0.68,10.4,19.0,0.0,0.0,7.0,4.0,57.1,2.0,0.0,1.0,8.0,67.8,0 (0)
Rashaad Penny,#23,HB,2.0,1.0,1.0,100.0,5,5.0,0.0,44.5,57.4,64.7,74.1,18.0,17.0,12.0,70.6,5.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.42,-1.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,87.5,1 (0)
Julio Jones,#80,WR,12.0,22.0,14.0,63.6,96,6.9,3.0,55.0,54.8,64.4,22.2,-,176.0,170.0,96.6,0.0,0.0,92.0,52.3,84.0,47.7,0.0,0.0,25.0,1.8,0.56,9.9,22.0,1.0,6.7,5.0,2.0,40.0,2.0,1.0,1.0,5.0,75.0,0 (0)
D'Andre Swift,#00,HB,17.0,51.0,43.0,84.3,246,5.7,1.0,66.5,53.5,83.9,62.0,48.9,367.0,301.0,82.0,47.0,12.8,30.0,8.2,44.0,12.0,0.0,0.0,303.0,7.0,0.82,0.5,20.0,1.0,2.3,3.0,0.0,0.0,1.0,1.0,10.0,9.0,85.1,1 (0)
