Player,JerseyNumber,Position,GamesPlayed,ReceivingTargets,ReceivingReceptions,ReceivingReceptionPercentage,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingOverallGrade,ReceivingGrade,ReceivingDrops,ReceivingFumbles,ReceivingPassBlockingGrade,ReceivingPassSnaps,ReceivingRoutesRun,ReceivingTargetPercentage,ReceivingPassBlockingSnaps,ReceivingPassBlockingSnapsPercentage,ReceivingSnapsInTheSlot,ReceivingSnapsInTheSlotPercentage,ReceivingSnapsWide,ReceivingSnapsWidePercentage,ReceivingSnapsInline,ReceivingSnapsInlinePercentage,ReceivingYardsAfterCatch,ReceivingYardsAfterCatchPerReception,ReceivingYardsPerRouteRun,ReceivingAverageDepthOfTarget,ReceivingLongestReception,ReceivingDrops.1,ReceivingDropPercentage,ReceivingContestedTargets,ReceivingContestedCatches,ReceivingContestedCatchPercentage,ReceivingInterceptionsThrownWhenTargeted,ReceivingFumbles.1,ReceivingMissedTacklesForced,ReceivingFirstDowns,ReceivingPasserRatingWhenTargeted,ReceivingPenalties
Tyler Allgeier,#25,HB,17.0,22.0,18.0,81.8,193.0,10.7,1.0,82.9,81.0,83.2,90.6,90.3,146.0,108.0,74.0,32.0,21.9,1.0,0.7,3.0,2.1,1.0,0.7,215.0,11.9,1.79,-0.9,75.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,4.0,6.0,118.4,0 (0)
Drake London,#05,WR,16.0,106.0,69.0,65.1,905.0,13.1,2.0,78.9,78.9,74.8,81.4,-,511.0,485.0,94.9,0.0,0.0,134.0,26.2,377.0,73.8,0.0,0.0,195.0,2.8,1.87,11.7,45.0,3.0,4.2,33.0,17.0,51.5,4.0,0.0,4.0,45.0,82.5,1 (0)
MyCole Pruitt,#85,TE,17.0,11.0,9.0,81.8,110.0,12.2,1.0,59.4,76.7,77.3,19.2,64.2,154.0,63.0,40.9,86.0,55.8,15.0,9.7,4.0,2.6,130.0,84.4,52.0,5.8,1.75,7.5,22.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,6.0,138.6,3 (0)
Kyle Pitts,#08,TE,17.0,86.0,53.0,61.6,667.0,12.6,3.0,68.1,72.7,80.7,79.7,77.6,496.0,466.0,94.0,10.0,2.0,290.0,58.5,131.0,26.4,74.0,14.9,132.0,2.5,1.43,12.0,39.0,2.0,3.6,21.0,8.0,38.1,3.0,0.0,2.0,35.0,82.8,4 (2)
John FitzPatrick,#87,TE,2.0,1.0,1.0,100.0,12.0,12.0,0.0,63.7,68.7,64.7,61.2,-,7.0,6.0,85.7,0.0,0.0,4.0,57.1,1.0,14.3,2.0,28.6,10.0,10.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,116.7,0 (0)
KhaDarel Hodge,#12,WR,17.0,23.0,14.0,60.9,232.0,16.6,0.0,62.4,64.9,49.6,22.4,68.1,191.0,183.0,95.8,1.0,0.5,49.0,25.7,142.0,74.3,0.0,0.0,85.0,6.1,1.27,14.0,52.0,2.0,12.5,2.0,1.0,50.0,2.0,0.0,7.0,13.0,58.6,0 (0)
Mack Hollins,#18,WR,13.0,28.0,18.0,64.3,251.0,13.9,0.0,64.6,64.8,82.7,73.9,66.1,168.0,161.0,95.8,1.0,0.6,44.0,26.2,123.0,73.2,1.0,0.6,59.0,3.3,1.56,13.4,45.0,0.0,0.0,5.0,3.0,60.0,0.0,0.0,0.0,9.0,93.0,1 (0)
Tucker Fisk,#43,TE,6.0,1.0,1.0,100.0,9.0,9.0,0.0,52.0,63.9,64.7,61.2,54.7,22.0,9.0,40.9,13.0,59.1,0.0,0.0,1.0,4.5,2.0,9.1,5.0,5.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,104.2,0 (0)
Jonnu Smith,#81,TE,17.0,69.0,50.0,72.5,582.0,11.6,3.0,59.1,63.5,57.3,37.5,75.4,439.0,375.0,85.4,44.0,10.0,232.0,52.8,60.0,13.7,134.0,30.5,366.0,7.3,1.55,6.2,60.0,5.0,9.1,9.0,4.0,44.4,2.0,1.0,14.0,26.0,100.0,5 (2)
Scott Miller,#16,WR,17.0,16.0,11.0,68.8,161.0,14.6,2.0,64.4,63.4,78.7,74.1,-,134.0,128.0,95.5,0.0,0.0,65.0,48.5,68.0,50.7,0.0,0.0,81.0,7.4,1.26,12.5,56.0,0.0,0.0,5.0,3.0,60.0,0.0,0.0,1.0,6.0,140.9,0 (0)
