Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Jessie Bates III,#03,S,17.0,658.0,643.0,97.7,90.2,1 (0),38.0,24.0,63.2,297.0,12.4,84.0,12.1,33.0,5.0,13.0,4.0,6.0,1.0,3.0,74.0,15.9,25.1,55.0,12.0,6.0,8.2,12.0
A.J. Terrell,#24,CB,17.0,611.0,611.0,100.0,74.6,7 (0),76.0,44.0,57.9,508.0,11.5,165.0,11.3,47.0,14.0,18.0,8.0,0.0,1.0,4.0,95.7,7.5,13.0,30.0,8.0,8.0,17.4,14.0
Dee Alford,#20,CB,13.0,351.0,337.0,96.0,72.8,3 (0),61.0,43.0,70.5,433.0,10.1,238.0,7.4,36.0,6.0,10.0,5.0,0.0,0.0,3.0,106.8,5.2,7.3,29.0,1.0,6.0,16.7,13.0
David Onyemata,#90,DI,14.0,351.0,3.0,0.9,68.1,4 (1),0.0,0.0,,0.0,,0.0,,,1.0,,1.0,0.0,1.0,0.0,0.0,,,4.0,1.0,2.0,28.6,5.0
Andre Smith,#59,LB,5.0,48.0,45.0,93.8,67.5,0 (0),7.0,4.0,57.1,33.0,8.3,12.0,5.4,12.0,1.0,14.0,1.0,0.0,0.0,0.0,69.3,6.1,10.8,5.0,0.0,0.0,0.0,2.0
Kaden Elliss,#55,LB,17.0,634.0,533.0,84.1,64.8,2 (0),59.0,47.0,79.7,304.0,6.5,200.0,3.8,20.0,2.0,3.0,1.0,0.0,1.0,0.0,88.1,8.5,10.6,41.0,5.0,6.0,11.5,17.0
Calais Campbell,#93,ED,17.0,423.0,10.0,2.4,63.1,1 (0),1.0,1.0,100.0,13.0,13.0,1.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,10.0,10.0,6.0,0.0,3.0,33.3,10.0
DeMarcco Hellams,#37,S,11.0,253.0,249.0,98.4,61.3,2 (0),12.0,8.0,66.7,36.0,4.5,30.0,4.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1,19.5,29.3,15.0,0.0,2.0,11.8,6.0
Zach Harrison,#96,ED,16.0,166.0,2.0,1.2,60.6,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0,100.0,3.0
Tae Davis,#33,LB,1.0,1.0,1.0,100.0,60.0,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
