Week,Away,Opponent,Date,Time,Result,PointsFor,PointsAgainst,OverallGrade,OffenseGrade,PassingGrade,PassBlockingGrade,ReceivingGrade,RushingGrade,RunBlockingGrade,DefenseGrade,RunDefenseGrade,TacklingGrade,PassRushGrade,CoverageGrade,SpecialTeamsGrade,GameReports
1.0,,Carolina Panthers,09/10,1:00pm,W,24.0,10.0,76.7,63.9,51.8,44.9,67.0,68.8,64.4,79.2,72.4,55.9,61.6,81.0,61.6,Game Reports
2.0,,Green Bay Packers,09/17,1:00pm,W,25.0,24.0,66.9,68.4,43.4,54.9,67.3,78.3,72.6,62.1,79.1,75.0,62.1,47.1,62.9,Game Reports
3.0,@,Detroit Lions,09/24,1:00pm,L,6.0,20.0,59.3,55.5,44.2,68.7,57.5,62.9,55.7,67.6,67.1,79.0,71.1,61.7,44.7,Game Reports
4.0,@,Jacksonville Jaguars,10/01,9:30am,L,7.0,23.0,73.7,67.9,47.7,70.2,69.7,66.6,71.3,73.1,64.7,77.4,60.7,75.9,61.7,Game Reports
5.0,,Houston Texans,10/08,1:00pm,W,21.0,19.0,71.2,72.9,88.0,70.2,72.2,62.7,53.4,61.3,60.6,68.7,62.3,59.7,62.3,Game Reports
6.0,,Washington Commanders,10/15,1:00pm,L,16.0,24.0,68.7,65.7,40.0,73.7,72.3,65.9,65.8,67.1,70.8,52.2,67.0,59.8,65.3,Game Reports
7.0,@,Tampa Bay Buccaneers,10/22,1:00pm,W,16.0,13.0,73.2,71.1,77.7,72.4,69.8,49.9,71.0,67.8,88.9,59.1,60.2,57.5,61.9,Game Reports
8.0,@,Tennessee Titans,10/29,1:00pm,L,23.0,28.0,68.6,70.8,66.8,58.3,69.4,66.3,68.7,57.4,59.5,47.6,65.1,51.1,66.4,Game Reports
9.0,,Minnesota Vikings,11/05,1:00pm,L,28.0,31.0,72.3,67.8,52.7,83.2,70.8,56.1,69.5,69.9,81.9,39.6,60.7,61.9,56.2,Game Reports
10.0,@,Arizona Cardinals,11/12,4:05pm,L,23.0,25.0,56.6,59.9,54.4,61.3,55.0,64.7,63.6,54.1,56.0,38.4,48.9,58.2,49.8,Game Reports
12.0,,New Orleans Saints,11/26,1:00pm,W,24.0,15.0,81.0,83.5,73.4,89.7,67.2,77.4,82.7,68.8,68.6,52.3,53.5,72.3,69.4,Game Reports
13.0,@,New York Jets,12/03,1:00pm,W,13.0,8.0,65.1,61.8,54.7,63.3,60.5,59.7,63.8,65.0,74.0,47.4,72.5,51.7,61.0,Game Reports
14.0,,Tampa Bay Buccaneers,12/10,1:00pm,L,25.0,29.0,72.5,67.5,60.9,73.8,67.8,65.2,57.0,74.0,80.6,76.9,62.2,62.9,73.9,Game Reports
15.0,@,Carolina Panthers,12/17,1:00pm,L,7.0,9.0,61.2,55.8,47.9,82.1,73.5,53.0,42.7,67.4,72.6,75.1,59.0,59.2,50.6,Game Reports
16.0,,Indianapolis Colts,12/24,1:00pm,W,29.0,10.0,79.4,72.6,63.1,71.6,69.5,90.6,52.6,77.7,91.1,85.5,67.6,63.9,66.8,Game Reports
17.0,@,Chicago Bears,12/31,1:00pm,L,17.0,37.0,53.4,52.3,26.8,78.3,50.6,68.1,71.6,61.2,65.1,50.2,59.2,55.3,60.4,Game Reports
18.0,@,New Orleans Saints,01/07,1:00pm,L,17.0,48.0,66.0,64.9,53.4,69.9,71.3,65.1,55.2,62.4,68.9,56.8,65.0,55.4,68.3,Game Reports
,,,,,,,,,,,,,,,,,,,,,
