Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Mike Hughes,#21,CB,14.0,206.0,5.0,2.4,82.7,0 (0),1.0,0.0,0.0,1.0,10.0,40.0,0.0,119.0,1.0,0.8,62.2,1.0,0.0,0.0,1.0,50.0,100.0,0.0
Richie Grant,#27,S,17.0,565.0,39.0,6.9,76.6,2 (2),11.0,3.0,3.0,5.0,18.4,7.9,0.0,285.0,26.0,9.1,74.2,9.0,2.0,2.0,5.0,22.0,8.0,0.0
Kaden Elliss,#55,LB,17.0,634.0,101.0,15.9,73.3,2 (0),26.0,4.0,2.0,20.0,15.8,13.7,1.0,312.0,65.0,20.8,73.5,19.0,2.0,1.0,16.0,17.2,18.0,0.0
David Onyemata,#90,DI,14.0,351.0,348.0,99.1,72.8,4 (1),34.0,5.0,11.0,18.0,6.0,12.8,1.0,169.0,169.0,100.0,78.0,26.0,4.0,8.0,14.0,9.5,20.3,0.0
Grady Jarrett,#97,DI,7.0,197.0,195.0,99.0,70.3,1 (1),16.0,2.0,6.0,8.0,4.9,12.0,2.0,109.0,109.0,100.0,78.4,13.0,2.0,6.0,5.0,7.4,18.6,2.0
Arnold Ebiketie,#17,ED,17.0,247.0,175.0,70.9,70.1,0 (0),28.0,7.0,4.0,17.0,10.7,11.7,1.0,131.0,117.0,89.3,66.5,21.0,5.0,3.0,13.0,11.8,13.6,0.0
DeMarcco Hellams,#37,S,11.0,253.0,4.0,1.6,69.3,2 (0),2.0,0.0,1.0,1.0,25.0,0.0,0.0,152.0,3.0,2.0,72.1,1.0,0.0,1.0,0.0,16.7,0.0,0.0
Calais Campbell,#93,ED,17.0,423.0,413.0,97.6,68.5,1 (0),42.0,7.0,10.0,25.0,6.3,11.9,1.0,219.0,214.0,97.7,71.8,32.0,5.0,7.0,20.0,9.3,16.6,1.0
Andre Smith,#59,LB,5.0,48.0,3.0,6.3,68.3,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,8.0,55.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eli Ankou,#75,DI,1.0,5.0,5.0,100.0,67.8,0 (0),0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,2.0,100.0,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Carter,#00,ED,17.0,239.0,226.0,94.6,60.2,0 (0),21.0,3.0,6.0,12.0,5.8,7.2,0.0,112.0,108.0,96.4,61.8,14.0,2.0,4.0,8.0,8.0,11.0,0.0
Timmy Horne,#98,DI,3.0,29.0,29.0,100.0,60.2,1 (1),1.0,0.0,0.0,1.0,2.0,4.0,1.0,10.0,10.0,100.0,69.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jessie Bates III,#03,S,17.0,658.0,15.0,2.3,59.2,1 (0),4.0,0.0,1.0,3.0,14.3,0.0,0.0,325.0,7.0,2.2,61.4,3.0,0.0,1.0,2.0,21.4,0.0,0.0
Ta'Quon Graham,#95,DI,15.0,176.0,174.0,98.9,58.7,1 (0),10.0,1.0,1.0,8.0,3.4,6.7,0.0,64.0,64.0,100.0,56.1,3.0,0.0,0.0,3.0,2.5,6.7,0.0
Kentavius Street,#75,DI,5.0,104.0,102.0,98.1,58.4,0 (0),5.0,1.0,0.0,4.0,3.1,4.1,1.0,44.0,43.0,97.7,64.7,4.0,1.0,0.0,3.0,6.3,10.0,0.0
DeAngelo Malone,#51,ED,1.0,1.0,1.0,100.0,58.3,0 (0),1.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,1.0,100.0,58.3,1.0,0.0,0.0,1.0,50.0,0.0,0.0
Joe Gaziano,#99,ED,2.0,19.0,19.0,100.0,57.3,0 (0),1.0,0.0,0.0,1.0,2.8,11.1,0.0,12.0,12.0,100.0,62.4,0.0,0.0,0.0,0.0,0.0,18.2,0.0
Micah Abernathy,#29,S,2.0,20.0,2.0,10.0,57.2,0 (0),1.0,0.0,0.0,1.0,25.0,0.0,0.0,13.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
