Player,JerseyNumber,Position,GamesPlayed,KickoffsGrade,KickoffsTotal,KickoffsYardsPerAttempt,KickoffsAverageFieldPosition,KickoffsOnsideAttempts,KickoffsReturnPercentage,KickoffsReturned,KickoffsYardsAllowed,KickoffsYardsPerReturnAllowed,KickoffsTouchbacks,KickoffsFairCatches,KickoffsHangtimeAverage,KickoffsHangtimeAverage.1
Greg Joseph,#01,K,17.0,82.0,79.0,70.0,25.3,1.0,21.5,17.0,400.0,23.5,61.0,0.0,77.0,3.91
Ryan Wright,#14,P,1.0,60.0,1.0,47.0,38.0,0.0,100.0,1.0,5.0,5.0,0.0,0.0,1.0,4.55
,,,,,,,,,,,,,,,,
