DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
1.0,Camryn Bynum,#24,S,17.0,420.0,79.1,33.0,14.0,6.0,11.3,6.0,1.5,1.0,6.8,0 (0)
2.0,Jordan Hicks,#58,LB,13.0,324.0,74.2,44.0,17.0,8.0,11.6,22.0,6.9,0.0,3.8,1 (0)
3.0,D.J. Wonnum,#98,ED,15.0,278.0,68.6,26.0,12.0,2.0,5.0,18.0,6.7,0.0,3.5,0 (0)
4.0,Josh Metellus,#44,S,17.0,391.0,67.8,30.0,10.0,1.0,2.4,15.0,4.0,1.0,6.2,1 (1)
5.0,Andre Carter II,#55,ED,4.0,13.0,67.1,1.0,1.0,0.0,0.0,1.0,7.7,0.0,1.0,0 (0)
6.0,Harrison Smith,#22,S,17.0,419.0,66.2,24.0,12.0,9.0,20.0,11.0,2.7,1.0,5.3,1 (0)
7.0,Harrison Phillips,#97,DI,17.0,372.0,65.6,59.0,22.0,9.0,10.0,37.0,10.3,0.0,2.7,2 (0)
8.0,Jaylin Williams,#38,CB,2.0,13.0,65.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1 (0)
9.0,Byron Murphy Jr.,#07,CB,14.0,322.0,65.1,4.0,1.0,3.0,37.5,3.0,1.0,1.0,2.5,4 (2)
10.0,Jay Ward,#20,S,4.0,11.0,63.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1 (1)
10.0,Mekhi Blackmon,#05,CB,14.0,104.0,63.9,3.0,4.0,0.0,0.0,0.0,0.0,0.0,10.7,0 (0)
10.0,Joejuan Williams,#29,CB,2.0,13.0,63.9,0.0,0.0,0.0,,0.0,0.0,0.0,,1 (0)
13.0,Lewis Cine,#06,S,1.0,7.0,63.2,1.0,0.0,0.0,0.0,1.0,14.3,0.0,3.0,0 (0)
14.0,Jaquelin Roy,#93,DI,12.0,47.0,63.1,4.0,4.0,1.0,11.1,3.0,6.4,0.0,1.3,0 (0)
15.0,Ivan Pace Jr.,#40,LB,17.0,276.0,61.2,34.0,18.0,6.0,10.3,16.0,6.0,0.0,4.1,1 (1)
16.0,Akayleb Evans,#21,CB,15.0,326.0,60.2,10.0,8.0,10.0,35.7,6.0,1.9,2.0,5.2,4 (1)
17.0,T.J. Smith,#50,DI,3.0,25.0,60.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0 (0)
18.0,Anthony Barr,#54,LB,4.0,10.0,59.9,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
19.0,Andrew Booth Jr.,#23,CB,6.0,52.0,59.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
20.0,Sheldon Day,#52,DI,6.0,60.0,58.5,4.0,1.0,2.0,28.6,4.0,6.8,0.0,1.0,0 (0)
21.0,Khyiris Tonga,#95,DI,13.0,109.0,58.1,9.0,2.0,0.0,0.0,5.0,4.8,0.0,1.6,0 (0)
22.0,Troy Dye,#45,LB,6.0,29.0,57.7,2.0,5.0,0.0,0.0,0.0,0.0,0.0,6.5,0 (0)
23.0,Jonathan Bullard,#90,DI,17.0,309.0,53.7,29.0,6.0,1.0,2.8,26.0,8.7,0.0,1.7,4 (0)
24.0,Dean Lowry,#94,DI,9.0,117.0,53.1,3.0,7.0,2.0,16.7,2.0,1.7,0.0,3.7,1 (0)
25.0,Marcus Davenport,#00,ED,4.0,40.0,52.3,1.0,4.0,2.0,28.6,1.0,2.6,0.0,0.0,0 (0)
26.0,Danielle Hunter,#99,ED,17.0,376.0,51.7,41.0,15.0,5.0,8.2,27.0,7.4,0.0,2.6,1 (0)
27.0,Theo Jackson,#25,S,9.0,20.0,47.3,0.0,0.0,1.0,100.0,0.0,0.0,0.0,,0 (0)
28.0,Pat Jones II,#91,ED,17.0,199.0,39.8,19.0,9.0,3.0,9.7,14.0,7.1,0.0,2.7,2 (0)
29.0,Brian Asamoah II,#33,LB,5.0,25.0,27.6,0.0,2.0,1.0,33.3,0.0,0.0,0.0,,0 (0)
,,,,,,,,,,,,,,,
