Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
Marcus Davenport,#00,ED,1.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,59.9,-,-,-,0 (0),0.0,0.0,0.0
Camryn Bynum,#24,S,16.0,73.0,0.0,0.0,0.0,0.0,73.0,0.0,59.5,-,-,-,0 (0),0.0,0.0,0.0
Danielle Hunter,#99,ED,5.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
Kene Nwangwu,#26,HB,9.0,93.0,44.0,34.0,7.0,8.0,0.0,0.0,58.5,68.4,-,-,0 (0),1.0,0.0,1.0
Jonathan Bullard,#90,DI,6.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,58.0,-,-,-,0 (0),0.0,0.0,0.0
Jalen Nailor,#83,WR,4.0,49.0,17.0,7.0,16.0,9.0,0.0,0.0,57.6,-,-,-,1 (0),1.0,0.0,1.0
Jaylin Williams,#38,CB,3.0,27.0,0.0,0.0,10.0,6.0,11.0,0.0,57.1,-,-,-,0 (0),0.0,0.0,0.0
C.J. Ham,#30,FB,17.0,242.0,81.0,80.0,22.0,59.0,0.0,0.0,57.1,-,-,-,0 (0),3.0,1.0,0.0
Joejuan Williams,#29,CB,1.0,14.0,6.0,5.0,3.0,0.0,0.0,0.0,56.6,-,-,-,1 (0),0.0,0.0,0.0
Johnny Mundt,#86,TE,17.0,208.0,81.0,0.0,5.0,60.0,0.0,62.0,55.0,-,-,-,0 (0),0.0,1.0,0.0
Brian Asamoah II,#33,LB,13.0,196.0,57.0,56.0,37.0,46.0,0.0,0.0,50.5,-,-,-,3 (0),3.0,1.0,1.0
Jay Ward,#20,S,17.0,300.0,50.0,80.0,62.0,35.0,73.0,0.0,42.3,-,-,-,4 (1),3.0,1.0,6.0
Christian Darrisaw,#71,T,15.0,60.0,0.0,0.0,0.0,1.0,0.0,59.0,29.9,-,-,-,0 (0),1.0,0.0,0.0
Austin Schlottmann,#65,C,5.0,16.0,0.0,0.0,0.0,1.0,0.0,15.0,29.1,-,-,-,0 (0),0.0,0.0,0.0
