Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Christian Darrisaw,#71,T,15.0,982.0,982.0,100.0,332.0,650.0,82.4,73.9,85.3,609.0,100.0,6.0,13.0,12.0,31.0,97.0,7 (2),982.0,0.0,0.0,0.0,0.0,0.0
Kene Nwangwu,#26,HB,3.0,13.0,3.0,23.1,0.0,3.0,56.1,-,78.9,3.0,37.5,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0
Brandon Powell,#04,WR,15.0,406.0,101.0,24.9,96.0,5.0,61.7,42.1,76.7,4.0,1.4,0.0,0.0,0.0,0.0,100.0,3 (1),0.0,0.0,0.0,0.0,0.0,0.0
C.J. Ham,#30,FB,17.0,219.0,121.0,55.3,64.0,57.0,57.6,59.5,74.8,54.0,37.8,1.0,0.0,4.0,5.0,94.4,0 (0),0.0,0.0,0.0,0.0,0.0,29.0
K.J. Osborn,#17,WR,16.0,821.0,229.0,27.9,227.0,2.0,53.9,51.7,73.6,2.0,0.4,0.0,0.0,0.0,0.0,100.0,2 (0),0.0,0.0,0.0,0.0,0.0,1.0
Brian O'Neill,#75,T,14.0,884.0,884.0,100.0,294.0,590.0,74.5,71.7,73.4,551.0,100.0,6.0,2.0,25.0,33.0,96.5,8 (1),0.0,0.0,0.0,0.0,884.0,0.0
Chris Reed,#62,G,1.0,2.0,2.0,100.0,0.0,2.0,60.0,-,72.3,2.0,100.0,0.0,0.0,0.0,0.0,100.0,0 (0),0.0,2.0,0.0,0.0,0.0,0.0
Austin Schlottmann,#65,C,6.0,249.0,249.0,100.0,71.0,178.0,62.6,59.4,72.3,167.0,100.0,1.0,1.0,5.0,7.0,97.6,1 (0),0.0,2.0,247.0,0.0,0.0,0.0
Ezra Cleveland,#72,G,6.0,372.0,372.0,100.0,107.0,265.0,73.8,72.8,72.3,247.0,100.0,1.0,3.0,6.0,10.0,97.8,2 (0),0.0,372.0,0.0,0.0,0.0,0.0
Cam Akers,#31,HB,6.0,111.0,22.0,19.8,5.0,17.0,69.5,71.3,70.6,17.0,27.4,0.0,1.0,0.0,1.0,97.1,0 (0),0.0,0.0,0.0,0.0,0.0,2.0
David Quessenberry,#76,T,6.0,331.0,331.0,100.0,100.0,231.0,64.8,57.2,68.3,220.0,100.0,1.0,4.0,11.0,16.0,96.1,1 (0),94.0,0.0,0.0,0.0,236.0,1.0
Dalton Risner,#66,G,12.0,745.0,745.0,100.0,260.0,485.0,57.1,50.0,67.4,457.0,100.0,0.0,11.0,19.0,30.0,96.7,3 (1),0.0,745.0,0.0,0.0,0.0,0.0
T.J. Hockenson,#87,TE,15.0,790.0,253.0,32.0,227.0,26.0,78.8,56.1,65.6,25.0,4.7,0.0,1.0,3.0,4.0,92.0,3 (0),0.0,0.0,0.0,0.0,1.0,472.0
Ed Ingram,#67,G,15.0,958.0,958.0,100.0,318.0,640.0,59.5,59.1,60.9,597.0,100.0,5.0,15.0,22.0,42.0,96.1,7 (1),0.0,0.0,0.0,958.0,0.0,0.0
